"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
66.4359,18.581,16.3374,3.2452,3.2463,2.1715,14.138,13.0409,9.8208,2.1777,17.4982,11.9979,4.3487,3.2695,3.2558,8.7618,16.2798,15.271,5.438,15.2752,11.9587,10.8801,7.6025,18.5377,20.6671,4.3713,4.319,7.6077,7.6213,6.5443,8.7257,9.8309,4.3365,18.581,6.5305,6.5283,6.5463,15.3076,10.8505,6.5404,6.5692,7.6421,8.6902,2.1836,7.6252,7.567,5.4652,15.2798,11.9316,8.6837,7.6144
17.0598,187.892,42.4068,8.4871,8.4726,5.6681,36.8537,33.9713,25.4766,5.6841,45.2248,31.1389,11.3021,8.5077,8.4877,22.7169,42.3395,39.5782,14.1377,39.5944,31.1754,28.3053,19.723,48.1322,53.8436,11.3474,11.2826,19.8242,19.8532,16.9701,22.6183,25.4039,11.2982,48.0403,16.9535,16.9971,16.9907,39.6107,28.183,16.9692,16.9653,19.7748,22.5536,5.6492,19.8107,19.7944,14.2114,39.5447,31.0602,22.6872,19.7954
15.2517,43.0409,166.0932,7.5948,7.6019,5.0822,33.0695,30.4602,22.8664,5.077,40.6606,27.928,10.1236,7.6198,7.5869,20.3615,38.0786,35.5215,12.7982,35.6157,27.955,25.4163,17.765,43.0839,48.3288,10.1764,10.1577,17.8027,17.8347,15.2487,20.3514,22.8054,10.1503,43.1245,15.2515,15.2748,15.1714,35.4834,25.4106,15.2495,15.2588,17.813,20.2729,5.0851,17.8318,17.7742,12.7367,35.6217,27.9705,20.3032,17.8476
3.3269,9.465,8.3309,33.1586,1.6908,1.1217,7.2694,6.699,5.0121,1.1278,8.9194,6.1195,2.2588,1.6614,1.6747,4.471,8.3924,7.7861,2.76,7.8337,6.0927,5.5801,3.9068,9.437,10.6259,2.2314,2.2419,3.8874,3.9142,3.3639,4.4401,5.0279,2.2323,9.4033,3.3362,3.3516,3.351,7.8265,5.5911,3.347,3.3793,3.886,4.4625,1.1179,3.8851,3.9082,2.7781,7.797,6.1097,4.4584,3.9213
3.3281,9.452,8.3469,1.6897,33.157,1.1058,7.2957,6.6858,5.0226,1.1262,8.936,6.1822,2.2442,1.6807,1.6875,4.4678,8.301,7.7799,2.7763,7.7989,6.1249,5.5293,3.8913,9.4328,10.5666,2.2128,2.2054,3.9349,3.8921,3.368,4.466,4.998,2.2328,9.4289,3.3266,3.3487,3.3145,7.8026,5.6347,3.3358,3.3359,3.9139,4.4628,1.1023,3.8754,3.9115,2.7927,7.7685,6.1309,4.4873,3.8838
2.2459,6.375,5.6466,1.1284,1.1141,22.1311,4.9494,4.4523,3.4152,0.7424,5.9928,4.1603,1.4839,1.1349,1.1316,2.9947,5.6133,5.2511,1.8956,5.2122,4.1295,3.7511,2.5965,6.3668,7.1404,1.5054,1.4907,2.633,2.6341,2.2551,2.9692,3.3476,1.5282,6.3481,2.2502,2.2289,2.2479,5.2253,3.7411,2.2564,2.2477,2.6346,3.0029,0.7423,2.6178,2.6326,1.8825,5.2676,4.119,3.0073,2.6051
13.4117,38.0456,33.5761,6.7297,6.7445,4.5301,143.8458,26.8079,20.1214,4.4551,35.7281,24.6439,8.888,6.6982,6.705,17.8933,33.5231,31.2781,11.1871,31.3165,24.634,22.3352,15.5961,37.9365,42.5461,8.9845,8.9402,15.6453,15.5772,13.4374,17.8904,20.1039,8.9627,37.9632,13.3934,13.4135,13.4592,31.2335,22.4181,13.4636,13.4484,15.6094,17.7986,4.4703,15.5967,15.6444,11.2255,31.2285,24.5791,17.8271,15.6732
12.4504,35.318,31.1723,6.2381,6.2203,4.1237,27.0279,132.5737,18.7003,4.1657,33.1687,22.8145,8.3058,6.2216,6.2276,16.6011,31.1588,28.9982,10.3583,29.0949,22.8756,20.788,14.5045,35.2717,39.4915,8.3227,8.27,14.5834,14.5908,12.4664,16.6626,18.655,8.3359,35.2266,12.449,12.4295,12.4543,29.0907,20.7275,12.5055,12.4582,14.5136,16.6281,4.1516,14.5209,14.5484,10.3559,29.0296,22.8167,16.5839,14.5273
9.5867,27.093,23.9765,4.7775,4.7939,3.2312,20.7681,19.1413,99.556,3.1785,25.5271,17.5866,6.4226,4.7644,4.7865,12.6868,23.8233,22.3371,8.0159,22.3702,17.5721,16.0196,11.1094,27.0513,30.339,6.3941,6.3847,11.2103,11.2025,9.5801,12.7806,14.3404,6.3918,27.1123,9.5931,9.5595,9.5661,22.3166,15.9681,9.5852,9.5696,11.141,12.815,3.1838,11.1222,11.1727,8.0276,22.3521,17.4539,12.7681,11.1772
2.2578,6.3787,5.6108,1.136,1.1341,0.7418,4.8627,4.5051,3.3506,22.1472,6.0255,4.1075,1.499,1.1141,1.1151,3.0003,5.5929,5.2612,1.8887,5.2356,4.12,3.7446,2.6144,6.3745,7.0949,1.5105,1.4902,2.6058,2.6566,2.2429,2.9873,3.3544,1.5066,6.3957,2.2578,2.2363,2.2474,5.2479,3.7621,2.2493,2.2534,2.595,3.0033,0.7591,2.642,2.6134,1.8729,5.2475,4.162,2.9646,2.6106
16.2158,45.5739,40.3815,8.0555,8.074,5.378,34.8932,32.1118,24.1956,5.3841,176.8855,29.6375,10.7132,8.0848,8.0388,21.4855,40.2244,37.5123,13.4648,37.5964,29.5387,26.8756,18.7641,45.6278,51.0701,10.7726,10.7123,18.8299,18.841,16.097,21.4772,24.1019,10.7318,45.6763,16.1226,16.1871,16.0856,37.6104,26.8421,16.1799,16.0304,18.7493,21.5265,5.391,18.8038,18.7326,13.5323,37.5822,29.4314,21.5054,18.9099
11.5502,32.6226,28.8227,5.75,5.8085,3.877,25.0193,23.0027,17.3308,3.8314,30.8089,121.679,7.6718,5.7861,5.7665,15.3875,28.8596,26.8852,9.6145,26.9385,21.2142,19.2671,13.4145,32.6226,36.5893,7.6201,7.6908,13.4884,13.4539,11.5081,15.3713,17.213,7.6838,32.6116,11.5213,11.5605,11.4631,26.8411,19.1336,11.5042,11.5219,13.4252,15.3535,3.8352,13.4395,13.4354,9.6072,26.7308,21.1174,15.3262,13.462
4.4284,12.5331,11.0407,2.2498,2.2308,1.4621,9.5472,8.8392,6.6947,1.4765,11.7727,8.1046,44.1887,2.212,2.2052,5.9138,11.0618,10.3713,3.6993,10.2388,8.0973,7.3776,5.1546,12.5733,13.995,2.9287,2.9355,5.1875,5.1589,4.421,5.8621,6.6008,2.9555,12.5472,4.4406,4.407,4.4229,10.2877,7.4144,4.43,4.3992,5.1634,5.8811,1.4733,5.1451,5.1787,3.6771,10.2946,8.124,5.8862,5.1575
3.3458,9.4943,8.3637,1.6557,1.6826,1.1261,7.2282,6.6674,5.0013,1.1047,8.9605,6.1641,2.2287,33.1824,1.6791,4.4891,8.3785,7.8054,2.7834,7.7891,6.1452,5.5673,3.8954,9.5059,10.5894,2.2346,2.2342,3.9311,3.9228,3.3642,4.4585,5.0068,2.2167,9.4829,3.3424,3.3456,3.3533,7.7932,5.5768,3.3695,3.3667,3.9079,4.4574,1.107,3.9076,3.8899,2.803,7.8122,6.0914,4.4432,3.9052
3.344,9.4719,8.343,1.6742,1.6867,1.1246,7.2654,6.6867,5.0361,1.1088,8.8955,6.1265,2.2237,1.6849,33.1574,4.4424,8.3591,7.8,2.7819,7.7889,6.1249,5.5744,3.9237,9.4529,10.5995,2.2238,2.2168,3.9047,3.9418,3.3484,4.4491,5.0092,2.2278,9.4117,3.3351,3.3218,3.3725,7.8303,5.5269,3.3369,3.3344,3.8974,4.478,1.1235,3.9053,3.9032,2.7847,7.8044,6.1167,4.4602,3.92
8.6285,24.3614,21.4977,4.2969,4.2932,2.849,18.5997,17.1164,12.7875,2.8621,22.8578,15.7556,5.7357,4.3068,4.2777,88.5295,21.4359,20.033,7.1609,20.0178,15.745,14.3179,9.9436,24.3332,27.2369,5.6768,5.6941,9.9954,10.0195,8.5835,11.4011,12.8266,5.6873,24.2358,8.5821,8.5769,8.5796,20.0355,14.2934,8.6067,8.5594,10.0166,11.4522,2.8751,10.0236,9.9916,7.151,20.0182,15.6831,11.4315,10.0142
