"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
16.9219,2.8138,2.4593,0.486,0.4957,0.3215,2.1261,1.9649,1.4801,0.3334,2.6209,1.8165,0.6617,0.4931,0.4973,1.3063,2.4755,2.2871,0.8195,2.3063,1.8003,1.6364,1.1448,2.8002,3.1204,0.6603,0.6548,1.1478,1.1543,0.9735,1.3139,1.4829,0.6454,2.7919,0.967,0.9852,0.9786,2.268,1.6379,0.9848,0.99,1.1573,1.3082,0.3259,1.1512,1.1602,0.8244,2.2986,1.7911,1.313,1.1442
2.6843,47.7448,6.5947,1.331,1.3409,0.8897,5.7342,5.2931,3.9811,0.8898,7.0752,4.8366,1.7798,1.3214,1.3268,3.5497,6.6446,6.23,2.2021,6.1914,4.8789,4.4308,3.1139,7.5682,8.4015,1.7621,1.7769,3.0995,3.1376,2.6519,3.5285,3.959,1.7565,7.4855,2.683,2.6757,2.6531,6.1887,4.4128,2.6688,2.6573,3.0623,3.5209,0.8824,3.074,3.0837,2.2055,6.1885,4.8647,3.5345,3.1015
2.3653,6.6548,42.1548,1.1899,1.177,0.7816,5.1263,4.7238,3.5525,0.7798,6.295,4.3351,1.5746,1.1959,1.2115,3.1472,5.9007,5.498,1.9656,5.5207,4.3039,3.9515,2.7436,6.7021,7.4686,1.5864,1.5643,2.7485,2.7639,2.3209,3.1493,3.5346,1.5664,6.6534,2.3732,2.3755,2.3366,5.4821,3.9136,2.3259,2.3717,2.758,3.1478,0.8097,2.7372,2.7744,1.9809,5.5217,4.3425,3.1561,2.7344
0.4941,1.4132,1.2513,8.3975,0.2468,0.171,1.0679,0.9738,0.7312,0.1603,1.2982,0.905,0.3366,0.25,0.2402,0.6581,1.2436,1.172,0.4104,1.1581,0.9166,0.8308,0.5821,1.4142,1.5698,0.3261,0.3271,0.5833,0.5922,0.4875,0.6645,0.73,0.3422,1.3984,0.5047,0.4881,0.4996,1.1503,0.8386,0.4927,0.4888,0.5807,0.6574,0.1638,0.5692,0.5919,0.4243,1.161,0.9095,0.6507,0.5758
0.5013,1.427,1.2385,0.2472,8.4639,0.1709,1.0941,0.9987,0.7566,0.1638,1.3317,0.9073,0.3434,0.2546,0.2685,0.6752,1.2439,1.1714,0.4201,1.1634,0.903,0.8215,0.5748,1.3993,1.5823,0.3209,0.333,0.5888,0.5809,0.4916,0.6564,0.7512,0.3335,1.4325,0.5005,0.5063,0.5026,1.1697,0.8287,0.4883,0.4972,0.5811,0.6488,0.1623,0.5837,0.5886,0.4145,1.1451,0.8891,0.6602,0.5747
0.3255,0.9442,0.8325,0.1718,0.1709,5.6596,0.7211,0.6571,0.4989,0.1087,0.8855,0.6204,0.2248,0.1691,0.1728,0.4342,0.8456,0.7814,0.2815,0.799,0.6188,0.5551,0.4027,0.937,1.074,0.2291,0.2219,0.3806,0.3833,0.3307,0.4431,0.5016,0.2289,0.941,0.3326,0.3418,0.3259,0.7869,0.5543,0.3355,0.329,0.3885,0.4435,0.1123,0.3984,0.3987,0.277,0.7879,0.6168,0.4468,0.3867
2.0648,5.8261,5.1621,1.0241,1.0522,0.6864,36.5766,4.1201,3.1017,0.69,5.5344,3.7697,1.3765,1.0255,1.0572,2.7268,5.1797,4.853,1.7092,4.8396,3.7789,3.4122,2.4238,5.8389,6.5455,1.3717,1.3767,2.4044,2.4006,2.0771,2.7438,3.0966,1.3814,5.7864,2.0961,2.0794,2.0665,4.8051,3.4152,2.0582,2.0525,2.3949,2.76,0.71,2.4193,2.4259,1.7297,4.8325,3.7804,2.7474,2.4506
1.915,5.4056,4.7909,0.9359,0.9611,0.6302,4.1396,33.7203,2.8558,0.6592,5.075,3.5207,1.2939,0.9641,0.9494,2.5379,4.7788,4.4447,1.5928,4.4611,3.5007,3.2044,2.2163,5.4768,6.0436,1.2783,1.2868,2.2165,2.2125,1.8799,2.5567,2.8697,1.2782,5.4193,1.9152,1.9192,1.9263,4.4615,3.1718,1.8988,1.8942,2.2387,2.5413,0.6327,2.2318,2.2307,1.5946,4.4565,3.4961,2.5415,2.2147
1.4589,4.106,3.6466,0.7156,0.7389,0.485,3.1532,2.8927,25.2784,0.4851,3.9064,2.6823,0.9828,0.7196,0.725,1.9368,3.6424,3.3732,1.2037,3.3638,2.6255,2.436,1.7048,4.141,4.5913,0.9594,0.9592,1.6863,1.6965,1.47,1.9422,2.1691,0.9518,4.101,1.4611,1.4585,1.4369,3.3794,2.4298,1.4436,1.4577,1.7101,1.9363,0.4935,1.6908,1.6906,1.1966,3.3859,2.6641,1.9414,1.6811
0.3402,0.9527,0.8229,0.1607,0.1652,0.1098,0.7222,0.6902,0.502,5.6299,0.9011,0.6,0.2246,0.1644,0.1638,0.4406,0.8238,0.7759,0.2748,0.7721,0.6205,0.554,0.3845,0.9469,1.0461,0.22,0.2271,0.3845,0.3837,0.3441,0.4353,0.5083,0.2273,0.945,0.3446,0.3403,0.3364,0.7719,0.5481,0.3302,0.337,0.3751,0.4461,0.1123,0.3928,0.3957,0.2748,0.7754,0.6247,0.4481,0.3832
