"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
140.6264,30.6288,27.0428,5.3869,5.3811,3.6183,23.4341,21.6217,16.2193,3.6003,28.8163,19.8979,7.2164,5.4143,5.3976,14.4684,26.9915,25.2577,8.9918,25.2836,19.8231,17.9867,12.6076,30.7151,34.3825,7.193,7.2099,12.6298,12.6424,10.8151,14.3904,16.2995,7.2178,30.5977,10.835,10.7874,10.7735,25.1964,18.0385,10.7963,10.7936,12.5677,14.4421,3.5841,12.6101,12.6577,9.0281,25.2885,19.7672,14.4439,12.6313
28.5623,398.612,71.4409,14.247,14.2945,9.4797,61.9305,57.0753,42.7843,9.5717,76.1725,52.5873,19.0515,14.3226,14.3049,38.1651,71.3686,66.7464,23.8216,66.7223,52.3722,47.6983,33.3797,81.1856,90.7056,19.0953,19.0066,33.3146,33.4124,28.6465,38.0564,42.8612,19.0595,81.0456,28.6845,28.5563,28.5516,66.5738,47.6059,28.6076,28.4982,33.3357,38.1876,9.5541,33.438,33.3655,23.7988,66.6737,52.2576,38.2867,33.4619
25.5467,72.3758,351.4691,12.74,12.7743,8.4602,55.2091,51.055,38.272,8.5698,68.0642,46.7448,16.9788,12.7839,12.7339,33.9978,63.8793,59.4892,21.2881,59.6125,46.8212,42.5742,29.8623,72.4069,80.8658,17.028,16.998,29.8101,29.8173,25.4835,33.9988,38.238,16.9102,72.2507,25.5933,25.5243,25.455,59.503,42.438,25.5402,25.4612,29.6971,33.9963,8.5145,29.7962,29.8242,21.3389,59.4636,46.7183,34.1299,29.8241
5.4903,15.5689,13.7673,70.3696,2.7721,1.8422,11.9628,11.0347,8.263,1.842,14.7754,10.1166,3.6646,2.784,2.7569,7.3314,13.8537,12.9124,4.6265,12.7859,10.1305,9.2077,6.4796,15.5846,17.4903,3.6738,3.6858,6.5258,6.4618,5.5177,7.3998,8.2449,3.647,15.5773,5.5366,5.5155,5.5015,12.9086,9.1805,5.4492,5.5095,6.4142,7.3203,1.8568,6.4143,6.4398,4.5581,12.8858,10.0937,7.374,6.4538
5.483,15.6405,13.7988,2.773,70.2851,1.8351,11.9405,11.0125,8.2655,1.838,14.7224,10.0805,3.6962,2.7404,2.7323,7.3245,13.7342,12.8916,4.6001,12.8949,10.0737,9.2064,6.4399,15.6191,17.4444,3.6795,3.6616,6.4056,6.4434,5.5153,7.3195,8.2817,3.6785,15.658,5.523,5.522,5.4988,12.8454,9.2223,5.5377,5.5163,6.4199,7.3165,1.8112,6.4757,6.4049,4.573,12.8904,10.084,7.3394,6.4164
3.7162,10.4389,9.1981,1.8538,1.8467,46.7573,8.0236,7.3917,5.556,1.2247,9.8107,6.7539,2.4775,1.8443,1.8439,4.9436,9.2367,8.6163,3.084,8.6391,6.78,6.1944,4.2951,10.4831,11.7228,2.4511,2.4672,4.307,4.3282,3.6824,4.9225,5.5285,2.4741,10.505,3.7179,3.7141,3.6837,8.5813,6.1075,3.667,3.6933,4.2737,4.9184,1.2394,4.3148,4.3351,3.0888,8.5611,6.7882,4.9248,4.3281
22.4001,63.5109,55.9378,11.2093,11.19,7.4728,304.6381,44.9073,33.5606,7.4843,59.7363,41.0394,14.9212,11.2273,11.2032,29.8939,56.0953,52.2123,18.6103,52.2917,41.0637,37.3019,26.1466,63.4963,70.9465,14.9327,14.8993,26.1828,26.1418,22.4287,29.8765,33.6223,14.9299,63.6327,22.4503,22.4158,22.4286,52.2342,37.3441,22.5411,22.3665,26.1255,29.9647,7.448,26.1698,26.15,18.7279,52.2515,41.022,29.9195,26.1012
20.8207,58.9229,51.9845,10.4162,10.3795,6.9237,45.1888,281.2508,31.2665,6.9718,55.4941,38.1773,13.8792,10.4252,10.3953,27.7796,52.1018,48.4955,17.288,48.6781,38.137,34.6986,24.4067,58.8906,65.9968,13.852,13.8184,24.1768,24.3523,20.8037,27.7935,31.1777,13.942,58.9684,20.7756,20.7269,20.831,48.5565,34.6572,20.8329,20.7824,24.1757,27.7727,6.9494,24.4134,24.2546,17.3385,48.6354,38.1234,27.7892,24.3774
15.8944,44.9708,39.7516,7.9465,7.9487,5.3026,34.4471,31.8661,210.8772,5.2994,42.4857,29.1639,10.5605,7.8993,7.9092,21.229,39.7831,37.1084,13.2738,37.1125,29.1192,26.5503,18.5992,45.0217,50.4283,10.6903,10.6394,18.5749,18.5553,15.9406,21.195,23.891,10.5906,45.0233,15.9461,15.9041,15.8876,36.9836,26.4542,15.9549,15.9072,18.5797,21.1773,5.3022,18.5942,18.5819,13.2242,37.1553,29.1297,21.2117,18.5818
3.6904,10.537,9.3134,1.8532,1.8487,1.223,8.0376,7.4547,5.5461,47.0164,9.9685,6.8113,2.4783,1.8659,1.8491,4.942,9.3598,8.681,3.1019,8.6648,6.8268,6.1416,4.3341,10.4957,11.7989,2.4413,2.4624,4.3389,4.3461,3.6893,4.9553,5.5321,2.4617,10.4851,3.7197,3.7028,3.7123,8.6477,6.2047,3.7362,3.7118,4.3389,4.948,1.234,4.3322,4.3519,3.074,8.652,6.8239,4.9657,4.3103
