"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
54.0512,8.9376,7.8226,1.5743,1.5569,1.0566,6.8538,6.3109,4.7516,1.0508,8.4489,5.8047,2.0913,1.6027,1.5772,4.2323,7.9137,7.3761,2.6476,7.3395,5.8257,5.2661,3.6834,8.8855,10.0069,2.0905,2.0862,3.7035,3.6996,3.1344,4.2236,4.7495,2.0768,8.8889,3.1373,3.1306,3.1286,7.3933,5.2875,3.1314,3.1514,3.7226,4.2159,1.0451,3.6691,3.6758,2.6275,7.3826,5.75,4.2339,3.708
8.5294,153.2478,21.275,4.2868,4.2297,2.8481,18.4604,17.0523,12.7871,2.8657,22.659,15.5467,5.6745,4.251,4.2953,11.3649,21.2943,19.9126,7.1251,19.9855,15.6533,14.2561,9.9931,24.2202,27.0809,5.7065,5.7026,9.9474,9.9269,8.5663,11.3332,12.7789,5.6631,24.1838,8.5194,8.5254,8.5386,19.9474,14.2658,8.5337,8.5591,9.9733,11.454,2.8468,9.9839,9.9533,7.1325,19.8887,15.6134,11.363,9.9219
7.523,21.4477,135.2449,3.8089,3.8271,2.5277,16.3872,15.1731,11.4505,2.5417,20.2315,13.9089,5.0294,3.7837,3.805,10.1202,19.0643,17.7322,6.3242,17.6913,13.9561,12.6353,8.8817,21.5064,24.0846,5.0345,5.0722,8.9099,8.8954,7.5471,10.0586,11.3513,5.0505,21.4998,7.6179,7.5181,7.5722,17.7505,12.6229,7.6095,7.5886,8.9198,10.1611,2.5295,8.8678,8.8306,6.359,17.7321,13.9575,10.1595,8.8537
1.5973,4.5543,4.0171,27.0857,0.7909,0.5325,3.4756,3.2193,2.4179,0.5301,4.2824,2.9635,1.0697,0.7971,0.7927,2.1154,4.0095,3.7493,1.3382,3.7389,2.9054,2.6682,1.8812,4.5371,5.0796,1.068,1.0652,1.8908,1.8546,1.589,2.1211,2.4053,1.0729,4.5616,1.6164,1.6125,1.6034,3.744,2.6788,1.5785,1.6169,1.8739,2.1476,0.5367,1.8445,1.8633,1.3455,3.7281,2.9485,2.1498,1.8542
1.5808,4.4819,4.0243,0.789,27.0051,0.5343,3.4809,3.2207,2.4088,0.5442,4.2813,2.9347,1.0723,0.8016,0.7981,2.1174,3.9951,3.7008,1.3184,3.7214,2.9156,2.6792,1.8464,4.5122,5.0645,1.0611,1.0565,1.8898,1.8763,1.5748,2.1355,2.3993,1.0695,4.5409,1.5886,1.5977,1.5917,3.7218,2.6458,1.6351,1.5973,1.8665,2.1452,0.5263,1.9025,1.8638,1.3348,3.7381,2.9195,2.1207,1.8594
1.0754,3.0419,2.6762,0.5355,0.5355,18.0649,2.3431,2.1422,1.6168,0.3597,2.8265,1.9814,0.7165,0.5254,0.5301,1.4284,2.679,2.5208,0.8911,2.5108,1.9777,1.7803,1.2426,3.0333,3.3956,0.7226,0.6977,1.2504,1.2558,1.0666,1.4322,1.6342,0.7247,3.0298,1.0808,1.0828,1.074,2.4911,1.7585,1.0719,1.0827,1.2395,1.4205,0.362,1.2473,1.255,0.8871,2.5045,1.9762,1.4646,1.2307
6.6439,18.7736,16.556,3.3279,3.3256,2.2294,117.0493,13.211,9.9101,2.2305,17.6714,12.1454,4.369,3.3152,3.3077,8.9191,16.513,15.4959,5.5788,15.4445,12.2077,11.0352,7.7482,18.8055,21.1106,4.4642,4.4124,7.7508,7.7537,6.6245,8.8554,9.8977,4.4316,18.7353,6.6057,6.6019,6.5856,15.5086,11.063,6.6154,6.6167,7.7625,8.8873,2.1987,7.7107,7.733,5.5502,15.4975,12.1852,8.8742,7.6959
6.1523,17.4401,15.3825,3.1008,3.0988,2.0531,13.2608,108.0082,9.2871,2.0478,16.3957,11.278,4.0828,3.0673,3.1081,8.2118,15.3134,14.3526,5.1312,14.369,11.2688,10.2612,7.219,17.3677,19.494,4.1065,4.0957,7.1434,7.2107,6.1643,8.179,9.1737,4.1159,17.4338,6.1344,6.1197,6.1292,14.3589,10.203,6.1126,6.1481,7.1642,8.1895,2.0427,7.2156,7.1544,5.1187,14.3743,11.2361,8.1929,7.193
4.6954,13.2634,11.7598,2.3605,2.343,1.5696,10.0728,9.4033,81.1879,1.5743,12.5281,8.5785,3.1215,2.3207,2.3344,6.2209,11.7097,10.9869,3.9369,10.9076,8.6219,7.8215,5.4346,13.1897,14.8791,3.1278,3.1148,5.4376,5.451,4.6602,6.2831,6.9849,3.1312,13.2731,4.6925,4.6956,4.691,10.9031,7.8298,4.642,4.6667,5.4407,6.2249,1.5452,5.4476,5.4678,3.8998,10.919,8.6155,6.2728,5.4264
1.0693,3.0582,2.6911,0.5325,0.5464,0.3605,2.3362,2.1354,1.6212,18.0746,2.8461,1.9552,0.7234,0.5281,0.5383,1.4317,2.6687,2.5037,0.9026,2.5025,1.9833,1.7805,1.252,3.0518,3.3995,0.7237,0.7007,1.2451,1.2469,1.079,1.4389,1.5983,0.7068,3.0342,1.0779,1.0888,1.0818,2.5045,1.7913,1.0843,1.0863,1.2757,1.4294,0.3509,1.2395,1.2503,0.8894,2.4997,1.9566,1.4247,1.2346
8.0956,22.7444,20.1447,4.0458,4.0484,2.662,17.4535,16.1318,12.1394,2.6818,144.1626,14.7886,5.3807,4.0325,4.01,10.8052,20.168,18.8499,6.7255,18.8527,14.8364,13.485,9.4167,22.9005,25.5503,5.3863,5.3954,9.4518,9.4457,8.0405,10.7357,12.0733,5.3846,22.8467,8.001,8.0479,8.0529,18.7719,13.413,8.0883,8.0573,9.3689,10.731,2.689,9.3861,9.4149,6.7462,18.8375,14.7502,10.7406,9.416
5.6725,15.9614,14.1572,2.859,2.8374,1.9092,12.2543,11.3415,8.521,1.8788,15.1103,99.133,3.8237,2.8416,2.8756,7.6032,14.1872,13.2315,4.7266,13.2602,10.4176,9.455,6.6331,16.025,18.0004,3.7975,3.7735,6.6261,6.594,5.6586,7.5523,8.4523,3.7769,16.12,5.6631,5.6586,5.6553,13.2281,9.4555,5.6534,5.6605,6.6171,7.5675,1.8939,6.5899,6.6407,4.7302,13.2169,10.3511,7.5459,6.5987
2.1064,6.0078,5.2781,1.0705,1.0662,0.7124,4.5523,4.224,3.1827,0.717,5.6726,3.9467,36.0354,1.0717,1.0691,2.8259,5.2898,4.9361,1.7544,4.9603,3.8935,3.5375,2.5061,5.9902,6.7474,1.4129,1.4081,2.462,2.4796,2.1123,2.8275,3.1774,1.4227,6.0672,2.1144,2.1124,2.1131,4.983,3.5364,2.1013,2.1088,2.5199,2.8089,0.7189,2.4898,2.4641,1.7584,4.9602,3.888,2.8291,2.4988
1.6253,4.5222,3.9959,0.795,0.8035,0.5228,3.4594,3.1917,2.3818,0.5256,4.2727,2.9456,1.0757,27.0278,0.7995,2.1263,4.0231,3.7528,1.3426,3.7465,2.9501,2.71,1.87,4.5533,5.0926,1.0686,1.052,1.8647,1.8646,1.5877,2.108,2.3723,1.0702,4.5351,1.6098,1.6033,1.6102,3.7341,2.6629,1.6051,1.6072,1.8716,2.1193,0.5368,1.8694,1.8851,1.3481,3.7148,2.9281,2.1356,1.8739
1.5991,4.5586,4.0058,0.7907,0.7986,0.5286,3.4599,3.2369,2.3929,0.5347,4.2402,2.9754,1.0754,0.7978,27.0479,2.129,3.984,3.7501,1.3451,3.7131,2.9168,2.6789,1.8847,4.503,5.0626,1.0539,1.0573,1.8674,1.8581,1.5839,2.1362,2.4048,1.0599,4.5456,1.585,1.583,1.594,3.7521,2.6661,1.6128,1.597,1.8784,2.1462,0.5249,1.8746,1.8457,1.3427,3.7499,2.9613,2.1453,1.8555
4.1972,11.8179,10.4319,2.0737,2.0744,1.3895,9.1296,8.3645,6.2508,1.3926,11.1947,7.6931,2.7726,2.0861,2.0858,72.1378,10.4081,9.7598,3.4703,9.8029,7.6578,6.9903,4.8609,11.8589,13.2245,2.808,2.7668,4.8491,4.8771,4.1767,5.5017,6.223,2.7478,11.8858,4.1992,4.1955,4.1457,9.6968,6.9452,4.1886,4.2039,4.8719,5.5333,1.3912,4.8454,4.8903,3.4931,9.7502,7.6959,5.5241,4.8549
7.6059,21.4889,19.0658,3.7975,3.793,2.5353,16.3895,15.0911,11.4133,2.5306,20.2688,13.939,5.0441,3.8181,3.7822,10.0786,135.1592,17.7336,6.3294,17.7325,13.8553,12.6826,8.8948,21.5328,24.0778,5.0743,5.0232,8.9469,8.8864,7.5876,10.1065,11.3305,5.0659,21.501,7.5943,7.5872,7.5782,17.6633,12.6737,7.5693,7.6,8.8171,10.0864,2.5403,8.8817,8.85,6.309,17.723,13.9021,10.1029,8.835
7.1334,20.1842,17.8215,3.5676,3.5165,2.3873,15.4335,14.2217,10.7587,2.3771,19.0136,13.0506,4.7195,3.5789,3.581,9.5091,17.7812,126.3783,5.9568,16.6693,13.1087,11.9212,8.2932,20.3044,22.593,4.775,4.7373,8.333,8.3298,7.1288,9.4974,10.6895,4.7291,20.2165,7.1132,7.092,7.074,16.6322,11.8688,7.0986,7.1625,8.2928,9.499,2.3852,8.3341,8.3106,5.9603,16.7035,13.0755,9.5006,8.3221
2.6567,7.5099,6.6041,1.3252,1.3032,0.8803,5.7732,5.2904,4.003,0.8893,7.039,4.8449,1.75,1.33,1.3331,3.5224,6.6146,6.1994,45.0878,6.1745,4.8519,4.4112,3.0994,7.5341,8.3642,1.7807,1.7378,3.0753,3.086,2.6371,3.5173,3.9342,1.7549,7.5042,2.6291,2.6402,2.6437,6.2058,4.4104,2.6241,2.6641,3.0879,3.5517,0.875,3.0913,3.0731,2.2064,6.188,4.8346,3.523,3.0927
