"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
38.3081,8.5036,7.5661,1.4991,1.5088,0.9984,6.5443,6.0585,4.5249,0.9996,8.0235,5.555,2.0172,1.4967,1.5044,4.0688,7.5647,7.0153,2.5327,7.0293,5.4821,5.0075,3.5128,8.5475,9.4996,2.0371,2.0086,3.5431,3.5291,3.0194,3.9989,4.5477,2.0345,8.4762,3.0142,3.0228,3.0231,6.9608,5.0571,3.0107,3.0188,3.5118,4.004,1.005,3.5093,3.5448,2.5017,6.974,5.555,4.0136,3.5035
7.9261,108.4023,19.9162,4.0063,4.0009,2.6552,17.2182,15.7966,11.9748,2.6473,21.1092,14.5709,5.3081,3.9775,3.9802,10.5833,19.8151,18.5147,6.56,18.4967,14.5692,13.2092,9.2372,22.4342,25.0166,5.3252,5.3008,9.3033,9.2978,7.9363,10.6203,11.8837,5.2299,22.5392,7.9754,7.9397,7.938,18.4815,13.2491,7.9581,7.9243,9.2829,10.5773,2.6418,9.2445,9.2714,6.6318,18.4956,14.5182,10.5889,9.2304
7.1445,20.1451,95.6906,3.5708,3.592,2.3777,15.3481,14.2043,10.6114,2.4115,18.9253,12.9737,4.713,3.5385,3.5564,9.4177,17.7654,16.543,5.9333,16.5539,13.035,11.82,8.2725,20.1556,22.3913,4.7444,4.7801,8.2964,8.3164,7.104,9.5234,10.7435,4.7146,20.1193,7.1303,7.0587,7.0803,16.4798,11.8438,7.0973,7.1025,8.2487,9.4661,2.377,8.2936,8.2495,5.9152,16.523,13.0237,9.4313,8.2741
1.5276,4.3624,3.8655,19.1427,0.7682,0.5167,3.3349,3.0732,2.3483,0.5101,4.1062,2.8202,1.0261,0.7627,0.7793,2.0454,3.8228,3.5679,1.2869,3.5868,2.8068,2.5587,1.7822,4.3567,4.8409,1.0349,1.0289,1.7615,1.7887,1.5557,2.0869,2.3022,1.0258,4.3423,1.5283,1.535,1.5309,3.581,2.5504,1.5469,1.5235,1.7947,2.0187,0.5054,1.78,1.7976,1.2691,3.5718,2.8447,2.0463,1.8056
1.5404,4.3727,3.8841,0.7684,19.1959,0.4991,3.3348,3.0877,2.2917,0.5157,4.1323,2.8277,1.0241,0.7833,0.7582,2.0314,3.8383,3.5941,1.282,3.6061,2.8067,2.5713,1.8157,4.3744,4.8664,1.0495,1.0099,1.7885,1.7899,1.5521,2.0619,2.3199,1.0103,4.3686,1.5372,1.5504,1.5511,3.5793,2.5587,1.5314,1.5301,1.8038,2.0533,0.5223,1.7731,1.7866,1.2729,3.6217,2.827,2.0807,1.8095
1.0256,2.9182,2.585,0.5169,0.5017,12.7613,2.2399,2.0593,1.5697,0.3322,2.7327,1.887,0.7035,0.5095,0.5229,1.3735,2.5567,2.3994,0.8541,2.4024,1.8642,1.7259,1.2109,2.9128,3.273,0.6902,0.678,1.2158,1.2188,1.0098,1.3721,1.5551,0.6908,2.9338,1.0402,1.0321,1.0241,2.3699,1.7075,1.0092,1.0286,1.1959,1.3863,0.3399,1.2051,1.2008,0.8453,2.3982,1.8868,1.3815,1.1907
6.2463,17.6531,15.5522,3.1167,3.127,2.0921,82.948,12.4929,9.3527,2.0532,16.6105,11.4121,4.1462,3.1542,3.125,8.311,15.6125,14.5141,5.1701,14.517,11.423,10.4299,7.2157,17.6861,19.7154,4.1503,4.1685,7.2837,7.3324,6.2333,8.3146,9.3623,4.1623,17.6606,6.2475,6.2687,6.2352,14.497,10.3723,6.2587,6.2025,7.2851,8.2852,2.0714,7.2585,7.2198,5.1964,14.5712,11.4243,8.2976,7.2748
5.8279,16.3354,14.4989,2.8983,2.9191,1.9324,12.5837,76.5635,8.6761,1.9235,15.4554,10.6101,3.8465,2.8942,2.9376,7.7116,14.3993,13.4905,4.8135,13.474,10.5846,9.6709,6.7676,16.3723,18.2522,3.8785,3.8573,6.7283,6.7726,5.8297,7.7502,8.7822,3.849,16.4421,5.7485,5.8101,5.8102,13.512,9.6447,5.7559,5.7431,6.7512,7.72,1.8999,6.7486,6.7498,4.8354,13.4972,10.6473,7.7407,6.7428
4.4344,12.6078,11.0012,2.2529,2.2047,1.5009,9.5948,8.8322,57.5575,1.4777,11.863,8.1444,2.9476,2.1971,2.2662,5.87,11.1098,10.3003,3.6866,10.2832,8.0997,7.4125,5.1684,12.5619,13.9698,2.9795,2.9868,5.1818,5.152,4.4676,5.8646,6.6738,2.966,12.5705,4.4568,4.4306,4.4495,10.3766,7.3834,4.4399,4.4296,5.2121,5.9298,1.4794,5.178,5.1923,3.6913,10.3698,8.1751,5.912,5.1244
1.025,2.9191,2.621,0.5145,0.519,0.3324,2.2091,2.0558,1.5472,12.7292,2.7349,1.8844,0.6829,0.5118,0.5118,1.3716,2.5849,2.425,0.8642,2.3885,1.8852,1.7042,1.2059,2.9033,3.2688,0.705,0.6938,1.188,1.1841,1.0504,1.3713,1.534,0.6823,2.9243,1.0383,1.0357,1.0339,2.3825,1.7236,1.0259,1.0264,1.188,1.4012,0.3441,1.193,1.1686,0.8423,2.4134,1.8934,1.3753,1.1814
7.5233,21.2396,18.7924,3.7695,3.7982,2.5016,16.2893,15.0591,11.3189,2.4982,101.9947,13.8661,4.9992,3.7289,3.7693,9.9948,18.856,17.5666,6.2317,17.5697,13.7534,12.5121,8.7683,21.2881,23.7264,5.0496,5.0041,8.7788,8.7756,7.5293,10.0306,11.3346,5.053,21.2515,7.5551,7.5175,7.5223,17.4899,12.521,7.5363,7.4816,8.7645,10.0514,2.5077,8.8064,8.7471,6.2722,17.5016,13.8046,10.0734,8.7078
5.3663,15.1567,13.3062,2.6731,2.6799,1.7775,11.5783,10.6968,8.0388,1.7774,14.335,70.2185,3.5511,2.6778,2.7079,7.1153,13.4222,12.4655,4.4398,12.4139,9.7675,8.8976,6.2655,15.1727,16.8681,3.5709,3.5672,6.2227,6.2852,5.3171,7.0985,8.0106,3.5754,15.1239,5.3926,5.3402,5.3474,12.5062,8.8814,5.3666,5.3842,6.2603,7.1482,1.7845,6.2197,6.2275,4.4614,12.4245,9.8179,7.134,6.251
2.0448,5.769,5.0637,1.0194,1.0194,0.6973,4.3912,4.0457,3.0528,0.6737,5.3998,3.7133,25.5044,1.0043,1.0259,2.7211,5.0634,4.7127,1.6988,4.7126,3.7655,3.3681,2.3681,5.7433,6.441,1.3454,1.3515,2.38,2.3684,2.0359,2.6869,3.0555,1.345,5.7404,2.0529,2.0481,2.0374,4.7394,3.3994,2.047,2.0148,2.3847,2.718,0.6753,2.3822,2.3669,1.6862,4.7353,3.7083,2.7485,2.3729
1.528,4.3528,3.8136,0.7608,0.7843,0.5045,3.361,3.0653,2.2853,0.5069,4.0599,2.816,1.0114,19.1158,0.7706,2.049,3.822,3.5829,1.2936,3.5965,2.8245,2.5824,1.7628,4.3027,4.8342,1.0266,0.999,1.7967,1.7951,1.5355,2.0654,2.2933,1.0449,4.3374,1.5413,1.5076,1.5319,3.5632,2.5498,1.5411,1.549,1.7872,2.0548,0.5152,1.7926,1.7826,1.2742,3.6038,2.7914,2.0443,1.8064
1.5334,4.3588,3.8467,0.7795,0.7586,0.5175,3.3297,3.1189,2.3576,0.5072,4.0987,2.8536,1.0319,0.7701,19.2141,2.0676,3.8239,3.5995,1.276,3.6047,2.8097,2.5531,1.7955,4.3686,4.8882,1.0293,1.0433,1.7969,1.8237,1.5392,2.065,2.3313,1.0297,4.359,1.5451,1.5287,1.5296,3.6298,2.5609,1.5172,1.5383,1.7979,2.0583,0.5116,1.7874,1.7855,1.2973,3.62,2.8439,2.0499,1.7915
4.0154,11.2031,9.8659,1.9773,1.9707,1.3194,8.5777,7.9,5.9166,1.3176,10.5161,7.2538,2.6472,1.986,1.9894,51.0046,9.8604,9.2349,3.3142,9.2099,7.2472,6.6169,4.6008,11.2421,12.4965,2.662,2.6399,4.6147,4.6385,3.9663,5.2915,5.9363,2.6405,11.2112,3.9876,3.9544,3.9897,9.2414,6.5835,3.9356,3.9384,4.641,5.2873,1.3168,4.6164,4.612,3.3369,9.1962,7.2251,5.3031,4.6075
7.1255,20.0444,17.7737,3.5386,3.562,2.3574,15.4162,14.1223,10.6753,2.3756,18.9868,13.0659,4.7156,3.532,3.5379,9.4181,95.7462,16.5396,5.8754,16.6069,12.982,11.7898,8.2851,20.1724,22.4551,4.7326,4.7642,8.2647,8.2783,7.1298,9.4934,10.6361,4.7336,20.2372,7.1586,7.0864,7.0889,16.6157,11.807,7.0971,7.0956,8.3331,9.4836,2.3598,8.2712,8.2632,5.8669,16.6265,13.0351,9.4873,8.2669
6.664,18.8605,16.6457,3.3302,3.3378,2.2181,14.4488,13.3036,9.9712,2.2335,17.8123,12.2385,4.4247,3.3318,3.3397,8.8638,16.6492,89.1986,5.5192,15.5247,12.2149,11.0403,7.7485,18.8421,20.9724,4.4654,4.4433,7.7649,7.7366,6.6074,8.8812,10.0216,4.4208,18.8974,6.6524,6.6689,6.688,15.5517,11.0544,6.6708,6.6421,7.7851,8.8636,2.2248,7.7193,7.7865,5.5154,15.5835,12.2031,8.8448,7.7967
2.548,7.075,6.325,1.2732,1.2636,0.8372,5.4586,5.0429,3.7919,0.8468,6.6981,4.616,1.6908,1.2747,1.2541,3.3904,6.2669,5.8705,31.8504,5.896,4.6141,4.1944,2.9251,7.1293,7.9336,1.6815,1.6901,2.9487,2.9101,2.5582,3.3665,3.8274,1.7107,7.1264,2.5458,2.506,2.5302,5.88,4.1982,2.5567,2.5029,2.941,3.3777,0.8515,2.948,2.9075,2.0988,5.8508,4.6727,3.3484,2.9715
6.6719,18.8653,16.6713,3.3345,3.3639,2.2203,14.4274,13.296,9.9531,2.1999,17.8123,12.1474,4.4117,3.34,3.3464,8.8667,16.709,15.5323,5.5701,89.2262,12.1842,11.1058,7.7604,18.9157,21.0725,4.4142,4.4623,7.7724,7.8093,6.6678,8.8924,10.0218,4.4326,18.9441,6.6767,6.6312,6.6863,15.5372,11.0826,6.6544,6.6549,7.7424,8.9156,2.2167,7.7545,7.7654,5.5366,15.518,12.1969,8.8914,7.7382
5.3078,15.1588,13.3872,2.6637,2.6658,1.7574,11.5618,10.6674,8.0096,1.7782,14.1958,9.7666,3.601,2.6778,2.6684,7.1011,13.343,12.472,4.4386,12.4189,70.1181,8.9221,6.2237,15.225,16.9026,3.5833,3.5787,6.2339,6.2648,5.3147,7.0721,8.0244,3.5384,15.129,5.3335,5.3387,5.3252,12.5029,8.9443,5.3072,5.3423,6.1777,7.131,1.7763,6.2367,6.2114,4.4421,12.4187,9.7853,7.1223,6.2094
4.8869,13.8174,12.2109,2.4477,2.4451,1.6317,10.6295,9.7856,7.3539,1.6195,12.9916,8.9655,3.243,2.4616,2.44,6.5183,12.1701,11.333,4.0513,11.3959,8.9717,63.6826,5.6859,13.8692,15.4338,3.2429,3.252,5.6911,5.7273,4.9043,6.5148,7.3328,3.2483,13.7994,4.8622,4.8822,4.8677,11.3094,8.1143,4.9035,4.8812,5.6734,6.5091,1.6244,5.7152,5.6902,4.057,11.3815,9.0248,6.5065,5.6476
3.4837,9.8379,8.7019,1.7318,1.7686,1.1756,7.4973,6.9739,5.2284,1.1684,9.2993,6.4284,2.3247,1.7151,1.7421,4.6214,8.7163,8.1209,2.8868,8.1283,6.3948,5.8126,44.5848,9.8655,11.0286,2.3317,2.3377,4.0589,4.0897,3.4533,4.6473,5.2598,2.3397,9.8696,3.4752,3.4868,3.5131,8.1246,5.792,3.4955,3.4593,4.0408,4.6446,1.1554,4.0518,4.082,2.896,8.0385,6.3743,4.6451,4.0338
7.9502,22.4332,19.8851,3.9737,3.9896,2.6436,17.2347,15.8817,11.9148,2.639,21.1561,14.6121,5.2768,3.9381,3.9856,10.5818,19.9096,18.4948,6.5814,18.5747,14.641,13.224,9.2575,108.5172,25.0757,5.3039,5.3271,9.2792,9.3,7.9534,10.6238,11.9033,5.2717,22.5231,7.9497,7.9172,7.9495,18.5382,13.1823,7.9524,7.9641,9.2318,10.6533,2.6662,9.3209,9.2134,6.6149,18.5484,14.6308,10.6203,9.2048
8.7245,24.6971,21.8703,4.3789,4.3828,2.9303,18.9843,17.4411,13.1029,2.9277,23.303,16.0027,5.8438,4.3634,4.4029,11.6356,21.9269,20.321,7.2418,20.3843,16.0614,14.5572,10.207,24.7555,120.9521,5.8702,5.8282,10.24,10.1815,8.7489,11.6409,13.1887,5.8099,24.8014,8.791,8.7535,8.7755,20.3506,14.5967,8.7424,8.7627,10.1964,11.6902,2.9255,10.2024,10.1717,7.3192,20.3496,16.0752,11.6722,10.2309
2.0642,5.7812,5.0903,1.0269,1.0416,0.681,4.3983,4.0858,3.0759,0.6949,5.4591,3.7411,1.3417,1.0214,1.024,2.73,5.0808,4.7678,1.6963,4.7104,3.7533,3.3744,2.3787,5.7645,6.4838,25.6081,1.3862,2.388,2.358,2.071,2.717,3.0966,1.3466,5.8276,2.0534,2.0131,2.0709,4.7649,3.3921,2.0391,2.0283,2.3932,2.6961,0.6747,2.3787,2.3861,1.7071,4.7228,3.7368,2.7206,2.3833
2.033,5.7671,5.1394,1.022,1.0015,0.669,4.4288,4.0638,3.0844,0.683,5.4129,3.7389,1.3517,0.9953,1.0377,2.7045,5.1234,4.75,1.6982,4.7678,3.7441,3.3868,2.3847,5.8071,6.438,1.3832,25.5494,2.369,2.3679,2.0282,2.7223,3.015,1.3594,5.78,2.0543,2.0307,2.0268,4.7427,3.4033,2.0369,2.0213,2.3764,2.7345,0.6799,2.3669,2.3837,1.6703,4.7261,3.7678,2.7164,2.3675
3.5216,9.9186,8.7283,1.715,1.7423,1.1818,7.5814,6.9592,5.2369,1.152,9.3004,6.3867,2.3348,1.7542,1.7489,4.6546,8.7164,8.123,2.9042,8.1332,6.4065,5.8032,4.0599,9.9185,11.0732,2.3391,2.3328,44.6815,4.0918,3.485,4.6788,5.264,2.3247,9.9116,3.4947,3.4701,3.5152,8.1182,5.799,3.4407,3.4577,4.0671,4.6781,1.1643,4.0863,4.0342,2.9268,8.1205,6.4006,4.696,4.0571
3.504,9.9243,8.7609,1.7386,1.7448,1.1811,7.617,6.9938,5.2086,1.1503,9.3293,6.452,2.324,1.7528,1.7712,4.6749,8.7172,8.115,2.8752,8.1739,6.4282,5.8397,4.0962,9.9118,10.9916,2.3099,2.3239,4.0951,44.7042,3.4827,4.6689,5.2443,2.3232,9.8463,3.5051,3.4989,3.4604,8.1562,5.7878,3.5099,3.4898,4.0799,4.67,1.1644,4.1341,4.0859,2.8993,8.1144,6.4181,4.667,4.046
3.0203,8.5056,7.5154,1.5268,1.5227,0.9825,6.5119,6.0488,4.566,1.0212,8.0336,5.4927,2.0064,1.5024,1.5049,4.0109,7.5482,6.9569,2.5431,7.0391,5.4828,5.0353,3.4785,8.5373,9.5018,2.0455,1.9968,3.5101,3.4984,38.3099,4.0025,4.5253,2.008,8.5355,3.0394,3.0046,3.0437,7.0196,5.0492,3.0026,3.0738,3.5281,4.0092,1.0129,3.5114,3.501,2.4794,7.0084,5.5459,4.0244,3.5169
3.9439,11.2559,9.9724,2.0182,1.9956,1.3183,8.6115,7.9415,5.9087,1.3208,10.5654,7.2296,2.6247,1.9989,1.9941,5.2966,9.9306,9.2589,3.2938,9.2451,7.2181,6.589,4.6223,11.2528,12.4971,2.6426,2.655,4.6398,4.6387,3.9542,51.0672,5.9393,2.6508,11.2075,3.9533,3.9866,3.9476,9.2048,6.6336,3.9325,3.9498,4.6451,5.2779,1.3284,4.631,4.5788,3.2988,9.2479,7.2932,5.2954,4.6181
4.4619,12.5063,11.1604,2.2096,2.23,1.4879,9.6278,8.9487,6.6855,1.4693,11.8511,8.1169,2.967,2.2043,2.2361,5.9057,11.0836,10.3696,3.7268,10.3537,8.1257,7.3848,5.2091,12.5317,14.1018,3.003,2.9258,5.1994,5.1804,4.4465,5.9015,57.4955,2.9742,12.5735,4.4403,4.4384,4.4461,10.3975,7.4189,4.4342,4.4153,5.1548,5.9217,1.4841,5.1879,5.1504,3.7065,10.3254,8.1357,5.9439,5.1908
2.0631,5.681,5.0528,1.0215,1.0027,0.6833,4.4117,4.0516,3.0588,0.6754,5.4592,3.7403,1.3423,1.0397,1.0254,2.7095,5.0869,4.7164,1.721,4.7301,3.7109,3.3817,2.3894,5.7485,6.3988,1.3479,1.3568,2.3755,2.3597,2.0319,2.7249,3.0705,25.4904,5.689,2.0479,2.0622,2.0395,4.7457,3.3526,2.0495,2.0213,2.3893,2.7134,0.6759,2.3689,2.3658,1.6887,4.727,3.7521,2.7006,2.3485
7.8957,22.5484,19.853,3.9635,3.9909,2.6668,17.2121,15.9164,11.9671,2.6602,21.1254,14.5467,5.293,3.9528,3.9859,10.5888,19.9638,18.5408,6.5964,18.6012,14.5525,13.1977,9.2395,22.5603,25.1428,5.359,5.3199,9.2719,9.2334,7.9253,10.57,11.928,5.2277,108.5201,7.9609,7.9257,7.963,18.5019,13.2316,7.9338,7.9405,9.2611,10.5904,2.643,9.3122,9.2364,6.5964,18.5262,14.5978,10.6028,9.2598
3.0179,8.5531,7.5484,1.5053,1.512,1.0131,6.5365,5.9886,4.5447,1.0106,8.0578,5.5651,2.0293,1.5106,1.5189,4.0422,7.5823,7.0332,2.521,7.0293,5.5152,4.9867,3.4973,8.544,9.5453,2.0263,2.0289,3.5163,3.5356,3.0394,4.0069,4.5318,2.0146,8.5486,38.4001,3.0167,3.0098,7.0775,5.0004,3.0082,3.0147,3.5459,4.055,1.0053,3.5244,3.5222,2.5268,7.0174,5.5463,4.0519,3.4993
3.0217,8.5254,7.4808,1.5001,1.5184,1.0116,6.5583,6.0423,4.5243,1.0095,8.0395,5.5186,2.0185,1.476,1.4992,3.9893,7.5018,7.0249,2.4839,6.9814,5.519,5.0044,3.5083,8.5044,9.5176,1.9884,2.0041,3.4864,3.5265,3.0098,4.0475,4.5141,2.0371,8.5124,3.0157,38.251,3.0279,7.0447,5.0175,3.0244,3.0281,3.5277,3.9644,0.9982,3.5164,3.48,2.5202,7.0316,5.5342,4.0156,3.4946
3.0246,8.534,7.506,1.4999,1.5213,0.9987,6.509,6.0373,4.5454,1.0064,8.0291,5.5215,2.0125,1.4946,1.5014,4.0365,7.516,7.0363,2.5099,7.057,5.5041,5.0019,3.5283,8.5343,9.552,2.0439,2.0013,3.5336,3.4793,3.0387,4.0051,4.5285,2.014,8.5643,3.0111,3.0299,38.3061,7.0634,5.0145,3.0426,2.9985,3.4899,4.0485,1.0115,3.5221,3.5066,2.491,7.0309,5.5576,4.0334,3.526
6.6032,18.8444,16.6017,3.3294,3.3296,2.1996,14.3924,13.3511,10.0535,2.2017,17.716,12.2706,4.4483,3.3117,3.3745,8.8854,16.727,15.5512,5.538,15.5532,12.2533,11.0291,7.7649,18.8868,21.035,4.4691,4.4521,7.767,7.8125,6.669,8.8502,10.0475,4.4544,18.8419,6.7214,6.694,6.6904,89.2569,11.094,6.6948,6.6432,7.7456,8.8723,2.2375,7.8106,7.7702,5.5505,15.5764,12.2488,8.8548,7.7394
4.9198,13.8513,12.2311,2.438,2.4395,1.618,10.5803,9.7554,7.3336,1.6284,13.0081,8.9429,3.264,2.4378,2.4391,6.4788,12.185,11.3318,4.0696,11.4054,8.9952,8.1082,5.6943,13.8258,15.4819,3.2649,3.2711,5.6779,5.6784,4.9236,6.5451,7.3769,3.2335,13.8497,4.8685,4.8795,4.8794,11.3857,63.7684,4.9204,4.9139,5.6565,6.5094,1.6085,5.7046,5.724,4.0408,11.4114,8.9506,6.5292,5.6842
3.0155,8.5594,7.5096,1.5131,1.5007,0.985,6.5533,5.9879,4.5366,0.9984,8.0448,5.5512,2.021,1.513,1.4894,3.9812,7.536,7.0107,2.542,7.0019,5.4803,5.0236,3.5276,8.5319,9.5307,2.0154,2.0165,3.4618,3.5369,3.0029,3.9934,4.5302,2.0245,8.5319,3.0112,3.0188,3.0405,7.0554,5.0471,38.3305,3.0478,3.539,4.0775,0.9965,3.4893,3.507,2.524,6.9986,5.5178,3.9876,3.5189
3.0219,8.4815,7.5196,1.494,1.5014,0.9993,6.4939,5.9879,4.5277,0.9999,7.9782,5.5534,1.9886,1.5224,1.5104,3.9898,7.5207,7.0009,2.4869,6.9976,5.5199,5.0127,3.489,8.539,9.5322,1.9982,1.9989,3.4799,3.5022,3.0696,3.9969,4.5045,1.9871,8.5095,3.0171,3.0244,2.9946,7.0131,5.0317,3.0454,38.2253,3.4841,3.995,1.0195,3.5133,3.509,2.495,6.9882,5.4931,3.9894,3.5101
3.4936,9.8842,8.6971,1.7517,1.7614,1.1602,7.5797,6.9768,5.2757,1.1511,9.3136,6.4281,2.3322,1.7413,1.7519,4.6848,8.7756,8.1475,2.9126,8.0997,6.3404,5.7897,4.0417,9.8539,11.0215,2.3438,2.3344,4.0733,4.0873,3.5,4.6738,5.2208,2.3343,9.8802,3.524,3.5102,3.468,8.1184,5.7567,3.5107,3.4652,44.6275,4.6458,1.1532,4.0593,4.0589,2.906,8.1177,6.3837,4.6618,4.0638
