"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
4.1265,0.6723,0.577,0.12,0.1197,0.0748,0.4989,0.4626,0.3598,0.0771,0.6361,0.4262,0.1562,0.116,0.1119,0.3194,0.5858,0.5434,0.2005,0.5523,0.4333,0.3942,0.274,0.674,0.751,0.1549,0.1649,0.2724,0.2748,0.2396,0.3177,0.3634,0.1547,0.6611,0.2302,0.239,0.231,0.5674,0.3938,0.2388,0.2461,0.2738,0.3171,0.0799,0.2756,0.2704,0.1999,0.5532,0.4326,0.3213,0.2807
0.6374,11.6367,1.5932,0.3234,0.3223,0.2181,1.39,1.2635,0.9473,0.2115,1.7052,1.1716,0.4123,0.3108,0.323,0.8545,1.5857,1.5052,0.5365,1.4934,1.1686,1.0794,0.7352,1.8152,1.9981,0.4236,0.41,0.7384,0.7551,0.6325,0.8547,0.9574,0.433,1.8087,0.6341,0.6506,0.6298,1.4924,1.0511,0.6308,0.6437,0.7445,0.8593,0.2171,0.7453,0.7422,0.5339,1.4879,1.1699,0.8514,0.7521
0.5606,1.6132,10.3174,0.288,0.2862,0.1927,1.2396,1.1313,0.841,0.1863,1.5163,1.0432,0.3723,0.2775,0.2939,0.7542,1.4277,1.3173,0.4767,1.328,1.0414,0.9356,0.6757,1.6264,1.8066,0.3808,0.3817,0.6607,0.6827,0.5642,0.7639,0.8528,0.3854,1.631,0.5661,0.5725,0.5563,1.3134,0.9532,0.5611,0.5718,0.6758,0.7627,0.1938,0.6616,0.6637,0.4764,1.3477,1.0488,0.7619,0.6758
0.1211,0.3415,0.3023,2.0701,0.0617,0.0386,0.257,0.2417,0.1684,0.0379,0.3186,0.2243,0.0789,0.0576,0.0619,0.1564,0.2908,0.2769,0.1067,0.284,0.221,0.2009,0.133,0.345,0.3798,0.0797,0.0777,0.1461,0.1396,0.119,0.1637,0.184,0.0809,0.3438,0.121,0.12,0.1195,0.2743,0.2006,0.112,0.1178,0.1464,0.162,0.0379,0.1368,0.1425,0.097,0.2874,0.2245,0.1615,0.1464
0.1221,0.3424,0.3005,0.0625,2.0564,0.0375,0.2543,0.241,0.1712,0.0391,0.3119,0.2208,0.0807,0.058,0.0598,0.1561,0.3034,0.2725,0.0991,0.2726,0.2246,0.2026,0.1382,0.3447,0.373,0.0789,0.0762,0.141,0.139,0.1168,0.1554,0.1872,0.0796,0.339,0.1223,0.1134,0.1244,0.2771,0.2058,0.114,0.1183,0.1366,0.1553,0.0392,0.1339,0.1422,0.1011,0.2801,0.2173,0.1576,0.1368
0.0759,0.2306,0.2034,0.0386,0.0375,1.3779,0.1795,0.1575,0.121,0.0261,0.2125,0.1514,0.0535,0.0409,0.0427,0.1041,0.2028,0.1891,0.0684,0.1881,0.1461,0.1361,0.0945,0.2282,0.251,0.053,0.055,0.0916,0.0907,0.0793,0.107,0.1204,0.0548,0.2279,0.0816,0.0761,0.079,0.1816,0.1368,0.0769,0.0863,0.0997,0.111,0.0279,0.0945,0.0949,0.0659,0.1877,0.1411,0.1055,0.0937
0.4868,1.4195,1.2504,0.2479,0.2459,0.172,8.9343,0.987,0.7332,0.1597,1.3336,0.9206,0.3358,0.2473,0.2471,0.6691,1.2512,1.1447,0.4155,1.1467,0.9006,0.8295,0.5887,1.4145,1.5589,0.3397,0.3357,0.572,0.5907,0.5169,0.6717,0.7432,0.3392,1.4158,0.495,0.5005,0.4896,1.1656,0.8241,0.4966,0.5198,0.5837,0.6674,0.1693,0.5672,0.5857,0.4152,1.1525,0.9186,0.6666,0.5773
0.4519,1.2863,1.1421,0.2347,0.232,0.153,0.9854,8.2224,0.6912,0.1542,1.2333,0.8465,0.306,0.2219,0.2225,0.6067,1.1521,1.0767,0.3843,1.0783,0.8391,0.7709,0.5267,1.3027,1.4544,0.2959,0.3052,0.5377,0.5375,0.4477,0.6155,0.674,0.3091,1.2968,0.4652,0.469,0.4585,1.0752,0.7705,0.4606,0.4538,0.5303,0.6135,0.148,0.5384,0.5348,0.3788,1.0809,0.84,0.6261,0.5362
0.3534,0.9767,0.8674,0.1648,0.1673,0.1182,0.7428,0.6977,6.1489,0.1103,0.9405,0.6469,0.235,0.1797,0.1752,0.4682,0.8472,0.8281,0.2866,0.8125,0.6232,0.5829,0.4082,0.9892,1.0894,0.2257,0.2295,0.409,0.408,0.3513,0.4678,0.5142,0.2367,0.9905,0.3505,0.3389,0.3602,0.8129,0.5665,0.3553,0.3609,0.4074,0.4623,0.1174,0.3958,0.4056,0.2842,0.8245,0.6511,0.4646,0.4079
0.0781,0.2229,0.1973,0.0383,0.039,0.0261,0.1668,0.1606,0.1145,1.3629,0.213,0.1544,0.0544,0.0388,0.0389,0.1047,0.1938,0.1901,0.0659,0.1872,0.1395,0.1263,0.0912,0.2265,0.2542,0.055,0.0538,0.0924,0.0923,0.0813,0.1083,0.1169,0.0499,0.2326,0.0755,0.0785,0.0821,0.1859,0.1343,0.0779,0.0812,0.0914,0.109,0.027,0.0864,0.0969,0.0667,0.1867,0.1514,0.1069,0.0944
0.6066,1.7097,1.5091,0.3045,0.2951,0.1997,1.3123,1.2171,0.9185,0.2005,10.9898,1.1044,0.408,0.3069,0.3034,0.8024,1.5249,1.4097,0.5025,1.4014,1.111,0.9962,0.6929,1.6971,1.9238,0.3949,0.4029,0.692,0.6955,0.6108,0.8027,0.9015,0.4001,1.7033,0.6098,0.6107,0.6059,1.4045,1.0063,0.6009,0.6079,0.6927,0.8005,0.2066,0.7126,0.702,0.499,1.438,1.0998,0.7915,0.7203
0.4181,1.1911,1.0584,0.2174,0.2135,0.1458,0.9264,0.848,0.6406,0.1479,1.1242,7.593,0.2758,0.2104,0.2087,0.5709,1.0592,0.9877,0.3513,0.9969,0.7763,0.6956,0.4987,1.2167,1.3472,0.287,0.2735,0.5007,0.4943,0.4339,0.5703,0.6389,0.2883,1.1984,0.4218,0.437,0.4217,0.9979,0.7077,0.4162,0.4173,0.4902,0.5765,0.1439,0.4857,0.5063,0.3534,0.9849,0.762,0.5623,0.4982
0.1576,0.4349,0.3926,0.0779,0.0799,0.0527,0.3448,0.3166,0.2382,0.0536,0.429,0.2858,2.7289,0.0793,0.0808,0.2026,0.4008,0.3711,0.1345,0.3688,0.2832,0.2616,0.1886,0.4587,0.499,0.1005,0.1007,0.1824,0.1874,0.159,0.2107,0.2353,0.11,0.4482,0.1605,0.152,0.1674,0.3634,0.2657,0.1559,0.1574,0.1815,0.2153,0.0502,0.1894,0.1727,0.1361,0.3661,0.2929,0.2108,0.1818
