"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
14.5608,2.4769,2.1939,0.431,0.4365,0.2881,1.8846,1.7351,1.3034,0.2996,2.3103,1.5816,0.5846,0.4235,0.441,1.176,2.1503,2.0267,0.7172,2.0447,1.6006,1.4579,1.0201,2.4589,2.7772,0.582,0.5862,1.0131,1.0319,0.8655,1.1433,1.3146,0.5859,2.498,0.8827,0.8735,0.8653,2.049,1.4493,0.8825,0.8754,1.0095,1.161,0.2871,1.0174,1.0047,0.7249,2.0054,1.5965,1.1642,1.0039
2.3651,40.9848,5.8535,1.1543,1.1579,0.7837,5.0526,4.6726,3.5016,0.7687,6.2664,4.2853,1.5727,1.1666,1.1709,3.1319,5.8414,5.413,1.9251,5.4948,4.3115,3.9097,2.7336,6.6107,7.4066,1.5538,1.5635,2.7173,2.7171,2.334,3.1044,3.5355,1.5684,6.6372,2.3617,2.3256,2.3278,5.4629,3.9029,2.3256,2.316,2.7143,3.1265,0.7881,2.7409,2.7468,1.9249,5.4657,4.3144,3.1241,2.7533
2.1094,5.8949,36.2278,1.0308,1.0426,0.7075,4.5185,4.1742,3.1495,0.6869,5.582,3.8156,1.3977,1.0569,1.0422,2.7854,5.1929,4.8688,1.7473,4.8921,3.8371,3.4867,2.448,5.8769,6.5699,1.389,1.3806,2.4177,2.4359,2.0921,2.7671,3.1681,1.4012,5.9506,2.1067,2.0599,2.0909,4.9046,3.5053,2.108,2.0846,2.4546,2.7685,0.6999,2.4173,2.4377,1.7453,4.8642,3.835,2.7832,2.4374
0.436,1.2233,1.0921,7.2061,0.2184,0.1462,0.9477,0.8641,0.6752,0.1513,1.1626,0.8015,0.2903,0.2161,0.2172,0.5808,1.1049,1.0272,0.3595,1.019,0.802,0.7418,0.5143,1.2273,1.4034,0.3007,0.2927,0.4979,0.5118,0.4307,0.5984,0.6625,0.2896,1.2637,0.4475,0.4343,0.4399,1.0059,0.7295,0.4377,0.4264,0.5091,0.5766,0.1494,0.5089,0.5096,0.3474,1.0102,0.8044,0.578,0.504
0.4438,1.2318,1.0996,0.2189,7.2889,0.1508,0.9545,0.8758,0.655,0.1511,1.1721,0.8039,0.2986,0.2237,0.2231,0.5927,1.1072,1.0565,0.3625,1.0432,0.7947,0.7361,0.5204,1.2556,1.3985,0.3024,0.2984,0.5167,0.5221,0.435,0.5937,0.6721,0.3039,1.2657,0.4449,0.4303,0.4567,1.0343,0.742,0.4426,0.4378,0.5126,0.5872,0.1518,0.5139,0.5202,0.3719,1.0392,0.8217,0.5872,0.5187
0.2929,0.8358,0.7512,0.1478,0.1521,4.8785,0.6502,0.6016,0.4372,0.0886,0.7744,0.544,0.2028,0.1499,0.1437,0.3923,0.7515,0.6872,0.2562,0.6826,0.5381,0.5132,0.3433,0.8583,0.9381,0.2,0.2019,0.3543,0.3441,0.3014,0.399,0.4517,0.1932,0.847,0.3041,0.3078,0.2944,0.6902,0.4986,0.297,0.2956,0.3363,0.4028,0.098,0.3527,0.3525,0.242,0.7005,0.5408,0.3904,0.3494
1.8253,5.1317,4.5483,0.9065,0.9134,0.6198,31.3885,3.6506,2.7512,0.6101,4.8786,3.3404,1.22,0.9084,0.9114,2.4228,4.5672,4.2385,1.5247,4.2724,3.3556,3.0438,2.1202,5.1265,5.8063,1.2174,1.2236,2.0922,2.1374,1.8154,2.3941,2.7233,1.203,5.1561,1.826,1.8407,1.834,4.2684,3.0485,1.8179,1.8323,2.1418,2.4192,0.6,2.1439,2.1235,1.51,4.2462,3.3621,2.4231,2.1344
1.6903,4.7599,4.216,0.8334,0.8374,0.5771,3.649,28.9878,2.5363,0.5654,4.4876,3.083,1.1456,0.8526,0.8474,2.2528,4.2074,3.9415,1.4236,3.9653,3.1126,2.8167,1.9814,4.7764,5.3753,1.1199,1.123,1.9788,1.969,1.6614,2.2385,2.5324,1.1257,4.82,1.6971,1.6975,1.6743,3.9312,2.8162,1.6785,1.6887,2.0083,2.2699,0.5724,1.963,1.9613,1.401,3.9413,3.0909,2.2243,1.9722
1.283,3.6344,3.2371,0.6579,0.6371,0.4236,2.8081,2.5688,21.7397,0.4229,3.4433,2.3763,0.8513,0.6499,0.6602,1.7216,3.2036,2.9989,1.0619,3.0196,2.3555,2.1495,1.4791,3.6459,4.0698,0.8592,0.8585,1.5058,1.4875,1.2891,1.6906,1.9306,0.8536,3.6477,1.2883,1.2801,1.2813,3.0163,2.1518,1.2898,1.2881,1.5039,1.6922,0.4309,1.4956,1.5041,1.0623,2.9965,2.3701,1.7032,1.476
0.3046,0.8238,0.7288,0.1517,0.1508,0.0889,0.6387,0.5862,0.4389,4.7779,0.7788,0.5372,0.1983,0.1475,0.1465,0.3867,0.7275,0.6888,0.2419,0.6847,0.5359,0.4868,0.341,0.835,0.9293,0.184,0.1984,0.3437,0.3455,0.2992,0.3853,0.4412,0.1978,0.8279,0.29,0.2856,0.2853,0.6877,0.4747,0.2875,0.2906,0.3272,0.3828,0.0978,0.3378,0.3429,0.2386,0.684,0.5337,0.3984,0.3402
