"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
19.6212,5.4104,4.7392,0.9324,0.9434,0.6139,4.0771,3.8139,2.8361,0.64,5.0631,3.4785,1.2704,0.9629,0.93,2.5552,4.7515,4.434,1.6002,4.5072,3.5029,3.1753,2.2371,5.4145,6.0338,1.2797,1.268,2.2156,2.2131,1.8997,2.5447,2.881,1.2815,5.3661,1.8942,1.8905,1.8885,4.4416,3.1607,1.8879,1.9002,2.2085,2.5509,0.6408,2.2041,2.1931,1.5754,4.4563,3.5116,2.5246,2.2193
4.9724,55.6578,12.3951,2.483,2.4873,1.649,10.6702,9.911,7.4379,1.6668,13.2275,9.1179,3.2944,2.4722,2.4481,6.6292,12.4151,11.5683,4.1413,11.5759,9.1151,8.2868,5.7811,14.1261,15.642,3.2943,3.3051,5.7906,5.7697,4.9328,6.573,7.4014,3.2834,14.0065,4.941,4.9648,4.9567,11.5497,8.2076,4.9367,4.9594,5.8276,6.613,1.6487,5.7802,5.8024,4.1388,11.5175,9.0895,6.6204,5.8018
4.4245,12.6198,49.1188,2.215,2.21,1.4915,9.6113,8.8717,6.6936,1.4868,11.8438,8.1513,2.9598,2.2394,2.1846,5.8869,11.1551,10.3567,3.722,10.379,8.1491,7.3755,5.1899,12.5989,14.0319,2.9273,2.9539,5.1644,5.1911,4.421,5.9109,6.6758,2.9524,12.5748,4.4388,4.4665,4.453,10.3817,7.3851,4.4762,4.4098,5.2526,5.9427,1.4897,5.192,5.2075,3.6951,10.2805,8.1542,5.9333,5.1823
0.9548,2.7705,2.4383,9.8317,0.4821,0.321,2.0998,1.934,1.4728,0.3233,2.6024,1.7742,0.6544,0.5012,0.4857,1.3078,2.445,2.2656,0.8185,2.2907,1.7907,1.633,1.1542,2.7516,3.1115,0.6321,0.6483,1.1437,1.1443,0.9741,1.2919,1.4671,0.6571,2.7431,0.9662,0.9748,0.9746,2.2846,1.6029,0.9545,0.9843,1.1536,1.3118,0.331,1.1237,1.1389,0.8225,2.2885,1.8005,1.3048,1.1434
0.9611,2.7646,2.4279,0.4829,9.7718,0.3129,2.1054,1.9252,1.4405,0.3234,2.5676,1.7729,0.6446,0.4872,0.4789,1.2842,2.4303,2.2516,0.8047,2.2324,1.7763,1.612,1.1335,2.7675,3.0763,0.6345,0.648,1.1301,1.1195,0.9505,1.2865,1.4505,0.6557,2.737,0.9692,0.9717,0.9776,2.2918,1.6054,0.9624,0.9705,1.1472,1.2796,0.3261,1.1338,1.1369,0.7921,2.2519,1.7624,1.2973,1.142
0.6341,1.8531,1.6526,0.3226,0.3151,6.515,1.4153,1.2929,0.9934,0.2172,1.7285,1.185,0.4339,0.3266,0.3233,0.8591,1.6356,1.5429,0.5429,1.5282,1.1836,1.0891,0.7633,1.8308,2.0812,0.43,0.4345,0.7606,0.751,0.6501,0.8728,0.9894,0.4382,1.8102,0.6583,0.6542,0.6462,1.5307,1.077,0.6645,0.6569,0.7658,0.8775,0.2192,0.7666,0.7611,0.5499,1.5247,1.1936,0.8697,0.7616
3.8649,11.0257,9.7674,1.9419,1.9507,1.2975,42.5114,7.8084,5.911,1.3128,10.4477,7.1394,2.6113,1.9768,1.9499,5.1824,9.7567,9.1424,3.267,9.1177,7.2038,6.4783,4.552,11.1056,12.3198,2.6125,2.5845,4.5851,4.564,3.8919,5.2018,5.878,2.5866,11.054,3.865,3.91,3.8975,9.1321,6.4752,3.9027,3.8688,4.5841,5.2108,1.2911,4.565,4.5306,3.2633,9.1136,7.1487,5.239,4.5727
3.6409,10.3106,9.0886,1.8077,1.7967,1.2036,7.8661,39.2035,5.4546,1.2118,9.7307,6.6713,2.4254,1.8279,1.8145,4.8585,9.1064,8.5321,3.0578,8.4788,6.6299,6.0297,4.2433,10.3474,11.5181,2.4215,2.4158,4.2086,4.2635,3.625,4.8398,5.4521,2.4188,10.2715,3.6409,3.6249,3.6155,8.4574,5.9773,3.6184,3.6503,4.2592,4.8382,1.1998,4.2231,4.2473,3.0267,8.4768,6.6311,4.821,4.2456
2.771,7.9234,7.0138,1.4081,1.3737,0.9421,6.1045,5.5693,29.5165,0.9406,7.4318,5.1243,1.8489,1.3998,1.3943,3.7614,7.0332,6.5275,2.343,6.5397,5.1176,4.6279,3.2921,7.9428,8.8402,1.838,1.8702,3.2657,3.24,2.8,3.7303,4.2182,1.8748,7.9317,2.7715,2.8246,2.8039,6.5252,4.6395,2.7975,2.7969,3.2897,3.7234,0.9223,3.2734,3.2683,2.3272,6.5154,5.1252,3.7157,3.2752
0.6591,1.88,1.6435,0.3264,0.3259,0.217,1.4324,1.3085,0.9926,6.5796,1.7723,1.1944,0.4383,0.3354,0.3278,0.8695,1.626,1.5519,0.5382,1.5267,1.2241,1.1018,0.7691,1.8615,2.0658,0.4437,0.4433,0.7784,0.7629,0.6548,0.8731,0.9925,0.4444,1.8534,0.6515,0.6615,0.6632,1.5212,1.0874,0.6751,0.6592,0.7634,0.8822,0.2219,0.7753,0.7741,0.5468,1.5351,1.2087,0.8765,0.7642
4.6828,13.3233,11.7713,2.3553,2.3319,1.553,10.1998,9.4083,7.0308,1.5863,52.4973,8.6246,3.1098,2.3941,2.3376,6.2733,11.7844,11.0572,3.9664,10.9567,8.6605,7.8793,5.5135,13.3339,14.9197,3.1331,3.1617,5.4695,5.5179,4.7152,6.2251,7.1243,3.1113,13.3277,4.7212,4.7174,4.6998,10.9712,7.833,4.7483,4.7118,5.5581,6.2894,1.567,5.5273,5.4504,3.9345,11.0154,8.6277,6.2619,5.4629
3.3413,9.5572,8.4369,1.6666,1.6675,1.1134,7.2506,6.7065,5.0477,1.111,8.9771,35.967,2.2502,1.6914,1.681,4.4593,8.442,7.8571,2.8191,7.8616,6.1437,5.564,3.9059,9.4687,10.5882,2.2399,2.2228,3.9338,3.9316,3.3362,4.474,5.0849,2.2352,9.4757,3.3435,3.3694,3.3653,7.8123,5.5806,3.3714,3.3293,3.9338,4.5084,1.1262,3.9107,3.922,2.7924,7.8287,6.1308,4.471,3.9311
