"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
28.8826,5.6366,4.9666,1.0069,1.0082,0.6585,4.3276,4.0152,3.0297,0.6608,5.325,3.6613,1.336,0.9938,1.0046,2.6579,5.0249,4.7157,1.6654,4.6806,3.694,3.363,2.3117,5.6768,6.321,1.3308,1.3556,2.3102,2.3384,1.9887,2.6543,3.007,1.3214,5.687,2.0188,1.9962,2.023,4.6905,3.3183,1.9917,1.9897,2.3369,2.6673,0.672,2.3405,2.3506,1.6704,4.7034,3.6874,2.6486,2.3509
5.3056,81.8096,13.2993,2.6813,2.6619,1.7668,11.5734,10.6317,7.9804,1.759,14.1637,9.739,3.564,2.6459,2.6525,7.1008,13.3514,12.4722,4.422,12.4677,9.7893,8.8677,6.2411,15.0513,16.93,3.6003,3.5491,6.2596,6.2436,5.3008,7.083,7.9975,3.563,15.027,5.351,5.33,5.3557,12.4625,8.8311,5.3192,5.33,6.2491,7.1304,1.7756,6.1939,6.1957,4.4619,12.4533,9.7761,7.137,6.242
4.7106,13.4785,72.264,2.3785,2.3934,1.6027,10.3526,9.4657,7.1487,1.5755,12.7284,8.6959,3.2069,2.3744,2.3865,6.3841,11.928,11.1579,3.9512,11.1365,8.7631,7.9734,5.5982,13.5424,14.996,3.1599,3.1853,5.5162,5.565,4.7636,6.3742,7.1152,3.1988,13.4871,4.7804,4.7504,4.8007,11.1828,7.9272,4.7611,4.7396,5.575,6.3492,1.5954,5.5671,5.5576,4.0042,11.1941,8.7842,6.3476,5.5703
1.0235,2.9037,2.5396,14.4607,0.5086,0.3353,2.2119,2.0537,1.5321,0.351,2.7109,1.8583,0.6818,0.5056,0.5118,1.3732,2.5145,2.3742,0.8574,2.3809,1.8932,1.6762,1.1773,2.9064,3.2391,0.6855,0.6682,1.1818,1.1809,1.0022,1.3766,1.5287,0.6971,2.8819,1.0328,1.0268,1.0374,2.4039,1.7063,1.0327,0.9947,1.1901,1.3467,0.3435,1.2119,1.1978,0.8566,2.3842,1.8843,1.3616,1.2075
1.0241,2.8898,2.559,0.5089,14.4977,0.3487,2.2149,2.0476,1.551,0.3393,2.7252,1.8814,0.6936,0.5149,0.5147,1.3591,2.5321,2.3714,0.8465,2.4085,1.8742,1.7035,1.1805,2.891,3.2287,0.6835,0.6799,1.2055,1.1815,1.0211,1.3688,1.5103,0.6852,2.8911,1.0335,1.016,1.023,2.3886,1.7138,1.0303,1.0033,1.2094,1.3733,0.3373,1.1941,1.2143,0.8388,2.3775,1.8869,1.339,1.1784
0.6734,1.9258,1.7335,0.3369,0.3524,9.6036,1.4858,1.3793,1.0263,0.2314,1.8002,1.2353,0.4458,0.3266,0.337,0.9028,1.7024,1.6021,0.5717,1.5622,1.2526,1.1223,0.796,1.926,2.1452,0.451,0.4526,0.7955,0.8042,0.6887,0.9103,1.0188,0.452,1.9388,0.7018,0.6727,0.6822,1.5938,1.1297,0.6935,0.6959,0.7962,0.9126,0.2228,0.803,0.792,0.5657,1.5825,1.2666,0.8968,0.8134
4.1662,11.8517,10.4759,2.0888,2.0891,1.3995,62.5744,8.3334,6.2755,1.397,11.1585,7.6051,2.7665,2.0717,2.067,5.5563,10.4106,9.7641,3.4859,9.7303,7.6531,6.9635,4.8591,11.7975,13.179,2.7716,2.7894,4.8357,4.8636,4.1926,5.5647,6.2819,2.7798,11.8504,4.1768,4.1973,4.1502,9.755,6.9535,4.1496,4.1702,4.834,5.5641,1.4003,4.8917,4.8601,3.4972,9.7252,7.6638,5.5816,4.8868
3.8865,10.9512,9.6356,1.9481,1.9455,1.3014,8.3932,57.7253,5.8311,1.3192,10.3403,7.1126,2.5769,1.9203,1.9243,5.1636,9.6632,9.018,3.2106,9.0194,7.1057,6.4188,4.5541,10.9988,12.2326,2.5728,2.5809,4.4891,4.5313,3.8977,5.1579,5.8452,2.5917,10.9144,3.8671,3.8643,3.8877,9.085,6.4025,3.857,3.8742,4.5634,5.1616,1.2906,4.523,4.538,3.2388,9.0126,7.0494,5.1872,4.5197
2.9688,8.3548,7.386,1.485,1.5005,0.9832,6.4219,5.9133,43.3096,0.9872,7.8849,5.4237,1.9646,1.4707,1.4619,3.9427,7.3012,6.8947,2.4365,6.8604,5.4315,4.9028,3.4403,8.3812,9.3797,1.9846,1.9783,3.4547,3.4582,2.9598,3.9571,4.4348,1.9753,8.3633,2.9346,2.9297,2.9763,6.9186,4.9041,2.9482,2.9563,3.4541,3.967,0.993,3.4585,3.4512,2.4404,6.8803,5.4065,3.8941,3.4264
0.6762,1.9166,1.6958,0.3526,0.3397,0.2317,1.4914,1.3955,1.0334,9.619,1.8402,1.2426,0.4593,0.342,0.3349,0.9249,1.6994,1.6049,0.5649,1.6041,1.2741,1.1319,0.799,1.9226,2.1585,0.4498,0.4616,0.7922,0.7994,0.6927,0.8934,1.0266,0.4455,1.9186,0.6877,0.6733,0.6679,1.5963,1.1402,0.6868,0.6757,0.7749,0.9041,0.2297,0.7748,0.8091,0.5719,1.5952,1.2636,0.9117,0.7957
