"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
3.8662,0.5667,0.5099,0.1021,0.1022,0.0653,0.4456,0.3941,0.3051,0.0665,0.5273,0.3657,0.1302,0.0985,0.1006,0.2736,0.5053,0.4785,0.1636,0.4661,0.3638,0.3335,0.2268,0.5806,0.6382,0.134,0.131,0.235,0.2371,0.1941,0.2643,0.2949,0.1334,0.5826,0.1996,0.2058,0.1978,0.4668,0.3408,0.1914,0.1986,0.2324,0.2746,0.0618,0.2228,0.2342,0.1699,0.4744,0.3653,0.2637,0.2432
0.5427,10.997,1.3582,0.2737,0.2675,0.1834,1.1842,1.0912,0.8154,0.1795,1.4781,0.9928,0.3668,0.2818,0.2731,0.7159,1.3853,1.2844,0.4611,1.2755,1.0038,0.9175,0.6235,1.5611,1.7339,0.3676,0.3619,0.637,0.6273,0.5355,0.7316,0.8194,0.3716,1.5613,0.547,0.5531,0.5385,1.2844,0.9159,0.5557,0.5477,0.6464,0.7338,0.1817,0.6358,0.6392,0.4505,1.2587,1.0067,0.7216,0.6393
0.4897,1.3715,9.7226,0.246,0.2388,0.1625,1.0539,0.9671,0.7145,0.1532,1.2979,0.8915,0.3249,0.2399,0.2474,0.6607,1.2514,1.1383,0.4037,1.1369,0.8864,0.8091,0.5787,1.376,1.5387,0.3128,0.3347,0.578,0.5632,0.4683,0.642,0.7197,0.3337,1.3756,0.4934,0.4921,0.4909,1.1482,0.8079,0.4965,0.4917,0.5709,0.6573,0.1621,0.5654,0.5634,0.4078,1.1348,0.9044,0.64,0.5595
0.103,0.2872,0.259,1.9568,0.0479,0.0333,0.2226,0.211,0.1562,0.033,0.2667,0.1897,0.071,0.0531,0.0487,0.1409,0.2582,0.2393,0.0906,0.2434,0.1928,0.1747,0.1202,0.2868,0.32,0.0681,0.0667,0.1195,0.1214,0.1019,0.1344,0.1503,0.0663,0.2934,0.0998,0.1034,0.0981,0.2377,0.1774,0.1021,0.1028,0.1174,0.1302,0.0338,0.1202,0.1167,0.083,0.2368,0.1827,0.135,0.1317
0.1032,0.2842,0.2512,0.0473,1.9173,0.0347,0.217,0.2086,0.1455,0.0331,0.269,0.1777,0.0691,0.0463,0.0532,0.1346,0.2606,0.2381,0.0874,0.2327,0.193,0.1668,0.1212,0.2782,0.3254,0.0694,0.0678,0.1141,0.1127,0.1,0.1405,0.1478,0.0683,0.2852,0.0927,0.0986,0.1001,0.2426,0.1685,0.1027,0.104,0.1143,0.1287,0.0381,0.1162,0.1154,0.0777,0.2321,0.1873,0.1364,0.1091
0.0659,0.1951,0.1706,0.0337,0.0349,1.2958,0.1457,0.132,0.098,0.0216,0.1954,0.1242,0.0454,0.0356,0.0333,0.0902,0.1792,0.1561,0.0548,0.1574,0.1281,0.1171,0.0838,0.1915,0.2156,0.045,0.0435,0.0757,0.0801,0.0706,0.0912,0.1013,0.0452,0.1907,0.0727,0.0698,0.0686,0.165,0.1203,0.0674,0.0679,0.0767,0.0909,0.0231,0.0783,0.082,0.0592,0.1582,0.1218,0.0875,0.0782
0.4317,1.2031,1.0624,0.2129,0.2105,0.14,8.3595,0.8362,0.6423,0.1427,1.121,0.761,0.2702,0.2155,0.2143,0.5644,1.0535,1.0032,0.3469,0.9885,0.7794,0.7108,0.5019,1.2164,1.33,0.2877,0.2725,0.4927,0.4952,0.4266,0.5584,0.637,0.2941,1.189,0.4253,0.4142,0.4202,0.9884,0.6982,0.4184,0.4331,0.4902,0.5736,0.1449,0.49,0.4904,0.3468,0.9712,0.7754,0.5568,0.5047
0.3848,1.116,0.9773,0.2022,0.2016,0.1266,0.8411,7.7246,0.5811,0.1315,1.0639,0.723,0.2583,0.1955,0.1965,0.5291,0.9887,0.9162,0.3375,0.9081,0.7187,0.6436,0.4582,1.115,1.2382,0.2628,0.267,0.4636,0.4523,0.388,0.5209,0.5921,0.2588,1.1241,0.3868,0.3924,0.3857,0.9063,0.6378,0.4013,0.3916,0.4547,0.528,0.1319,0.4519,0.4499,0.3257,0.9245,0.7182,0.5226,0.4579
0.301,0.8431,0.7301,0.1534,0.1423,0.0941,0.6479,0.5887,5.8156,0.0973,0.784,0.54,0.2079,0.1473,0.1483,0.3966,0.7521,0.7007,0.2546,0.7031,0.5392,0.4956,0.3557,0.8413,0.9457,0.1979,0.192,0.336,0.3442,0.3038,0.3972,0.4446,0.1898,0.8524,0.2912,0.2994,0.3029,0.702,0.4941,0.2984,0.2981,0.3521,0.4011,0.0998,0.3479,0.3521,0.2541,0.691,0.5528,0.4029,0.3583
0.0679,0.1899,0.1609,0.0331,0.0332,0.0217,0.1488,0.1381,0.1014,1.2932,0.1848,0.1247,0.0456,0.0325,0.0328,0.0922,0.1699,0.1606,0.0586,0.1673,0.1209,0.1089,0.0806,0.1994,0.225,0.0397,0.0443,0.0842,0.0801,0.0667,0.0911,0.0982,0.0472,0.1926,0.0666,0.066,0.0676,0.1543,0.1138,0.0673,0.0657,0.076,0.0923,0.0251,0.0804,0.0812,0.0563,0.1525,0.1213,0.0899,0.079
