"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
13.3575,2.1163,1.848,0.365,0.3681,0.2429,1.5973,1.4525,1.1036,0.2446,1.9445,1.3548,0.4981,0.3673,0.3561,0.9833,1.8443,1.7349,0.6193,1.7278,1.3581,1.2468,0.8597,2.0615,2.3592,0.4922,0.5107,0.8706,0.8484,0.7251,0.9882,1.118,0.4943,2.0835,0.7497,0.7499,0.7383,1.7241,1.226,0.7411,0.74,0.838,0.986,0.2439,0.8661,0.8682,0.6111,1.7341,1.3345,0.9729,0.8494
2.0155,38.1803,5.012,1.0214,1.006,0.681,4.3445,4.0472,3.0218,0.6662,5.3686,3.6687,1.3495,1.0015,1.0072,2.6803,5.0747,4.6822,1.6682,4.7358,3.7076,3.3746,2.3495,5.7303,6.3626,1.3277,1.3136,2.37,2.3321,2.004,2.6976,3.0337,1.34,5.7104,2.0418,2.0402,2.0063,4.7007,3.3537,2.0263,2.0484,2.3695,2.6886,0.6698,2.3611,2.328,1.6859,4.7269,3.694,2.6682,2.3766
1.7833,5.0708,33.6059,0.9018,0.8877,0.5866,3.8657,3.6011,2.6821,0.5989,4.7877,3.2796,1.1995,0.8955,0.8929,2.3578,4.4769,4.1958,1.4949,4.2161,3.2544,2.9743,2.1068,5.1136,5.6531,1.1732,1.1881,2.0819,2.0894,1.8067,2.3803,2.6558,1.2026,5.0522,1.7924,1.7911,1.7698,4.1849,2.9949,1.787,1.7966,2.1133,2.3996,0.5968,2.1191,2.0934,1.5192,4.1815,3.2684,2.3693,2.1096
0.3672,1.0829,0.9412,6.697,0.1848,0.1256,0.807,0.7567,0.5623,0.1287,0.9994,0.6834,0.2454,0.1923,0.185,0.4916,0.9482,0.8714,0.3126,0.8899,0.69,0.6274,0.4417,1.0632,1.191,0.2598,0.2398,0.4378,0.4198,0.3839,0.4927,0.5596,0.2411,1.0631,0.3887,0.3694,0.3707,0.8876,0.6164,0.3854,0.3729,0.4325,0.4941,0.1257,0.4379,0.4256,0.321,0.8635,0.6852,0.4989,0.4331
0.3716,1.0653,0.9291,0.1849,6.7046,0.1231,0.8102,0.7513,0.5657,0.1237,1.0059,0.6875,0.2467,0.1907,0.1887,0.5063,0.9533,0.8673,0.3158,0.8933,0.6873,0.6244,0.4482,1.0504,1.1872,0.2472,0.2523,0.4494,0.4263,0.3675,0.4954,0.5553,0.2631,1.0653,0.3738,0.3647,0.3668,0.8929,0.6273,0.3814,0.3775,0.4368,0.4872,0.1319,0.4297,0.4412,0.3034,0.8614,0.6893,0.4985,0.4345
0.2476,0.7301,0.6197,0.126,0.1238,4.4471,0.5436,0.4995,0.3786,0.0829,0.6588,0.4543,0.1716,0.1262,0.1213,0.3246,0.6253,0.5815,0.2107,0.5848,0.458,0.4124,0.2914,0.7156,0.7879,0.1675,0.1715,0.2902,0.2942,0.245,0.3351,0.3672,0.1632,0.7084,0.2455,0.2472,0.247,0.5816,0.4086,0.2515,0.2466,0.2835,0.3408,0.0843,0.289,0.2907,0.2069,0.5936,0.4558,0.3235,0.2883
1.554,4.418,3.8938,0.7747,0.7785,0.521,29.0398,3.1143,2.3526,0.5203,4.1931,2.8556,1.0335,0.7675,0.7879,2.0776,3.9355,3.6446,1.3084,3.6404,2.8464,2.5946,1.8076,4.4259,4.9165,1.0377,1.0413,1.8319,1.793,1.5458,2.0665,2.3288,1.0352,4.4132,1.5568,1.5512,1.5589,3.6618,2.6005,1.5593,1.5753,1.8123,2.0842,0.5222,1.8324,1.8356,1.3097,3.672,2.8529,2.0651,1.8269
1.4181,4.1413,3.6458,0.7301,0.7254,0.4799,3.1143,26.87,2.1675,0.482,3.8612,2.6757,0.9588,0.7298,0.7148,1.9151,3.6198,3.392,1.2143,3.3965,2.6462,2.423,1.6687,4.0862,4.5944,0.968,0.9496,1.7014,1.6833,1.4412,1.9362,2.158,0.9903,4.1002,1.464,1.4565,1.4664,3.352,2.421,1.4322,1.4485,1.6992,1.9394,0.4907,1.6814,1.6981,1.2028,3.3526,2.6311,1.9088,1.6789
1.0866,3.121,2.7548,0.5506,0.551,0.3672,2.3961,2.1878,20.0839,0.3591,2.9307,2.0089,0.7223,0.5504,0.5568,1.4509,2.7615,2.5375,0.9083,2.5625,2.0176,1.8305,1.2806,3.1077,3.495,0.7489,0.7234,1.2746,1.2571,1.0973,1.4656,1.6393,0.7295,3.1242,1.0939,1.0837,1.1084,2.5439,1.8207,1.1022,1.1123,1.2735,1.4607,0.3618,1.2906,1.287,0.9191,2.5656,2.0201,1.4469,1.2588
0.249,0.7085,0.6298,0.1288,0.1239,0.0825,0.5459,0.5003,0.3694,4.4739,0.6715,0.4559,0.1675,0.1224,0.1265,0.34,0.6316,0.5871,0.2123,0.5933,0.4686,0.4148,0.3036,0.7167,0.7968,0.1702,0.1616,0.295,0.2884,0.2438,0.3349,0.3781,0.1636,0.7167,0.2444,0.2493,0.2489,0.5812,0.4139,0.2499,0.2505,0.2861,0.3425,0.0813,0.2926,0.3032,0.2115,0.5893,0.4634,0.334,0.2847
1.877,5.39,4.7803,0.949,0.9538,0.6269,4.1424,3.7995,2.8569,0.6348,35.7333,3.4528,1.2668,0.9559,0.964,2.5143,4.7748,4.416,1.5735,4.4356,3.4828,3.173,2.2074,5.3851,6.0274,1.2672,1.2652,2.2174,2.2148,1.8994,2.5448,2.8562,1.2602,5.3905,1.8733,1.8875,1.8539,4.3973,3.162,1.8969,1.9361,2.2139,2.5249,0.626,2.2269,2.2231,1.5798,4.4214,3.4833,2.5248,2.2237
