"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
11.6197,3.0052,2.658,0.5237,0.5279,0.3659,2.3019,2.1148,1.5689,0.3548,2.8448,1.9642,0.7203,0.5439,0.532,1.4188,2.6565,2.4763,0.8815,2.4823,1.9778,1.7625,1.2451,3.0192,3.3726,0.7009,0.6887,1.2344,1.2335,1.0536,1.405,1.6126,0.7156,3.0125,1.0617,1.0544,1.0746,2.4887,1.7679,1.054,1.0832,1.2435,1.4556,0.3448,1.2294,1.248,0.8845,2.474,1.9371,1.4173,1.2481
2.7723,32.8194,6.9649,1.3973,1.4038,0.9254,6.059,5.5242,4.1725,0.9369,7.3987,5.0887,1.8558,1.3879,1.3711,3.7116,6.9725,6.4802,2.3262,6.4788,5.1039,4.619,3.2353,7.8273,8.8497,1.841,1.8533,3.2479,3.2638,2.7904,3.6851,4.1563,1.875,7.8616,2.8277,2.7787,2.788,6.4974,4.6563,2.767,2.8103,3.2584,3.6892,0.927,3.2837,3.2539,2.3141,6.4977,5.0953,3.6892,3.2811
2.4891,7.063,28.9719,1.2525,1.2513,0.8295,5.3838,4.8818,3.7264,0.8145,6.6511,4.6045,1.68,1.2356,1.2556,3.2966,6.22,5.8332,2.0679,5.8285,4.5602,4.1214,2.8736,7.0816,7.9312,1.6338,1.6474,2.9424,2.916,2.4796,3.3215,3.7357,1.6538,7.0741,2.5041,2.494,2.513,5.7913,4.1066,2.4992,2.508,2.885,3.3249,0.8375,2.886,2.9112,2.0795,5.8738,4.536,3.3239,2.9054
0.5334,1.5431,1.3639,5.8278,0.2806,0.1847,1.1757,1.092,0.8157,0.1809,1.4486,1.0149,0.355,0.2651,0.2697,0.7126,1.3823,1.2785,0.4427,1.287,0.9944,0.907,0.6362,1.5617,1.7182,0.3533,0.357,0.6452,0.6255,0.5377,0.7277,0.8236,0.3733,1.5633,0.5457,0.5302,0.5374,1.2834,0.9075,0.5469,0.552,0.6513,0.7296,0.1772,0.6406,0.6319,0.4494,1.2824,1.0004,0.7164,0.6358
0.5407,1.5479,1.3663,0.2814,5.808,0.1776,1.179,1.0791,0.8044,0.1801,1.4546,0.9845,0.3692,0.2794,0.2682,0.7189,1.3579,1.2727,0.4569,1.2654,1.0017,0.9151,0.649,1.5234,1.7421,0.3485,0.3698,0.6235,0.6304,0.5525,0.7096,0.8171,0.3674,1.5422,0.5486,0.5606,0.5435,1.2713,0.915,0.5427,0.5357,0.6342,0.7209,0.181,0.6306,0.6324,0.4484,1.2696,1.0002,0.7248,0.6412
0.3741,1.0264,0.9068,0.1852,0.1786,3.8976,0.7993,0.7348,0.5509,0.1304,0.9806,0.6808,0.2386,0.1825,0.184,0.4843,0.923,0.8581,0.3085,0.8607,0.672,0.6017,0.4304,1.0363,1.1547,0.2455,0.2357,0.4391,0.4398,0.3793,0.4895,0.5496,0.24,1.0506,0.3784,0.3562,0.3713,0.859,0.5991,0.3697,0.3659,0.4342,0.4895,0.1222,0.436,0.4391,0.3053,0.8613,0.6704,0.4814,0.4218
2.1977,6.231,5.475,1.0978,1.0996,0.7389,25.1736,4.3293,3.2831,0.725,5.8563,4.0121,1.4635,1.0927,1.0925,2.9449,5.4754,5.1095,1.8363,5.1117,3.995,3.6279,2.5513,6.2439,6.9805,1.469,1.4432,2.5636,2.555,2.1732,2.9245,3.2982,1.469,6.2258,2.2093,2.2011,2.1903,5.1044,3.6309,2.1717,2.2142,2.5452,2.9211,0.7325,2.5603,2.5631,1.802,5.1007,4.03,2.9105,2.5745
2.0322,5.7117,4.9836,1.0242,1.0115,0.6885,4.3743,23.0921,3.0487,0.6829,5.4599,3.7429,1.3677,1.0193,1.0202,2.6643,5.0829,4.7094,1.6872,4.7338,3.6846,3.3677,2.3557,5.7133,6.4261,1.3497,1.3591,2.3884,2.3963,2.0252,2.6838,3.0422,1.356,5.7656,2.0594,2.0232,2.058,4.7389,3.3595,2.019,2.0234,2.3497,2.703,0.6705,2.3452,2.3956,1.694,4.7589,3.726,2.6824,2.3914
1.5359,4.4048,3.8853,0.7836,0.7722,0.5247,3.3755,3.1075,17.3858,0.5244,4.1443,2.8719,1.061,0.7724,0.7766,2.0638,3.8991,3.6355,1.3042,3.6397,2.8751,2.5884,1.8149,4.4521,4.8983,1.0475,1.0446,1.841,1.8418,1.5621,2.0746,2.3346,1.0117,4.4605,1.5655,1.5595,1.5412,3.6285,2.5779,1.5411,1.5699,1.8015,2.0898,0.5286,1.8026,1.8243,1.3217,3.6713,2.8407,2.0829,1.8136
0.3663,1.0419,0.8921,0.1821,0.1823,0.1304,0.7908,0.7329,0.5536,3.8653,0.9759,0.6945,0.2477,0.184,0.1872,0.4801,0.8986,0.8762,0.3002,0.8641,0.6648,0.5854,0.4356,1.0334,1.1506,0.2466,0.234,0.4284,0.421,0.3538,0.4853,0.5388,0.2425,1.0452,0.3645,0.368,0.3719,0.8283,0.6267,0.367,0.3764,0.4237,0.4915,0.1156,0.4205,0.4425,0.302,0.8662,0.665,0.4804,0.4154
