"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
36.754,8.2741,7.3299,1.4507,1.4687,0.9856,6.3626,5.9202,4.4049,0.9854,7.8585,5.3979,1.9432,1.4714,1.4819,3.9105,7.3077,6.8813,2.4304,6.8558,5.3944,4.9253,3.4038,8.2715,9.3186,1.9415,1.9488,3.4436,3.4373,2.9227,3.9133,4.4113,1.955,8.3428,2.9433,2.9431,2.9468,6.8791,4.911,2.9428,2.934,3.3963,3.9134,0.9834,3.409,3.4186,2.4722,6.8297,5.3966,3.8966,3.4237
7.6974,104.2213,19.2872,3.875,3.8593,2.5915,16.8039,15.4449,11.5647,2.5503,20.6927,14.2412,5.1524,3.8499,3.8878,10.3756,19.3609,18.1327,6.4411,18.0961,14.1543,12.8782,8.9814,21.9485,24.4775,5.1486,5.1773,9.0508,9.0695,7.7063,10.3523,11.6544,5.1473,21.976,7.7171,7.7722,7.7465,18.0507,12.8853,7.733,7.7374,9.0176,10.374,2.5947,8.9908,9.0155,6.4746,18.1142,14.1431,10.298,9.0422
6.908,19.5328,91.7741,3.4597,3.4431,2.3319,14.9972,13.7687,10.2838,2.3055,18.4316,12.6748,4.6215,3.4614,3.4475,9.2447,17.2736,16.1272,5.7467,16.1139,12.6761,11.5254,8.0714,19.5815,21.9066,4.6055,4.6445,8.0445,8.073,6.9528,9.2047,10.3479,4.6185,19.654,6.9732,6.9529,6.8685,16.0894,11.5337,6.8942,6.9369,8.0539,9.2205,2.307,8.045,8.0767,5.7865,16.1479,12.6891,9.2277,8.0937
1.4805,4.2488,3.7439,18.3164,0.7526,0.4944,3.235,2.9867,2.2531,0.4894,3.9409,2.748,0.9816,0.7631,0.7574,1.9744,3.7513,3.4606,1.2308,3.4612,2.7408,2.4936,1.7595,4.2347,4.7288,1.0034,1.0064,1.7481,1.718,1.5023,1.9652,2.2358,0.9922,4.215,1.4979,1.5123,1.4677,3.467,2.5074,1.4908,1.4877,1.7415,1.9697,0.5095,1.7366,1.7469,1.2473,3.4791,2.7295,1.9867,1.7352
1.4952,4.243,3.7253,0.7534,18.3783,0.495,3.2432,3.0059,2.2351,0.5004,4.0242,2.7635,1.004,0.7521,0.756,2.0072,3.7373,3.5152,1.2418,3.4982,2.7747,2.4946,1.7238,4.2566,4.7381,0.9969,1.003,1.7592,1.7382,1.5087,1.9935,2.2206,0.9773,4.2589,1.4825,1.504,1.4802,3.4819,2.4738,1.491,1.507,1.7292,1.9979,0.5056,1.7567,1.7302,1.2484,3.504,2.7725,1.9859,1.7536
1.0114,2.859,2.5483,0.4983,0.4961,12.2684,2.1785,1.9887,1.5067,0.3259,2.6939,1.8385,0.6731,0.5089,0.5019,1.3421,2.4845,2.3523,0.8348,2.3701,1.8608,1.6792,1.1537,2.843,3.1887,0.6633,0.6756,1.1666,1.1745,1.0096,1.3527,1.5197,0.6582,2.8728,0.994,1.0085,0.9987,2.3159,1.7138,0.9964,0.9965,1.1604,1.363,0.3308,1.1757,1.1804,0.8265,2.3495,1.8552,1.3314,1.1871
6.0719,17.234,15.1865,3.0247,3.0347,2.0208,79.6165,12.0615,9.1231,2.037,16.189,11.1189,4.0583,3.0442,3.0286,8.1283,15.1279,14.2053,5.0448,14.1744,11.1259,10.1084,7.1234,17.2327,19.1733,4.0338,4.0936,7.0701,7.0984,6.0591,8.0614,9.0844,4.0156,17.235,6.0855,6.0728,6.0397,14.1538,10.143,6.0719,6.0784,7.0775,8.0833,2.0312,7.0857,7.0644,5.0648,14.2173,11.1288,8.1011,7.0973
5.6886,15.973,14.0435,2.8104,2.8343,1.8672,12.1674,73.2808,8.4446,1.8706,15.0287,10.3622,3.7956,2.8283,2.8035,7.5148,14.0868,13.1163,4.6483,13.1277,10.3383,9.4122,6.5402,15.9624,17.8504,3.7434,3.7527,6.5535,6.5668,5.6587,7.4995,8.4205,3.7323,15.923,5.5752,5.6261,5.6226,13.141,9.3872,5.6469,5.645,6.5663,7.4695,1.8581,6.5747,6.5726,4.6865,13.0949,10.2789,7.4586,6.5973
4.3059,12.2266,10.6915,2.1701,2.1485,1.4321,9.3668,8.6028,55.0707,1.4399,11.4641,7.9161,2.8804,2.1559,2.1783,5.7449,10.7967,10.0961,3.5982,10.0408,7.954,7.1615,5.012,12.2079,13.5801,2.8937,2.8785,5.0276,5.0539,4.2875,5.7323,6.4574,2.8799,12.2191,4.3173,4.323,4.2828,10.0378,7.2099,4.3086,4.3163,5.0124,5.7704,1.438,5.0497,5.0031,3.5938,10.1052,7.921,5.7052,5.039
1.0097,2.8174,2.5105,0.4925,0.5043,0.3268,2.1941,1.9961,1.5127,12.2004,2.6523,1.8434,0.6744,0.4962,0.506,1.3489,2.5139,2.3327,0.837,2.3399,1.839,1.6706,1.16,2.8291,3.1544,0.6796,0.6885,1.1468,1.1681,0.9938,1.3482,1.5097,0.6604,2.8254,0.9951,0.9968,0.9977,2.334,1.6663,1.001,1.019,1.165,1.3357,0.3422,1.1735,1.1735,0.8213,2.3385,1.848,1.3332,1.1611
