"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
4.541,0.798,0.6929,0.1411,0.1383,0.0952,0.6196,0.5677,0.4336,0.103,0.7473,0.5187,0.1943,0.1405,0.1448,0.3692,0.7184,0.6791,0.2441,0.6509,0.5245,0.4756,0.329,0.8139,0.8884,0.1907,0.1937,0.33,0.3259,0.283,0.3767,0.4203,0.1909,0.8134,0.2859,0.2869,0.287,0.6576,0.479,0.2814,0.2794,0.3306,0.3793,0.0952,0.333,0.3312,0.2348,0.6638,0.5251,0.3842,0.3252
0.7598,12.87,1.9043,0.3899,0.3814,0.2444,1.6698,1.5243,1.1522,0.2596,2.0556,1.3969,0.5122,0.3888,0.3828,1.0132,1.9076,1.7754,0.6507,1.8051,1.4036,1.2801,0.8876,2.1969,2.4377,0.5159,0.5044,0.8875,0.8828,0.7522,1.0268,1.1445,0.5115,2.1819,0.7539,0.7574,0.7768,1.7571,1.2686,0.7705,0.7432,0.8997,1.0257,0.2536,0.9092,0.8884,0.6406,1.7782,1.4043,1.022,0.9031
0.6692,1.9152,11.355,0.3367,0.3455,0.2258,1.5102,1.3735,1.0129,0.2367,1.8527,1.2438,0.458,0.3439,0.3409,0.9054,1.7067,1.5768,0.5681,1.5614,1.2389,1.1512,0.7885,1.9477,2.1528,0.458,0.4537,0.8033,0.7868,0.6916,0.8976,1.0234,0.4596,1.9276,0.6863,0.6749,0.6871,1.6007,1.1256,0.6745,0.6764,0.8008,0.918,0.2314,0.8007,0.7948,0.5669,1.6056,1.2631,0.9136,0.7974
0.1439,0.4132,0.3543,2.2709,0.0724,0.0493,0.3078,0.2793,0.2167,0.0508,0.3781,0.2726,0.0929,0.0729,0.0744,0.1926,0.3552,0.3359,0.1158,0.3413,0.265,0.2387,0.1704,0.4082,0.4467,0.0981,0.0982,0.1659,0.1676,0.1398,0.1929,0.2137,0.0965,0.4174,0.1421,0.149,0.1414,0.3341,0.2398,0.1468,0.1429,0.1731,0.1934,0.0475,0.1741,0.1618,0.1246,0.3346,0.2641,0.1927,0.1646
0.1414,0.4063,0.3644,0.0725,2.2568,0.0494,0.3109,0.2765,0.2187,0.0478,0.3813,0.266,0.0975,0.0744,0.0717,0.1889,0.358,0.3378,0.1176,0.3316,0.2687,0.2476,0.1681,0.4038,0.4478,0.0972,0.0959,0.1691,0.1699,0.1443,0.1889,0.2194,0.0969,0.4144,0.138,0.1468,0.1406,0.3368,0.2371,0.1367,0.1411,0.1748,0.1919,0.0497,0.1577,0.1702,0.1117,0.3206,0.2597,0.1936,0.1672
0.096,0.2616,0.24,0.0491,0.0492,1.4863,0.1983,0.1847,0.1388,0.0324,0.252,0.1708,0.0651,0.0512,0.0475,0.13,0.2354,0.2193,0.0809,0.2207,0.179,0.15,0.1097,0.2667,0.2995,0.0642,0.0598,0.1109,0.1145,0.0959,0.1239,0.145,0.0607,0.2737,0.0952,0.0946,0.0973,0.2184,0.1622,0.0895,0.0915,0.1093,0.1283,0.0313,0.1133,0.1106,0.0829,0.2205,0.1723,0.1219,0.1106
0.5991,1.7048,1.5229,0.2967,0.2961,0.1889,9.8189,1.1863,0.8744,0.1951,1.5861,1.0877,0.3918,0.2948,0.3042,0.7929,1.4737,1.3903,0.5038,1.3825,1.086,0.989,0.6804,1.696,1.8661,0.3933,0.4014,0.6925,0.7025,0.5977,0.7882,0.8849,0.3967,1.6864,0.6008,0.5775,0.6005,1.386,0.9992,0.5959,0.5846,0.7067,0.803,0.1914,0.7054,0.6957,0.509,1.4046,1.0864,0.7731,0.6812
0.554,1.5601,1.3932,0.2681,0.2661,0.1778,1.1946,9.0475,0.8132,0.1878,1.4667,1.0099,0.377,0.2774,0.2685,0.7184,1.3864,1.274,0.4591,1.2938,1.0229,0.9305,0.6425,1.5602,1.751,0.369,0.3736,0.6546,0.6274,0.5505,0.7219,0.8299,0.3674,1.5608,0.5565,0.5455,0.5543,1.3029,0.9198,0.5369,0.548,0.6433,0.7469,0.1815,0.652,0.6572,0.4726,1.2977,1.0077,0.7362,0.6458
0.428,1.1977,1.0423,0.212,0.2114,0.1336,0.8878,0.8237,6.771,0.1387,1.1114,0.7546,0.2829,0.2186,0.2067,0.5453,1.038,0.9791,0.3529,0.9801,0.7742,0.7039,0.4907,1.184,1.3164,0.2764,0.2824,0.4952,0.481,0.4192,0.5507,0.6296,0.2778,1.1909,0.409,0.4229,0.4226,0.9672,0.6947,0.4118,0.4067,0.5007,0.5522,0.1349,0.4865,0.4919,0.3463,0.9749,0.7811,0.5698,0.4932
0.1042,0.2752,0.2508,0.0511,0.0484,0.0324,0.2053,0.1972,0.1449,1.5343,0.2617,0.1764,0.0636,0.0511,0.0504,0.1332,0.2361,0.2253,0.084,0.2316,0.1778,0.1534,0.1113,0.2899,0.3206,0.0631,0.0682,0.1177,0.1148,0.1007,0.126,0.147,0.0647,0.2699,0.1008,0.0986,0.0957,0.2333,0.1593,0.099,0.0937,0.1094,0.1273,0.0362,0.1185,0.1161,0.0855,0.2308,0.1785,0.1298,0.1133
