"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
14.2082,2.3771,2.1012,0.4153,0.4173,0.2868,1.8374,1.6757,1.2706,0.2855,2.2238,1.5167,0.5688,0.4237,0.4255,1.1194,2.0796,1.9648,0.7086,1.9796,1.549,1.4112,0.9999,2.3779,2.6895,0.5583,0.5525,0.9655,0.9702,0.8517,1.1145,1.2806,0.5674,2.4157,0.852,0.8324,0.8513,1.9611,1.4047,0.8512,0.8452,0.9791,1.1218,0.2768,0.9852,1.0035,0.6976,1.9932,1.5356,1.1242,0.9982
2.2629,40.406,5.7093,1.1382,1.1494,0.7627,4.9379,4.5959,3.3971,0.751,6.0716,4.1594,1.5029,1.1231,1.1605,3.0528,5.7349,5.345,1.9032,5.3656,4.1916,3.8345,2.696,6.4596,7.2472,1.501,1.5155,2.6611,2.6548,2.2951,3.0219,3.4243,1.5179,6.4825,2.2845,2.2716,2.2836,5.3137,3.8254,2.2946,2.2826,2.6601,3.0546,0.7531,2.6708,2.6645,1.9326,5.3116,4.2029,3.064,2.6671
2.0239,5.773,35.659,1.026,1.045,0.6894,4.4066,4.066,3.0559,0.6786,5.4543,3.7328,1.366,1.0058,1.0273,2.7077,5.0732,4.7324,1.6659,4.7637,3.6802,3.372,2.3792,5.8188,6.4629,1.3572,1.3619,2.36,2.3749,2.0497,2.6945,3.0619,1.3585,5.753,2.0376,2.0495,2.0165,4.7395,3.3855,2.0195,2.0513,2.3663,2.7167,0.6836,2.372,2.3705,1.6925,4.7443,3.7103,2.7032,2.3981
0.4197,1.2108,1.0789,7.1421,0.2091,0.1486,0.9431,0.856,0.6539,0.1437,1.1332,0.7895,0.2945,0.2131,0.2121,0.5653,1.0634,1.0067,0.3548,0.9891,0.7726,0.7211,0.511,1.2311,1.3748,0.2924,0.2843,0.4997,0.5027,0.4242,0.5799,0.6371,0.2889,1.2238,0.4344,0.4268,0.4413,0.9867,0.7103,0.4391,0.4265,0.5173,0.5776,0.1416,0.4937,0.5075,0.35,1.0156,0.7775,0.5647,0.5195
0.423,1.2265,1.0996,0.21,7.1497,0.1423,0.9509,0.8621,0.6585,0.1407,1.1581,0.7901,0.2873,0.2191,0.2098,0.5725,1.0754,1.015,0.3571,1.0037,0.7938,0.7147,0.4935,1.2005,1.3678,0.2873,0.2918,0.4959,0.5062,0.4294,0.5676,0.6422,0.2863,1.2147,0.4253,0.4322,0.4326,1.0076,0.7162,0.4344,0.4156,0.5011,0.5696,0.1409,0.4994,0.5114,0.3534,1.0017,0.7741,0.5573,0.5066
0.2913,0.816,0.7288,0.1486,0.1429,4.7721,0.6288,0.5832,0.443,0.097,0.7829,0.522,0.1904,0.1393,0.1387,0.3806,0.7248,0.6838,0.2429,0.6669,0.5282,0.4849,0.3316,0.8147,0.9107,0.1951,0.1836,0.3388,0.3312,0.2881,0.3817,0.4317,0.1913,0.8076,0.279,0.2961,0.2895,0.6583,0.4868,0.2905,0.2944,0.3446,0.381,0.1022,0.3544,0.3504,0.2475,0.6754,0.5357,0.3778,0.3281
1.783,5.0288,4.4528,0.9035,0.9099,0.5975,30.9188,3.6048,2.6587,0.5889,4.7326,3.2768,1.1673,0.8913,0.8915,2.3647,4.3991,4.146,1.4897,4.1395,3.2652,2.9478,2.0999,5.0389,5.656,1.1965,1.177,2.0769,2.0747,1.8001,2.3822,2.6462,1.1647,5.0568,1.7671,1.7825,1.7938,4.1635,2.9528,1.7762,1.7839,2.0886,2.3597,0.6054,2.0661,2.0744,1.4815,4.113,3.2617,2.3695,2.0888
1.6326,4.698,4.103,0.8239,0.8297,0.5576,3.6182,28.5609,2.4597,0.5418,4.4033,3.0082,1.1159,0.8328,0.8429,2.2143,4.1041,3.8364,1.3643,3.8888,3.0112,2.7546,1.9138,4.6583,5.2396,1.0963,1.1074,1.9185,1.9,1.6584,2.1899,2.4759,1.0952,4.6896,1.6531,1.667,1.6626,3.854,2.7336,1.6635,1.6404,1.9363,2.2315,0.5493,1.9338,1.9044,1.3787,3.8429,3.03,2.1751,1.9439
1.2492,3.5272,3.1366,0.6369,0.6409,0.4287,2.7044,2.489,21.3736,0.4164,3.3497,2.3003,0.8322,0.624,0.6325,1.6587,3.1357,2.9371,1.0441,2.9098,2.29,2.0896,1.4623,3.5665,3.9716,0.8192,0.8257,1.4306,1.4404,1.2574,1.6485,1.8688,0.8351,3.5656,1.2503,1.2731,1.2319,2.9368,2.069,1.2575,1.2333,1.4462,1.6788,0.4206,1.4736,1.4628,1.0519,2.9317,2.287,1.6742,1.4663
0.2893,0.7985,0.7189,0.1436,0.1409,0.0963,0.6156,0.5639,0.4281,4.7339,0.7593,0.524,0.1862,0.1422,0.1384,0.377,0.6838,0.674,0.2431,0.6613,0.5235,0.4827,0.3322,0.818,0.8938,0.1926,0.1899,0.3371,0.3337,0.2938,0.3898,0.438,0.1932,0.8036,0.2821,0.2731,0.2779,0.6644,0.4702,0.2833,0.2739,0.3371,0.3806,0.0976,0.339,0.3369,0.2377,0.6726,0.5253,0.3717,0.3369
