"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
17.921,5.122,4.5141,0.9076,0.9005,0.618,3.9054,3.6287,2.7252,0.5958,4.8044,3.2684,1.2004,0.9052,0.9076,2.4086,4.4599,4.22,1.5021,4.2091,3.3121,2.9995,2.1006,5.0867,5.7029,1.1858,1.1978,2.1099,2.1209,1.7872,2.3917,2.701,1.2078,5.1321,1.8151,1.807,1.8088,4.2234,3.034,1.7983,1.8169,2.1243,2.4398,0.6013,2.0728,2.1107,1.5115,4.2273,3.3164,2.4034,2.1094
4.6999,50.7207,11.759,2.3243,2.3514,1.5678,10.1487,9.3993,7.0306,1.557,12.4696,8.5251,3.1177,2.3342,2.3535,6.2514,11.7343,10.9023,3.867,10.9367,8.627,7.7739,5.4704,13.2901,14.786,3.1135,3.1357,5.4653,5.4593,4.682,6.243,7.0585,3.1301,13.3327,4.6874,4.6762,4.6973,10.96,7.8493,4.6603,4.6719,5.477,6.2279,1.5812,5.4203,5.4796,3.9381,10.9897,8.6019,6.2025,5.4404
4.2121,11.96,44.8698,2.1019,2.1175,1.4238,9.1435,8.4501,6.3056,1.4064,11.2124,7.7082,2.8123,2.1106,2.1027,5.6142,10.5065,9.8665,3.4888,9.8033,7.7387,6.9926,4.9612,11.8864,13.2338,2.823,2.8057,4.9065,4.9024,4.1745,5.5856,6.3477,2.8298,11.9509,4.1982,4.1964,4.2144,9.8607,7.0638,4.2267,4.2126,4.8875,5.6508,1.4007,4.8806,4.925,3.5237,9.7947,7.7196,5.5796,4.936
0.9301,2.5936,2.3087,8.9503,0.4658,0.306,2.0131,1.8467,1.3827,0.31,2.4675,1.6895,0.6178,0.4681,0.4657,1.2202,2.3121,2.2084,0.7479,2.1671,1.716,1.5525,1.0852,2.6218,2.9238,0.6138,0.6147,1.0965,1.0862,0.9218,1.2218,1.3859,0.6065,2.6322,0.9181,0.9365,0.9218,2.1459,1.5699,0.9235,0.9134,1.0614,1.2416,0.3007,1.0539,1.0688,0.774,2.1612,1.6762,1.2165,1.0698
0.9211,2.6259,2.3366,0.4661,8.965,0.3043,1.9928,1.8388,1.4088,0.305,2.4596,1.6851,0.6283,0.4566,0.4665,1.2531,2.2884,2.1775,0.76,2.1603,1.7291,1.5224,1.0791,2.5911,2.9233,0.6154,0.6215,1.0662,1.0673,0.9135,1.2323,1.3869,0.626,2.6261,0.9139,0.9144,0.9298,2.1759,1.5388,0.9344,0.9175,1.0649,1.2251,0.3141,1.0807,1.067,0.7759,2.1835,1.6978,1.2453,1.0944
0.636,1.7688,1.5827,0.3107,0.3076,5.9608,1.3538,1.2344,0.9505,0.2073,1.6712,1.1236,0.4157,0.3135,0.3079,0.8252,1.5377,1.461,0.5112,1.4511,1.1351,1.0361,0.7237,1.741,1.9472,0.4118,0.4049,0.7431,0.7321,0.6297,0.8402,0.9419,0.4214,1.7702,0.6258,0.6038,0.6183,1.4328,1.0354,0.6312,0.6161,0.7147,0.8222,0.204,0.7208,0.7232,0.5067,1.4508,1.1147,0.8058,0.7204
3.6904,10.4614,9.285,1.8552,1.8455,1.241,38.787,7.4073,5.5635,1.2226,9.8365,6.7505,2.4678,1.8538,1.8461,4.9462,9.1952,8.614,3.0595,8.5946,6.7997,6.112,4.3523,10.4722,11.6821,2.4432,2.471,4.3048,4.3301,3.65,4.9038,5.5323,2.4454,10.4964,3.7073,3.6679,3.7182,8.598,6.2043,3.7183,3.6906,4.3043,4.9023,1.2126,4.2927,4.34,3.0783,8.626,6.7759,4.9231,4.303
3.4492,9.7679,8.654,1.7197,1.7134,1.1354,7.4631,35.8157,5.1529,1.1409,9.1608,6.2721,2.2859,1.7203,1.714,4.5996,8.5774,8.0024,2.8525,8.047,6.3231,5.7063,4.0084,9.8118,10.8463,2.3047,2.2939,4.0108,4.0319,3.4173,4.5662,5.1644,2.2753,9.7583,3.4747,3.4616,3.4163,8.0421,5.7561,3.4486,3.4444,4.0102,4.6153,1.1446,3.9839,4.0154,2.881,8.0456,6.3238,4.6027,4.0163
2.6591,7.4788,6.6137,1.3157,1.3432,0.8953,5.7461,5.2939,26.8185,0.8867,7.041,4.833,1.7656,1.3048,1.3238,3.5379,6.579,6.1643,2.2027,6.1603,4.836,4.3936,3.0972,7.459,8.3846,1.7528,1.7677,3.0857,3.0885,2.6347,3.5278,3.973,1.746,7.4123,2.6148,2.6344,2.6052,6.1785,4.4012,2.6474,2.6344,3.0771,3.5102,0.8733,3.0936,3.0697,2.2213,6.1409,4.8295,3.5016,3.1079
0.6166,1.7526,1.5621,0.3133,0.3067,0.2071,1.3314,1.2401,0.9387,5.9539,1.6581,1.1335,0.4222,0.3011,0.3117,0.829,1.5369,1.4613,0.5011,1.4572,1.1288,1.0205,0.735,1.7425,1.9428,0.4122,0.4016,0.7064,0.7244,0.6287,0.8415,0.9317,0.4096,1.7425,0.6191,0.614,0.6051,1.4472,1.0352,0.629,0.631,0.7294,0.8402,0.2078,0.7236,0.7216,0.5264,1.446,1.145,0.8232,0.7181
