"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
34.0683,7.7758,6.8967,1.3807,1.3695,0.9151,5.9404,5.4963,4.1202,0.9114,7.3494,5.013,1.8487,1.3942,1.3921,3.6631,6.8858,6.406,2.2865,6.4197,4.9954,4.548,3.222,7.7934,8.7418,1.8425,1.8667,3.1917,3.1978,2.7508,3.6528,4.1394,1.818,7.8034,2.7312,2.7654,2.74,6.4282,4.5593,2.7463,2.7589,3.1744,3.6619,0.9074,3.2005,3.203,2.2785,6.422,5.0556,3.6965,3.201
7.2087,96.6075,18.0995,3.6071,3.6077,2.3844,15.6866,14.4595,10.8192,2.4109,19.3118,13.2053,4.7855,3.6232,3.6051,9.6333,18.0202,16.8683,6.0276,16.8572,13.2679,12.0085,8.3826,20.4981,22.8152,4.8462,4.8895,8.4327,8.4333,7.2857,9.6236,10.8605,4.8458,20.4895,7.2138,7.2387,7.2563,16.8761,12.0171,7.2305,7.2716,8.4264,9.6274,2.4083,8.41,8.4049,6.0326,16.8168,13.2857,9.6591,8.4334
6.4721,18.3178,85.3275,3.2344,3.2715,2.1471,13.9906,12.9453,9.647,2.1343,17.3137,11.7823,4.3035,3.2531,3.2479,8.6063,16.1958,15.098,5.3976,15.0923,11.8158,10.7783,7.5636,18.3077,20.4938,4.3135,4.2816,7.5458,7.5289,6.4895,8.5793,9.7682,4.3344,18.359,6.4486,6.4947,6.4593,15.0849,10.8177,6.4644,6.4733,7.546,8.6447,2.1611,7.4949,7.5252,5.3768,15.0371,11.8411,8.6464,7.582
1.4034,3.9744,3.5173,17.0477,0.7004,0.4824,3.0148,2.8055,2.1149,0.4827,3.7388,2.5656,0.9272,0.6964,0.7024,1.8727,3.4894,3.2503,1.194,3.2792,2.5544,2.3447,1.6328,3.9915,4.444,0.9233,0.9489,1.6054,1.6489,1.4044,1.8535,2.1168,0.9392,4.0027,1.3946,1.3806,1.4204,3.2493,2.3512,1.407,1.4164,1.624,1.9009,0.4827,1.6426,1.6374,1.1866,3.2465,2.5462,1.8802,1.6354
1.4022,3.9814,3.5599,0.7013,17.0849,0.4605,3.039,2.7972,2.098,0.462,3.7165,2.5613,0.9365,0.7089,0.7108,1.8794,3.5368,3.2823,1.1696,3.3216,2.5943,2.3217,1.6212,3.9877,4.4265,0.9352,0.9605,1.6406,1.6463,1.3967,1.8677,2.1414,0.9416,3.9767,1.4006,1.3978,1.4019,3.2561,2.3573,1.4157,1.3892,1.6632,1.8612,0.4559,1.655,1.6528,1.1734,3.2666,2.601,1.8913,1.6511
0.9413,2.6468,2.3462,0.486,0.4643,11.3473,2.0489,1.8815,1.4182,0.3111,2.5035,1.7228,0.6326,0.4734,0.4664,1.2488,2.3448,2.2057,0.7784,2.1719,1.7315,1.5566,1.0822,2.6759,2.9687,0.6317,0.6367,1.104,1.0915,0.9674,1.268,1.409,0.6302,2.6887,0.9345,0.9315,0.9281,2.1888,1.5616,0.9381,0.9383,1.0906,1.2573,0.3101,1.1208,1.0961,0.772,2.2075,1.7126,1.2483,1.0969
5.6474,16.1113,14.2088,2.82,2.8349,1.8988,73.9453,11.3526,8.5371,1.8941,15.1871,10.398,3.7812,2.8634,2.8276,7.5834,14.1782,13.2266,4.7398,13.2826,10.444,9.4412,6.6593,16.1632,17.96,3.803,3.7867,6.6145,6.6066,5.7064,7.5865,8.5174,3.805,16.1058,5.6669,5.6736,5.6843,13.2682,9.5178,5.6566,5.7164,6.6457,7.6079,1.9039,6.6481,6.6482,4.7144,13.2497,10.4055,7.5736,6.629
5.252,14.9657,13.2283,2.6429,2.6249,1.7546,11.4357,68.334,7.9373,1.7702,14.1533,9.6546,3.5378,2.6757,2.6442,7.0211,13.1902,12.2736,4.4081,12.268,9.6728,8.8428,6.1673,14.9419,16.6982,3.5147,3.5161,6.1562,6.1365,5.2871,7.0453,7.9187,3.5183,14.9203,5.3092,5.3067,5.2932,12.3241,8.841,5.2444,5.2786,6.1924,7.0465,1.7685,6.1636,6.1831,4.3687,12.2407,9.6762,7.0306,6.1945
4.0369,11.4122,10.0666,2.0312,2.0134,1.3465,8.7705,8.0971,51.1765,1.3419,10.8173,7.4028,2.6966,2.0317,2.0229,5.3771,10.0449,9.4603,3.3751,9.4431,7.4066,6.7288,4.7171,11.4551,12.8029,2.6884,2.6964,4.741,4.6511,4.0537,5.3846,6.1104,2.7079,11.5186,4.0042,4.0472,4.0259,9.3962,6.7718,4.0337,4.0496,4.6955,5.3437,1.3504,4.6775,4.7439,3.3219,9.3957,7.4363,5.3984,4.7366
0.9371,2.6601,2.3313,0.4869,0.4669,0.3116,2.0427,1.897,1.408,11.3708,2.4778,1.7163,0.6263,0.4701,0.4646,1.2384,2.3444,2.222,0.7787,2.206,1.7324,1.5747,1.1019,2.6668,2.9989,0.62,0.6268,1.1024,1.103,0.9515,1.2482,1.4239,0.6363,2.6956,0.9427,0.9364,0.9394,2.2005,1.5717,0.9461,0.9504,1.0989,1.2657,0.3107,1.1092,1.085,0.7778,2.2056,1.7115,1.2618,1.1137
