"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
4.3179,0.7348,0.6464,0.1396,0.1293,0.087,0.5693,0.5181,0.3845,0.0887,0.695,0.478,0.1621,0.1341,0.1298,0.3405,0.6543,0.6137,0.2085,0.6099,0.4799,0.4311,0.298,0.7344,0.8148,0.1764,0.1787,0.2982,0.3043,0.2666,0.335,0.3869,0.1704,0.7316,0.2607,0.2496,0.2614,0.6109,0.4353,0.2577,0.2561,0.3053,0.3451,0.0868,0.3065,0.298,0.2144,0.6148,0.465,0.347,0.3014
0.7008,12.215,1.7604,0.353,0.3539,0.2285,1.53,1.4164,1.0421,0.2393,1.8631,1.2982,0.4666,0.3408,0.3484,0.9524,1.7695,1.6223,0.5911,1.6307,1.2898,1.1647,0.8084,1.9743,2.2064,0.4704,0.4685,0.8253,0.8141,0.717,0.9447,1.0711,0.4658,1.9922,0.6912,0.6957,0.7052,1.659,1.1604,0.6799,0.7031,0.8127,0.926,0.2299,0.8232,0.8002,0.5776,1.6301,1.2741,0.9357,0.82
0.6205,1.7761,10.7785,0.3164,0.3044,0.2112,1.3668,1.2577,0.9231,0.2047,1.6663,1.1538,0.4155,0.315,0.3059,0.8224,1.5645,1.4443,0.5165,1.4634,1.1523,1.0485,0.7229,1.7623,1.9729,0.4256,0.4243,0.7219,0.725,0.619,0.8333,0.9246,0.4056,1.7566,0.6254,0.6236,0.6213,1.4358,1.0416,0.6273,0.6313,0.7255,0.8555,0.2049,0.7356,0.7326,0.5246,1.4664,1.1344,0.8462,0.7309
0.1424,0.3754,0.3348,2.1756,0.0663,0.0432,0.2922,0.2717,0.1934,0.0404,0.3591,0.2392,0.0889,0.0613,0.0751,0.1737,0.3274,0.3265,0.1115,0.3065,0.2389,0.2168,0.1544,0.3646,0.421,0.0855,0.0863,0.1534,0.1569,0.1326,0.164,0.195,0.085,0.3696,0.1382,0.1365,0.1309,0.3163,0.2214,0.1333,0.1335,0.1492,0.1862,0.0471,0.1542,0.1601,0.1093,0.3137,0.2376,0.1779,0.1583
0.1315,0.3779,0.3187,0.0668,2.1372,0.0482,0.2962,0.259,0.1916,0.0416,0.3395,0.2437,0.0876,0.0609,0.0634,0.1751,0.3199,0.3006,0.1007,0.3042,0.2396,0.2283,0.1517,0.3685,0.4037,0.085,0.0891,0.1529,0.149,0.1315,0.1812,0.1906,0.0886,0.3676,0.1329,0.129,0.1359,0.3068,0.2171,0.1367,0.1296,0.1558,0.1749,0.0419,0.1576,0.1504,0.113,0.3014,0.2327,0.1716,0.1548
0.0888,0.245,0.2207,0.0433,0.0485,1.4442,0.1974,0.1796,0.13,0.0317,0.2353,0.1642,0.0621,0.0462,0.0418,0.1166,0.2196,0.2107,0.0729,0.2079,0.1606,0.1433,0.0993,0.2572,0.2801,0.0558,0.0601,0.1005,0.1021,0.0843,0.1114,0.1288,0.0565,0.2418,0.0923,0.0902,0.087,0.2088,0.1511,0.0928,0.0924,0.1,0.1181,0.0301,0.0971,0.1001,0.0722,0.2036,0.1672,0.1197,0.0989
0.553,1.5533,1.3691,0.2787,0.2818,0.1891,9.3582,1.0738,0.8249,0.1919,1.4686,0.9943,0.3555,0.2733,0.276,0.7191,1.3598,1.2771,0.4416,1.2635,0.988,0.9138,0.6339,1.548,1.7335,0.3537,0.365,0.6356,0.6292,0.5533,0.7202,0.8262,0.3609,1.5649,0.5495,0.5364,0.5414,1.276,0.9218,0.5539,0.5416,0.6407,0.7356,0.1895,0.6332,0.646,0.4497,1.2737,1.0016,0.7409,0.6341
0.5033,1.4427,1.276,0.2632,0.2496,0.1716,1.0852,8.6173,0.757,0.1781,1.3471,0.9166,0.3473,0.2605,0.2515,0.6644,1.2583,1.1846,0.4266,1.1775,0.9262,0.8377,0.5805,1.4306,1.6103,0.3376,0.3375,0.5778,0.5763,0.5038,0.6749,0.7606,0.3262,1.4587,0.5138,0.5086,0.5012,1.1875,0.8449,0.5126,0.5048,0.5941,0.6743,0.1776,0.5863,0.5899,0.4275,1.1824,0.9232,0.6875,0.5898
0.3798,1.0808,0.9504,0.1866,0.1872,0.1254,0.8354,0.7627,6.4598,0.1272,1.0235,0.7109,0.2527,0.1863,0.1959,0.5241,0.9571,0.8769,0.327,0.89,0.7136,0.6467,0.4553,1.0891,1.2179,0.2572,0.2531,0.4356,0.4502,0.3875,0.5034,0.5688,0.2582,1.0945,0.3932,0.3738,0.3871,0.9012,0.6398,0.3884,0.3863,0.449,0.494,0.1282,0.4467,0.4462,0.32,0.8955,0.708,0.5178,0.4481
0.0901,0.2541,0.2152,0.0404,0.042,0.0313,0.2003,0.1844,0.1307,1.463,0.2461,0.1715,0.0588,0.0465,0.0438,0.1211,0.2232,0.2082,0.0767,0.2152,0.1667,0.15,0.1029,0.256,0.2836,0.0602,0.0638,0.1043,0.1009,0.0898,0.1226,0.1386,0.0574,0.2513,0.0923,0.0891,0.0923,0.2179,0.1451,0.0905,0.0893,0.1054,0.1202,0.0268,0.1037,0.1021,0.0752,0.2048,0.1635,0.1207,0.106
