"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
11.8701,1.964,1.7571,0.3422,0.3484,0.2256,1.5216,1.3878,1.0629,0.2366,1.875,1.2632,0.4625,0.3562,0.3514,0.9453,1.768,1.6235,0.5794,1.6356,1.2774,1.1723,0.8165,1.9954,2.2299,0.4709,0.4599,0.8089,0.8049,0.6936,0.9351,1.0459,0.4663,1.9716,0.6975,0.712,0.7027,1.638,1.169,0.6962,0.7078,0.836,0.9285,0.228,0.821,0.8086,0.5773,1.6423,1.2662,0.9331,0.8167
1.8642,33.6566,4.6959,0.9466,0.9257,0.6382,4.1134,3.779,2.8374,0.6149,5.0105,3.4236,1.269,0.9421,0.9594,2.489,4.7233,4.4358,1.5628,4.4176,3.4762,3.171,2.1928,5.3481,5.9825,1.2627,1.2568,2.2107,2.1982,1.8844,2.509,2.824,1.2521,5.3287,1.8795,1.8932,1.8869,4.4099,3.1431,1.9058,1.8923,2.192,2.5259,0.6192,2.2259,2.1969,1.5502,4.4201,3.4375,2.5051,2.2078
1.688,4.7344,29.7804,0.8424,0.8382,0.5399,3.6581,3.3664,2.5201,0.5609,4.5396,3.0905,1.1266,0.8243,0.8397,2.2357,4.2686,3.9672,1.4066,3.9174,3.0965,2.8266,1.974,4.7536,5.3748,1.1095,1.1085,1.9808,1.9545,1.6982,2.2205,2.5252,1.1175,4.7937,1.7039,1.6991,1.6732,3.9245,2.8068,1.6849,1.6605,1.9762,2.2287,0.5688,1.9667,1.9776,1.392,3.9394,3.0842,2.25,1.9722
0.3451,1.0114,0.8882,5.9425,0.1822,0.1199,0.7682,0.7313,0.5387,0.1172,0.9423,0.6684,0.2356,0.1777,0.1839,0.4751,0.8947,0.8122,0.2925,0.8345,0.6582,0.5872,0.4063,1.0077,1.1206,0.2378,0.236,0.4092,0.4103,0.3552,0.4805,0.5305,0.2344,0.9935,0.3628,0.3531,0.3613,0.8326,0.5857,0.3548,0.3625,0.4214,0.4738,0.1217,0.3986,0.4095,0.31,0.8309,0.6479,0.4671,0.4069
0.3515,0.9839,0.8876,0.182,5.9081,0.1218,0.7613,0.7074,0.5357,0.1147,0.9448,0.6368,0.2317,0.1746,0.179,0.4649,0.8974,0.8195,0.2931,0.8379,0.6575,0.5914,0.4147,0.9937,1.119,0.2279,0.2391,0.4099,0.408,0.3466,0.4695,0.5255,0.2315,0.9963,0.3532,0.3605,0.3526,0.827,0.5881,0.3454,0.357,0.4158,0.463,0.1215,0.4141,0.4107,0.2965,0.8171,0.6429,0.4731,0.412
0.2294,0.6843,0.5708,0.1214,0.1233,3.9492,0.505,0.4717,0.3643,0.0803,0.6461,0.4415,0.1567,0.1246,0.1176,0.3086,0.5859,0.5516,0.2007,0.5446,0.4444,0.3963,0.2741,0.6901,0.7529,0.1618,0.1572,0.2788,0.2805,0.2394,0.3121,0.3505,0.1502,0.6488,0.2359,0.233,0.2289,0.5549,0.3864,0.2398,0.2392,0.2709,0.3099,0.0752,0.2715,0.2766,0.2,0.5648,0.4326,0.3106,0.2706
1.4747,4.1834,3.6897,0.733,0.7264,0.4836,25.8484,2.9645,2.2198,0.4918,3.95,2.7107,0.9963,0.7413,0.737,1.9665,3.6683,3.4563,1.2224,3.4182,2.6871,2.4789,1.7255,4.1898,4.7077,0.9847,0.9737,1.7428,1.7116,1.4692,1.9661,2.2202,0.9746,4.1625,1.4567,1.5028,1.4762,3.4691,2.4665,1.4634,1.4762,1.712,1.9715,0.492,1.7222,1.7164,1.2284,3.4396,2.6949,1.9713,1.6961
1.3544,3.8788,3.4127,0.7011,0.6829,0.4513,2.9743,23.8372,2.0642,0.4583,3.6267,2.5026,0.9138,0.6922,0.6907,1.8378,3.4424,3.1838,1.1266,3.2215,2.4843,2.2954,1.6069,3.8906,4.3217,0.9157,0.8946,1.5982,1.5854,1.3673,1.8326,2.0582,0.9044,3.8593,1.3848,1.3787,1.3856,3.2084,2.2751,1.3745,1.3676,1.6086,1.7954,0.4548,1.5962,1.594,1.1363,3.1979,2.4928,1.8384,1.6044
1.0479,2.9311,2.5828,0.5263,0.518,0.3513,2.2581,2.0901,17.8603,0.3527,2.7584,1.8776,0.6991,0.5181,0.5245,1.3881,2.5984,2.4283,0.8733,2.3994,1.8999,1.7357,1.2173,2.9464,3.315,0.6906,0.6771,1.2012,1.2023,1.0352,1.3936,1.5596,0.6877,2.9492,1.0317,1.0774,1.0541,2.422,1.7362,1.0505,1.0512,1.2059,1.3914,0.3389,1.2184,1.1998,0.8889,2.4038,1.9202,1.3697,1.1971
0.241,0.6529,0.5924,0.1174,0.1155,0.08,0.5162,0.4777,0.362,3.9524,0.6352,0.4274,0.1534,0.1159,0.1155,0.3109,0.5857,0.5546,0.2031,0.5596,0.4322,0.403,0.277,0.6842,0.741,0.1597,0.1595,0.2823,0.2773,0.2337,0.3111,0.3527,0.1554,0.6782,0.2415,0.2381,0.2344,0.5667,0.3938,0.2371,0.2324,0.2752,0.3113,0.0825,0.2852,0.2783,0.1995,0.5516,0.4393,0.3257,0.2731
