"D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
17.0988,4.9615,4.3877,0.8781,0.8653,0.5907,3.8143,3.4974,2.6453,0.5924,4.6589,3.2236,1.1571,0.8669,0.8646,2.3489,4.3504,4.0909,1.4638,4.0873,3.2012,2.9273,2.046,4.9766,5.5751,1.173,1.1629,2.055,2.0425,1.7593,2.3234,2.628,1.1694,4.9764,1.7474,1.7532,1.7551,4.0948,2.9344,1.7417,1.786,2.02,2.3582,0.5912,2.0823,2.0567,1.4366,4.1214,3.2015,2.3214,2.0703
4.5306,48.6097,11.3558,2.2991,2.2574,1.52,9.824,9.1206,6.8549,1.529,12.1309,8.3531,3.037,2.2781,2.2692,6.0709,11.4053,10.6363,3.7761,10.6477,8.3711,7.5676,5.3516,12.9498,14.4123,3.0574,3.0587,5.3088,5.3261,4.577,6.0397,6.8151,3.0199,12.882,4.5562,4.5288,4.5671,10.6088,7.588,4.5692,4.5783,5.312,6.1099,1.5256,5.3193,5.2954,3.8069,10.6842,8.3587,6.0793,5.3387
4.0788,11.5656,42.8442,2.0644,2.0156,1.3538,8.829,8.1827,6.1405,1.3548,10.9121,7.521,2.7444,2.0337,2.0606,5.4526,10.1846,9.543,3.3883,9.5323,7.4705,6.7615,4.7581,11.5657,12.9817,2.7276,2.713,4.7766,4.7689,4.1079,5.4363,6.1127,2.7251,11.5955,4.0819,4.0807,4.1118,9.5469,6.8104,4.0628,4.1022,4.7536,5.4831,1.37,4.7769,4.7376,3.404,9.5237,7.4588,5.4286,4.7837
0.9004,2.5797,2.2802,8.6053,0.4497,0.2965,1.9367,1.8299,1.3586,0.2989,2.442,1.671,0.6103,0.4586,0.4582,1.2003,2.2695,2.1175,0.7544,2.1097,1.6637,1.4932,1.0533,2.5511,2.8447,0.5937,0.5986,1.0604,1.0409,0.9127,1.217,1.365,0.5966,2.5694,0.9221,0.9077,0.9097,2.1015,1.4795,0.899,0.9053,1.0601,1.2371,0.3126,1.0599,1.0619,0.7636,2.1102,1.6602,1.1859,1.0574
0.8915,2.5312,2.228,0.4502,8.5093,0.2945,1.9239,1.7724,1.3532,0.3052,2.3686,1.6525,0.5909,0.4437,0.4462,1.1744,2.2218,2.0916,0.7369,2.1079,1.6421,1.511,1.0509,2.5356,2.8366,0.602,0.6059,1.0455,1.0307,0.8972,1.185,1.3417,0.6065,2.5576,0.8891,0.9071,0.8963,2.0971,1.4748,0.9195,0.9017,1.0296,1.2102,0.3075,1.0517,1.0546,0.7418,2.0906,1.6205,1.2099,1.0591
0.613,1.7232,1.5177,0.3002,0.2983,5.733,1.3245,1.2004,0.928,0.2037,1.6259,1.1062,0.413,0.298,0.2952,0.8129,1.5223,1.4201,0.5187,1.3955,1.1082,1.016,0.7148,1.7314,1.9365,0.4006,0.4071,0.721,0.7043,0.6067,0.8197,0.9172,0.3942,1.7038,0.6121,0.6144,0.6139,1.4488,1.0233,0.5971,0.5909,0.7127,0.806,0.2083,0.7117,0.6993,0.5052,1.4177,1.1147,0.8001,0.717
3.5989,10.1702,8.9765,1.7864,1.7778,1.2074,37.0322,7.1657,5.4267,1.202,9.5702,6.5926,2.415,1.7966,1.818,4.7839,8.9662,8.3963,2.9776,8.367,6.5774,5.9933,4.2088,10.1753,11.3679,2.3842,2.4138,4.2135,4.2021,3.6031,4.8155,5.3942,2.3978,10.216,3.6098,3.5814,3.6114,8.4102,5.9186,3.5712,3.5671,4.1998,4.8001,1.2077,4.1748,4.1794,2.9897,8.3671,6.5738,4.7898,4.1918
3.3417,9.5302,8.3933,1.7054,1.643,1.1034,7.2172,34.246,5.0161,1.1195,8.9498,6.1409,2.2174,1.6744,1.6669,4.4509,8.3364,7.7562,2.7609,7.7831,6.1155,5.5623,3.9082,9.5329,10.5884,2.2465,2.2677,3.9189,3.9209,3.3624,4.4651,4.9907,2.2253,9.472,3.3363,3.3465,3.3766,7.8118,5.5634,3.3543,3.3429,3.9219,4.4774,1.1208,3.8912,3.9066,2.8043,7.8921,6.0965,4.4671,3.9178
2.5785,7.3451,6.4458,1.2933,1.2921,0.8756,5.5763,5.1237,25.7994,0.8737,6.8817,4.7563,1.7237,1.2801,1.293,3.4323,6.421,6.0316,2.1095,6.0056,4.744,4.2875,3.0131,7.3703,8.1711,1.7065,1.728,3.0059,3.0191,2.5674,3.4408,3.8315,1.7013,7.3345,2.5408,2.5894,2.587,5.9666,4.3048,2.5666,2.5932,2.9723,3.4294,0.8669,3.0339,2.9834,2.1513,6.0569,4.7723,3.4435,3.0113
0.614,1.726,1.5028,0.3029,0.3081,0.2036,1.3214,1.2154,0.9253,5.7005,1.627,1.1059,0.4043,0.3058,0.3001,0.8025,1.4941,1.432,0.5094,1.4171,1.1265,1.0089,0.7155,1.7322,1.9081,0.3996,0.4001,0.71,0.7185,0.6003,0.812,0.9092,0.4004,1.7325,0.6041,0.6077,0.5974,1.4128,0.9979,0.5975,0.602,0.7028,0.7942,0.2074,0.7202,0.7051,0.504,1.4214,1.1166,0.7975,0.7115
