"exp","coded.name","genotype","label","brain.no","side","mz19.bouton.count","mz19.cell.count"
21,12,"luc","control",2,"r",45,14
21,31,"luc","control",1,"l",26,11
21,3,"luc","control",1,"r",24,12
21,4,"luc","control",8,"r",27,12
21,17,"luc","control",8,"l",35,10
21,7,"DTA","DTA",2,"r",39,4
21,10,"DTA","DTA",2,"l",65,7
21,20,"DTA","DTA",4,"l",43,11
21,13,"DTA","DTA",4,"r",68,8
21,32,"luc","control",4,"r",46,12
21,6,"luc","control",5,"r",21,11
21,29,"luc","control",6,"l",31,13
21,23,"luc","control",6,"r",30,13
21,27,"luc","control",7,"l",30,16
21,15,"luc","control",7,"r",28,11
21,26,"DTA","DTA",1,"l",58,9
21,24,"DTA","DTA",5,"r",68,9
21,18,"DTA","DTA",5,"l",75,5
22,26,"caryP","control",3,"l",31,NA
22,17,"caryP","control",4,"l",31,NA
22,5,"caryP","control",8,"l",36,NA
22,19,"caryP","control",8,"r",43,NA
22,25,"caryP","control",1,"l",38,17
22,18,"caryP","control",1,"r",36,NA
22,3,"caryP","control",2,"l",44,13
22,21,"caryP","control",2,"r",31,NA
22,22,"caryP","control",7,"r",40,13
22,16,"caryP","control",6,"l",18,12
22,1,"caryP","control",6,"r",23,NA
22,10,"DTA","DTA",7,"l",50,7
22,13,"DTA","DTA",7,"r",30,11
22,14,"DTA","DTA",6,"l",53,13
22,9,"DTA","DTA",6,"r",49,NA
22,6,"DTA","DTA",5,"l",51,NA
22,24,"DTA","DTA",5,"r",60,NA
22,11,"DTA","DTA",4,"l",39,12
22,23,"DTA","DTA",4,"r",37,15
22,12,"DTA","DTA",3,"l",52,11
22,2,"DTA","DTA",3,"r",44,NA
22,7,"DTA","DTA",2,"l",85,13
22,8,"DTA","DTA",1,"l",31,NA
22,20,"DTA","DTA",1,"r",25,NA
