"image","side","z","roi","Area","brain.number","genotype","chat.fluo","chat.slice.fluo","chat.norm.f","mz19.fluo","mz19.slice.fluo","mz19.norm.f","kc.fluo","kc.slice.fluo","kc.norm.f","sampleid"
"02","L","5/","mz19",6.491,"15D","dpr4",144.031,108.851,1.32319409100514,114.332,40.374,2.83182245999901,205.329,120.623,1.70223755005264,"02L"
"02","L","7/","mz19",3.608,"15D","dpr4",177.464,106.15,1.67182289213377,142.318,39.898,3.5670459672164,192.737,102.121,1.88733952859843,"02L"
"02","L","7/","mz19",2.963,"15D","dpr4",154.293,106.15,1.45353744700895,109.218,39.898,2.73743044764149,240.66,102.121,2.35661617101282,"02L"
"02","L","7/","mz19",5.886,"15D","dpr4",164.836,106.15,1.55285916156382,129.452,39.898,3.24457366284024,222.596,102.121,2.17972796976136,"02L"
"02","L","7/","mz19",2.62,"15D","dpr4",137.254,106.15,1.29301931229392,103.769,39.898,2.60085718582385,234.385,102.121,2.2951694558416,"02L"
"02","L","7/","mz19",3.79,"15D","dpr4",154.383,106.15,1.45438530381536,110.957,39.898,2.78101659231039,121.979,102.121,1.19445559679204,"02L"
"02","L","9/","mz19",3.709,"15D","dpr4",172.364,113.791,1.51474193916918,132.554,42.157,3.1442939488104,141.897,104.88,1.35294622425629,"02L"
"02","L","9/","mz19",1.754,"15D","dpr4",157.207,113.791,1.38154159819318,125.46,42.157,2.97601821761511,212.931,104.88,2.03023455377574,"02L"
"02","L","9/","mz19",3.628,"15D","dpr4",153.978,113.791,1.35316501305024,125.139,42.157,2.9684038238015,200.722,104.88,1.91382532418002,"02L"
"02","L","9/","mz19",2.338,"15D","dpr4",172.336,113.791,1.51449587401464,119.31,42.157,2.83013497165358,224.741,104.88,2.14283943554539,"02L"
"02","L","9/","mz19",3.407,"15D","dpr4",152.621,113.791,1.3412396410964,140.976,42.157,3.34407097279218,234.343,104.88,2.23439168573608,"02L"
"02","L","9/","mz19",4.717,"15D","dpr4",163.124,113.791,1.43354043817174,120.385,42.157,2.8556348886306,225.44,104.88,2.14950419527079,"02L"
"02","L","9/","mz19",2.721,"15D","dpr4",174.089,113.791,1.52990131029695,107.481,42.157,2.54954100149441,216.719,104.88,2.06635202135774,"02L"
"02","L","11","mz19",6.531,"15D","dpr4",168.386,116.742,1.44237720786007,136.667,42.961,3.18118758874328,209.077,109.148,1.91553670245905,"02L"
"02","L","11","mz19",2.056,"15D","dpr4",174.667,116.742,1.49617960973771,136.422,42.961,3.17548474197528,188.765,109.148,1.72944075933595,"02L"
"02","L","11","mz19",3.991,"15D","dpr4",153.914,116.742,1.31841153997704,111.768,42.961,2.60161541863551,99.798,109.148,0.914336497233115,"02L"
"02","L","11","mz19",3.628,"15D","dpr4",151.433,116.742,1.29715954840589,117.944,42.961,2.74537371104025,177.006,109.148,1.62170630703265,"02L"
"02","L","11","mz19",2.641,"15D","dpr4",145.702,116.742,1.24806839012523,97.634,42.961,2.27261935243593,222.252,109.148,2.03624436544875,"02L"
"02","L","11","mz19",4.455,"15D","dpr4",139.204,116.742,1.19240718850114,105.43,42.961,2.45408626428621,135.701,109.148,1.243275185986,"02L"
"02","L","13","mz19",3.024,"15D","dpr4",157.933,112.699,1.40137002102947,120.3,41.359,2.90867767595928,205.593,123.126,1.66977730130111,"02L"
"02","L","13","mz19",4.898,"15D","dpr4",166.724,112.699,1.47937426241582,121.749,41.359,2.943712372156,227.008,123.126,1.84370482270195,"02L"
"02","L","13","mz19",4.596,"15D","dpr4",154.079,112.699,1.36717273445195,98.114,41.359,2.37225271404047,189.342,123.126,1.53779055601579,"02L"
"02","L","13","mz19",2.701,"15D","dpr4",161.306,112.699,1.4312993016797,117.313,41.359,2.83645639401339,151.5,123.126,1.23044685931485,"02L"
"02","L","13","mz19",2.6,"15D","dpr4",164.054,112.699,1.4556828365824,112.054,41.359,2.70930148214415,157.388,123.126,1.27826779071845,"02L"
"02","L","15","mz19",2.983,"15D","dpr4",149.797,111.972,1.33780766620226,111.216,42.348,2.62623972796826,140.601,131.495,1.06924978136051,"02L"
"04","L","11","mz19",7.821,"13E","empty",92.649,52.462,1.7660211200488,46.804,17.142,2.73036985182592,46.191,34.591,1.33534734468503,"04L"
"04","L","11","mz19",4.636,"13E","empty",65.804,52.462,1.25431741069727,52.878,17.142,3.08470423521176,52.33,34.591,1.51282125408343,"04L"
"04","L","11","mz19",5.563,"13E","empty",74.844,52.462,1.42663261027029,53.703,17.142,3.13283164158208,46.685,34.591,1.349628516088,"04L"
"04","L","13","mz19",1.492,"13E","empty",76.338,59.715,1.2783722682743,66.865,19.543,3.42142966791178,68.095,38.709,1.75915161848666,"04L"
"04","L","13","mz19",2.842,"13E","empty",106.979,59.715,1.79149292472578,57.128,19.543,2.92319500588446,41.199,38.709,1.0643261257072,"04L"
"04","L","13","mz19",4.253,"13E","empty",91.512,59.715,1.53247927656368,73.223,19.543,3.74676354705009,44.303,38.709,1.14451419566509,"04L"
"04","L","13","mz19",4.435,"13E","empty",83.827,59.715,1.40378464372436,67.223,19.543,3.43974824745433,46.373,38.709,1.19799013149397,"04L"
"04","L","13","mz19",3.306,"13E","empty",83.146,59.715,1.39238047391778,64.433,19.543,3.2969861331423,40.268,38.709,1.04027487147692,"04L"
"04","L","13","mz19",1.633,"13E","empty",108.704,59.715,1.82038013899355,62.272,19.543,3.18640945607123,39.173,38.709,1.011986876437,"04L"
"04","L","15","mz19",3.225,"13E","empty",103.838,60.07,1.72861661395039,83.287,19.816,4.2030177634235,67.581,45.706,1.47860237167987,"04L"
"04","L","15","mz19",1.754,"13E","empty",85.161,60.07,1.41769602130847,54.069,19.816,2.72855268469923,39.609,45.706,0.866603946965387,"04L"
"04","L","17","mz19",7.761,"13E","empty",91.849,61.361,1.49686282818077,57.842,20.57,2.81195916383082,55.938,51.123,1.09418461357902,"04L"
"04","L","17","mz19",5.402,"13E","empty",84.011,61.361,1.36912696989945,57.5,20.57,2.79533300923675,63.19,51.123,1.23603857363613,"04L"
"04","L","19","mz19",7.015,"13E","empty",91.052,61.864,1.47180912970387,67.233,22.291,3.0161500157014,66.615,52.105,1.27847615391997,"04L"
"04","L","19","mz19",4.132,"13E","empty",90.79,61.864,1.46757403336351,59.385,22.291,2.66407967341079,63.22,52.105,1.21331925918818,"04L"
"04","L","19","mz19",2.701,"13E","empty",82.231,61.864,1.32922216474848,53.269,22.291,2.38970885110583,72.239,52.105,1.38641205258612,"04L"
"04","L","19","mz19",4.777,"13E","empty",86.414,61.864,1.39683822578559,51.35,22.291,2.3036202951864,63.679,52.105,1.22212839458785,"04L"
"04","L","21","mz19",3.225,"13E","empty",95.237,66.167,1.43934287484698,58.881,22.217,2.65026781293604,56.938,43.862,1.2981168209384,"04L"
"05","L","6/","mz19",8.204,"03E","empty",125.491,96.919,1.29480287662894,92.776,37.006,2.50705291033886,139.855,69.655,2.00782427679276,"05L"
"05","L","6/","mz19",2.217,"03E","empty",116.027,96.919,1.19715432474541,106.091,37.006,2.86685942820083,110.227,69.655,1.58247074868997,"05L"
"05","L","8/","mz19",5.402,"03E","empty",129.343,96.703,1.33752830832549,92.052,38.761,2.37486132968706,84.545,69.767,1.2118193415225,"05L"
"05","L","8/","mz19",5.886,"03E","empty",117.932,96.703,1.21952783264221,114.332,38.761,2.94966590129254,92.26,69.767,1.32240170854415,"05L"
"05","L","8/","mz19",2.882,"03E","empty",133.364,96.703,1.37910923135787,114.825,38.761,2.96238487139135,95.65,69.767,1.37099201628277,"05L"
"05","L","8/","mz19",6.833,"03E","empty",115.858,96.703,1.19808072138403,117.139,38.761,3.02208405355899,82.021,69.767,1.1756417790646,"05L"
"05","L","8/","mz19",4.858,"03E","empty",127.801,96.703,1.32158257758291,130.436,38.761,3.36513505843502,84.054,69.767,1.20478163028366,"05L"
"05","L","10","mz19",4.152,"03E","empty",124.932,90.979,1.37319601226657,99.951,36.926,2.70679196230298,87.68,65.393,1.34081629532213,"05L"
"05","L","10","mz19",3.044,"03E","empty",132.238,90.979,1.45350025830137,119.735,36.926,3.2425662135081,75.629,65.393,1.1565305154986,"05L"
"05","L","10","mz19",1.008,"03E","empty",119.04,90.979,1.30843381439673,121,36.926,3.27682391810648,93.5,65.393,1.42981664704173,"05L"
"05","L","10","mz19",4.293,"03E","empty",144.103,90.979,1.58391496938854,141.221,36.926,3.82443264908195,74.516,65.393,1.13951034514398,"05L"
"05","L","10","mz19",3.951,"03E","empty",135.245,90.979,1.48655184163378,123.673,36.926,3.34921193738829,100.281,65.393,1.53351276130473,"05L"
"05","L","10","mz19",3.85,"03E","empty",114.513,90.979,1.25867507886435,106.832,36.926,2.89313762660456,82.681,65.393,1.26437080421452,"05L"
"05","L","10","mz19",8.224,"03E","empty",133.569,90.979,1.46813000802383,98.873,36.926,2.67759844012349,94.287,65.393,1.44185157432753,"05L"
"05","L","12","mz19",2.358,"03E","empty",145.769,89.619,1.62654124683382,132.222,35.171,3.7594040544767,67.308,65.847,1.02218779898856,"05L"
"05","L","12","mz19",2.762,"03E","empty",151.066,89.619,1.68564701681563,147.847,35.171,4.20366210798669,62.511,65.847,0.949337099640075,"05L"
"05","L","12","mz19",3.467,"03E","empty",134.488,89.619,1.50066392171303,124.099,35.171,3.52844673168235,79.314,65.847,1.20451956808966,"05L"
"05","L","12","mz19",5.261,"03E","empty",134.406,89.619,1.49974893716734,114.33,35.171,3.25068948849905,94.421,65.847,1.43394535817881,"05L"
"05","L","14","mz19",2.802,"03E","empty",138.237,90.778,1.52280288175549,116.691,34.926,3.34109259577392,78.511,68.714,1.14257647640947,"05L"
"05","L","14","mz19",2.741,"03E","empty",156.375,90.778,1.72260900218115,104.412,34.926,2.9895207009105,105.125,68.714,1.52989201618302,"05L"
"05","L","16","mz19",2.681,"03E","empty",130.135,95.417,1.36385549744804,109.173,36.506,2.99054949871254,55.286,73.637,0.750791042546546,"05L"
"05","L","16","mz19",2.56,"03E","empty",137.039,95.417,1.43621157655344,96.693,36.506,2.6486878869227,72.039,73.637,0.978298952972011,"05L"
"06","L","4/","mz19",3.003,"12E","empty",125.02,62.418,2.00294786760229,67.919,28.537,2.38003293969233,101.45,59.947,1.69232822326388,"06L"
"06","L","4/","mz19",6.067,"12E","empty",99.894,62.418,1.60040372969336,102.591,28.537,3.59501699547955,137.223,59.947,2.28907201361202,"06L"
"06","L","6/","mz19",5.281,"12E","empty",142.863,80.059,1.78447145230393,131.26,35.141,3.73523804103469,124.073,63.494,1.95409015025042,"06L"
"06","L","6/","mz19",3.568,"12E","empty",136.61,80.059,1.70636655466593,122.514,35.141,3.48635496997809,78.458,63.494,1.23567581188774,"06L"
"06","L","6/","mz19",3.568,"12E","empty",149.271,80.059,1.86451242208871,109.831,35.141,3.12543752312114,124.588,63.494,1.96220115286484,"06L"
"06","L","6/","mz19",6.551,"12E","empty",128.972,80.059,1.61096191558725,120.215,35.141,3.42093281352267,74.338,63.494,1.17078779097238,"06L"
"06","L","6/","mz19",2.217,"12E","empty",117.236,80.059,1.46437002710501,117.909,35.141,3.35531145954868,87.009,63.494,1.37034995432639,"06L"
"06","L","6/","mz19",3.608,"12E","empty",90.391,80.059,1.12905482206872,101.453,35.141,2.88702655018355,82.894,63.494,1.30554068100923,"06L"
