"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"1141346308","KCg-m_R","kcg","a","gamma",6,133
"880404940","KCab-m_R","kcabm","a","alphabeta",4,53
"939733452","KCab-s_R","kcabs","a","alphabeta",5,82
"754870859","KCg-m_R","kcg","b","gamma",8,136
"661757811","KCg-m_R","kcg","b","gamma",11,171
"725200110","KCg-m_R","kcg","c","gamma",7,120
"1141691881","KCg-m_R","kcg","c","gamma",7,122
"5813104095","KCg-m_R","kcg","c","gamma",8,161
"784204967","KCg-m_R","kcg","b","gamma",10,141
"5812981618","KCab-s_R","kcabs","b","alphabeta",6,74
"519900699","KCab-s_R","kcabs","b","alphabeta",5,61
"5812983152","KCg-m_R","kcg","a","gamma",10,180
"754893183","KCa'b'-ap2_R","kcabprimeap2","a","alphaprimebetaprime",5,74
"922677121","KCab-c_R","kcabc","a","alphabeta",7,38
"767502657","KCab-c_R","kcabc","a","alphabeta",6,33
"5813060663","KCg-m_R","kcg","d","gamma",8,99
"5812983310","KCg-m_R","kcg","b","gamma",12,132
"5812981432","KCg-m_R","kcg","d","gamma",12,165
"5812980813","KCg-m_R","kcg","d","gamma",9,183
"415835178","KCg-m_R","kcg","d","gamma",10,166
"518873604","KCab-s_R","kcabs","c","alphabeta",7,112
"569999973","KCg-m_R","kcg","d","gamma",6,115
"632069728","KCg-m_R","kcg","d","gamma",7,97
"539949478","KCg-m_R","kcg","d","gamma",4,94
"5813085240","KCa'b'-ap2_R","kcabprimeap2","c","alphaprimebetaprime",5,84
"602808843","KCa'b'-ap2_R","kcabprimeap2","c","alphaprimebetaprime",5,70
"509695478","KCg-m_R","kcg","a","gamma",8,137
"632069851","KCg-m_R","kcg","c","gamma",6,78
"5813081174","KCg-m_R","kcg","d","gamma",6,123
"1202410042","KCg-m_R","kcg","c","gamma",9,177
"415852518","KCg-m_R","kcg","c","gamma",10,198
"5812980580","KCg-m_R","kcg","d","gamma",9,174
"570643109","KCg-m_R","kcg","d","gamma",8,113
"5813032552","KCg-m_R","kcg","a","gamma",4,70
"581633934","KCab-s_R","kcabs","d","alphabeta",7,89
"363370708","KCab-c_R","kcabc","a","alphabeta",6,54
"1173016042","KCg-m_R","kcg","b","gamma",6,156
"723167312","KCg-m_R","kcg","a","gamma",10,150
"815922095","KCab-s_R","kcabs","b","alphabeta",6,84
"1068617431","KCg-m_R","kcg","d","gamma",9,195
"5812983898","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",7,64
"662789529","KCab-s_R","kcabs","b","alphabeta",5,97
"5812982437","KCg-m_R","kcg","b","gamma",9,119
"1068613227","KCg-m_R","kcg","a","gamma",7,119
"455793743","KCab-s_R","kcabs","a","alphabeta",5,86
"5812981932","KCg-m_R","kcg","c","gamma",11,193
"631741483","KCg-m_R","kcg","d","gamma",10,195
"570647526","KCg-m_R","kcg","d","gamma",10,142
"632397798","KCg-m_R","kcg","d","gamma",8,133
"5813022133","KCg-m_R","kcg","d","gamma",8,175
"736126668","KCab-c_R","kcabc","d","alphabeta",7,85
"5813067833","KCg-m_R","kcg","c","gamma",9,200
"354779890","KCg-m_R","kcg","d","gamma",9,158
"633498748","KCg-m_R","kcg","a","gamma",5,76
"5813027460","KCg-m_R","kcg","c","gamma",7,138
"601712754","KCg-m_R","kcg","d","gamma",8,155
"5813053888","KCg-m_R","kcg","a","gamma",7,170
"1141346217","KCg-m_R","kcg","c","gamma",11,132
"5813067792","KCg-m_R","kcg","a","gamma",7,85
"5812979121","KCg-t_R","kcgt","a","gamma",5,42
"891629070","KCab-s_R","kcabs","a","alphabeta",7,74
"1141006088","KCg-m_R","kcg","a","gamma",8,116
"724876683","KCg-m_R","kcg","a","gamma",6,69
"1143332046","KCg-m_R","kcg","a","gamma",6,133
"693841887","KCg-m_R","kcg","a","gamma",8,129
"456820863","KCab-m_R","kcabm","a","alphabeta",8,85
"571778381","KCg-m_R","kcg","a","gamma",7,115
"5813047662","KCg-m_R","kcg","a","gamma",11,94
"692818802","KCg-m_R","kcg","a","gamma",10,105
"5812981148","KCg-m_R","kcg","d","gamma",9,160
"5812982149","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",7,92
"5813021275","KCg-m_R","kcg","c","gamma",8,148
"661395129","KCg-m_R","kcg","c","gamma",12,181
"5812980638","KCg-m_R","kcg","d","gamma",11,203
"5813053878","KCg-m_R","kcg","d","gamma",8,162
"662754991","KCg-m_R","kcg","d","gamma",9,111
"692093440","KCg-m_R","kcg","d","gamma",8,143
"5812983003","KCg-m_R","kcg","d","gamma",8,149
"5812981703","KCg-m_R","kcg","d","gamma",7,190
"1200351169","KCa'b'-ap2_R","kcabprimeap2","d","alphaprimebetaprime",5,85
"661740651","KCg-m_R","kcg","c","gamma",8,132
"786221078","KCab-m_R","kcabm","d","alphabeta",3,59
"548553494","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",5,76
"5813042616","KCab-m_R","kcabm","d","alphabeta",7,82
"785189156","KCab-m_R","kcabm","d","alphabeta",6,111
"693453332","KCab-c_R","kcabc","d","alphabeta",4,102
"1142019737","KCg-m_R","kcg","c","gamma",9,184
"385158577","KCg-m_R","kcg","d","gamma",10,130
"631396256","KCg-m_R","kcg","c","gamma",8,160
"416189410","KCg-m_R","kcg","d","gamma",8,201
"5812980802","KCab-c_R","kcabc","d","alphabeta",5,92
"610968248","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",5,65
"5812981950","KCab-m_R","kcabm","d","alphabeta",6,128
"5813033012","KCg-m_R","kcg","d","gamma",10,198
"508939914","KCg-m_R","kcg","d","gamma",8,139
"5813091211","KCab-s_R","kcabs","d","alphabeta",7,78
"447219992","KCg-m_R","kcg","d","gamma",8,159
"5813020831","KCab-s_R","kcabs","d","alphabeta",7,115
"754832123","KC part due to gap","unknown",NA,"unknown",8,45
"693785371","KCg-m_R","kcg","d","gamma",8,115
"5813101387","KCg-m_R","kcg","a","gamma",7,109
"5812982872","KCg-m_R","kcg","a","gamma",7,136
"631400190","KCg-m_R","kcg","c","gamma",9,131
"5812983337","KCg-m_R","kcg","b","gamma",3,62
"5812989173","KCg-m_R","kcg","a","gamma",11,136
"911755444","KCg-m_R","kcg","b","gamma",1,17
"611304789","KCab-s_R","kcabs","b","alphabeta",8,98
"1142994933","KCg-m_R","kcg","b","gamma",9,145
"5813056300","KCa'b'-ap2_R","kcabprimeap2","a","alphaprimebetaprime",6,62
"849707224","KCab-s_R","kcabs","a","alphabeta",8,110
"5812982273","KCg-m_R","kcg","c","gamma",6,87
"5812982803","KCg-m_R","kcg","a","gamma",3,68
"518528152","KCa'b'-ap2_R","kcabprimeap2","b","alphaprimebetaprime",6,53
"5812980444","KCab-s_R","kcabs","a","alphabeta",7,100
"5812983544","KCa'b'-ap2_R","kcabprimeap2","a","alphaprimebetaprime",6,87
"1173072129","KCg-m_R","kcg","b","gamma",8,164
"1141337663","KCg-m_R","kcg","b","gamma",8,129
"362701969","KCab-s_R","kcabs","b","alphabeta",8,73
"754547386","KCg-m_R","kcg","a","gamma",6,118
"5813094743","KCg-m_R","kcg","a","gamma",6,108
"1068954342","KCg-m_R","kcg","a","gamma",9,145
"602459682","KCg-m_R","kcg","a","gamma",10,170
"540730738","KCg-m_R","kcg","a","gamma",7,179
"630731599","KCg-t_R","kcgt","a","gamma",8,106
"693846112","KCg-m_R","kcg","a","gamma",8,144
"5812982871","KCg-m_R","kcg","a","gamma",7,107
"693837780","KCg-m_R","kcg","a","gamma",8,153
"1224137495","KCg-s3_R","kcgs","a","gamma",2,0
