"pn.boutId","pn.bodyId","pn.glomerulus","nsyn","nkc","center.x","center.y","center.z","bp","bp.x","bp.y","bp.z","child","boutpt","coll.length"
"1827516355_1",1827516355,"DA2",23,13,-18695.79585,-2058.86966,-14679.23127,338,-18547.028482367,-1887.82143164058,-16233.7559608522,898,920,1726.2140002084
"1827516355_3",1827516355,"DA2",4,4,-18199.08349,-1902.354448,-16188.99209,341,-18275.6034952534,-1845.75718434554,-16225.1765978284,NA,920,0
"1827516355_4",1827516355,"DA2",17,6,-16801.94375,-1659.403728,-16785.37422,355,-16958.9526115594,-1757.0556388074,-16888.9360017444,888,890,224.490526931495
"1827516355_2",1827516355,"DA2",4,5,-17711.42196,-1749.474344,-16556.18562,346,-17777.3636642002,-1767.96275117575,-16574.3393491635,NA,920,0
"1797505019_1",1797505019,"DA2",19,10,-17807.80527,-1903.980735,-16413.64688,398,-17800.5025257316,-1908.72478069144,-16422.290297428,NA,920,0
"1797505019_2",1797505019,"DA2",25,12,-18001.18315,-2282.601148,-15571.44476,393,-18129.789719643,-2124.04408599503,-16410.9320101656,827,839,958.950050989832
"1793351401_1",1793351401,"DL2d",8,9,-19531.02457,-626.4171112,-16578.91656,401,-19628.1376857582,-985.36095788791,-16868.0966371903,751,756,553.450565346686
"1793351401_2",1793351401,"DL2d",14,4,-16218.74496,-1647.928676,-16839.37453,437,-16439.8720562493,-1528.73150348885,-16977.6647249966,738,739,270.853997425203
"1756579280_1",1756579280,"DL2d",7,4,-15890.31442,-2068.920411,-16665.18558,407,-16391.6927433318,-1623.02056313501,-17046.3074743431,752,759,858.878512862231
"1756579280_2",1756579280,"DL2d",64,25,-15339.85939,-2646.930711,-15615.23027,407,-16391.6927433318,-1623.02056313501,-17046.3074743431,752,773,2234.50067562545
"574037266_2",574037266,"DA4m",26,11,-18590.0082,-3471.267558,-16838.49567,277,-19112.4543931239,-2339.97995778154,-17054.4475878857,2053,2072,1534.30845791441
"574037266_1",574037266,"DA4m",37,17,-18482.05285,-2844.424549,-15990.54225,277,-19112.4543931239,-2339.97995778154,-17054.4475878857,2053,2101,1622.0828435138
"1912789965_1",1912789965,"VL1",25,5,-19969.54432,-3015.905297,-16457.50978,376,-19644.2253485674,-2341.49300238156,-17070.2786220525,1081,9289,1232.98116003623
"1912789965_3",1912789965,"VL1",22,8,-17551.96747,-3979.072296,-16297.50178,387,-18429.9798726798,-2447.73689729833,-17033.9382990025,1012,1042,2168.27350533959
"2166133204_3",2166133204,"VL1",12,5,-19645.90963,-2979.311431,-16459.53078,6437,-19706.8171778306,-2277.9980171963,-17104.0972525068,6438,3,1126.17046391627
"2166133204_1",2166133204,"VL1",17,8,-17315.32524,-3419.788498,-16840.15609,6480,-18313.5274361063,-2481.57947883449,-16973.9534701615,6481,6513,1725.29425798339
"2166133204_2",2166133204,"VL1",14,6,-18316.07905,-2911.945925,-16785.03172,6461,-18368.478366563,-2511.15509048653,-16957.7562964158,6462,6467,422.902671018343
"754538881_1",754538881,"DA1",59,27,-18354.58851,-1666.944155,-13599.36644,312,-18348.902126745,-2149.87890010612,-16924.5185904359,733,777,3775.83691997977
"1796817841_2",1796817841,"DA2",23,13,-20440.16819,-1929.965425,-16140.66556,353,-20409.4600060838,-1886.25163535959,-16240.8928513235,911,911,120.024330866706
"1796817841_3",1796817841,"DA2",21,10,-18359.61596,-2175.754921,-15897.48722,372,-18653.6545784994,-1808.17529490633,-16336.6479844833,897,905,622.600467800169
"1796817841_4",1796817841,"DA2",19,9,-18245.51236,-1809.444331,-16434.63091,374,-18148.1621767663,-1828.02395272188,-16445.4940343568,NA,920,0
"726207450_1",726207450,"VM4",53,8,-15386.46301,-1255.838459,-16605.72934,303,-15670.7058460836,-1175.18020995584,-17111.2093391919,637,646,652.248749623494
"1765040289_2",1765040289,"DA1",38,19,-18478.54767,-2434.80625,-16136.92122,321,-18970.1190415942,-2081.01502506526,-17021.7069200829,999,1010,1077.96356629664
"1765040289_1",1765040289,"DA1",34,14,-15306.64261,-1752.224689,-16217.94575,343,-16103.2873201866,-2572.27929808376,-17423.4443407774,949,989,2233.71764047729
"666135689_1",666135689,"DA3",17,12,-18258.12398,-3740.149703,-13141.3314,289,-18620.9791494495,-1847.53276382162,-16686.7643736697,1566,1652,4804.03318952995
"666135689_2",666135689,"DA3",27,14,-14051.87334,-1848.820322,-14900.22269,314,-16313.1304268956,-2313.36797394755,-17214.7210866807,1469,1561,3740.29237713432
"1703683361_1",1703683361,"DA3",24,13,-14309.12874,-1629.685049,-15386.10397,487,-15354.2141672094,-2629.81077585897,-17571.3752048792,1804,1875,3408.57837098822
"1734420152_1",1734420152,"DL2v",63,20,-18657.90238,-3274.394137,-15746.45146,284,-18836.909914837,-1227.49718664627,-17326.6923755543,701,738,3003.56218379981
"818983130_3",818983130,"DA2",25,14,-20207.70154,-1693.149907,-15973.87607,183,-20280.4695887807,-1831.82801971739,-16450.6544357578,1292,1298,502.479556006301
"818983130_2",818983130,"DA2",32,11,-18632.03279,-1962.467414,-15801.14749,170,-18629.2709037617,-1909.29320973296,-16403.0829429569,1306,1311,631.381290191641
"818983130_1",818983130,"DA2",18,6,-15349.74323,-1870.91509,-16923.20605,137,-16032.7759531664,-2237.7922973761,-17200.2681917862,1316,1336,930.779385766422
"5813039315_3",5813039315,"DA1",42,15,-19833.10755,-833.5763291,-15724.44776,155,-19747.3170934996,-1689.20947153858,-16770.5419417515,3916,3952,1712.47439506138
"5813039315_2",5813039315,"DA1",47,27,-18044.90516,-1817.964343,-12794.68355,136,-18012.3872824051,-1789.17198604342,-17033.473313538,3972,4030,4827.41789667447
"5813039315_1",5813039315,"DA1",15,6,-17755.44116,-1306.953383,-15835.92723,136,-18012.3872824051,-1789.17198604342,-17033.473313538,3972,3987,1364.63540748108
"1609542060_3",1609542060,"DL3",47,21,-18406.80048,-2621.570695,-13610.82185,258,-18188.2817574185,-2016.68183566416,-17071.0371523367,972,1017,4137.99170315981
