"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",3,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"DA1",1,26,2,1,0,0,3,6,3,0,4,0,3,1,0,3,2,1,0,2,1,3,9,4,0,0,1,2,5,4,2,1,3,2,2,4,2,3,4,0,1,2,5,0,0,1,0,10,2,0,0
"DA2",0,2,8,0,0,0,2,2,0,0,4,0,0,0,0,2,1,1,1,0,0,0,2,0,1,0,0,1,2,1,1,2,0,1,2,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
"DA3",0,1,0,10,1,1,2,1,0,0,1,1,1,1,0,0,6,3,2,2,1,0,3,4,2,0,0,2,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
"DA4l",1,0,0,1,5,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
"DA4m",1,0,0,1,1,3,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"DC1",0,3,2,2,1,0,48,7,2,1,5,7,8,3,0,4,14,12,6,7,4,8,10,14,6,0,3,9,6,7,1,1,0,2,4,4,3,4,3,2,0,1,1,1,7,4,0,11,2,2,1
"DC2",1,7,2,1,0,1,7,41,0,0,3,4,5,2,3,2,5,4,2,3,3,4,6,8,3,3,1,5,4,1,2,4,4,4,2,6,3,4,3,2,1,1,4,0,7,2,2,4,4,1,0
"DC3",1,3,0,0,1,1,1,0,12,0,2,1,0,0,0,1,1,0,0,0,1,2,1,1,0,1,0,0,2,1,1,2,0,1,2,1,1,2,0,0,0,2,4,0,1,0,0,3,1,0,1
"DC4",0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
"DL1",0,3,2,1,0,1,4,3,2,0,39,3,4,1,2,0,6,5,4,6,2,3,3,12,5,1,1,8,5,5,1,3,2,6,4,4,2,1,4,0,0,1,5,0,2,2,0,4,4,1,0
