"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",161,43,19,1,10,7,24,42,35,11,47,12,7,6,5,15,16,13,9,20,9,30,15,28,24,11,11,15,33,9,21,36,13,33,13,15,15,38,24,15,5,36,34,5,8,6,10,32,15,11,6
"DA1",41,291,38,3,18,8,54,44,41,11,55,21,12,5,9,27,33,36,16,39,20,44,52,63,17,29,17,34,43,28,31,57,25,40,21,26,28,51,46,23,9,60,43,10,12,19,13,63,23,16,21
"DA2",17,37,140,3,21,8,23,27,17,8,39,13,5,3,5,14,8,8,11,3,8,13,20,28,11,9,10,9,21,14,16,31,11,20,19,11,8,36,19,14,6,25,23,8,2,6,15,30,14,8,8
"DA3",1,4,3,36,3,2,9,3,0,0,5,5,4,1,0,0,14,6,5,10,4,2,6,12,7,0,2,6,3,7,1,0,5,7,4,3,1,7,1,1,2,2,4,1,6,3,3,3,0,1,0
"DA4l",11,19,26,3,90,8,16,16,11,9,21,4,2,1,2,7,7,6,3,5,7,9,17,9,13,5,4,6,8,3,8,15,11,16,5,7,8,17,8,9,8,22,22,4,2,2,10,7,5,8,4
"DA4m",6,10,8,2,10,28,4,7,8,4,6,0,0,1,1,4,2,3,1,0,0,1,5,2,2,0,2,1,1,2,3,7,3,9,5,1,1,6,3,2,1,2,6,1,0,1,5,2,1,1,2
"DC1",29,59,26,7,18,3,380,43,44,6,70,51,23,7,7,25,78,69,43,48,30,61,62,103,37,30,21,67,55,41,26,55,30,42,24,35,30,56,40,20,2,43,49,9,37,32,25,71,35,16,21
"DC2",39,49,31,3,16,4,42,238,35,7,57,24,13,9,11,23,24,28,20,31,15,34,34,61,20,28,18,27,31,22,40,49,28,33,23,21,24,52,29,21,3,39,47,11,13,20,21,59,23,13,10
"DC3",36,49,20,0,12,7,43,37,230,14,56,21,6,8,5,33,22,23,9,21,11,43,35,42,8,21,14,32,46,23,38,59,20,42,21,20,22,45,34,16,8,38,34,10,10,15,16,68,27,15,11
"DC4",12,15,9,0,8,3,6,6,14,59,21,0,0,1,2,5,3,6,6,5,5,15,6,8,2,5,5,8,10,4,8,11,4,10,6,4,3,10,12,6,3,10,6,1,1,1,1,10,3,7,5
"DL1",44,57,41,5,20,4,65,51,59,21,328,35,14,11,9,31,46,31,27,38,21,38,40,84,43,32,20,37,51,30,43,58,29,41,32,26,34,57,34,28,10,57,48,10,21,19,16,73,25,27,19
"DL2d",11,19,12,5,3,0,47,21,18,0,33,207,23,1,0,8,59,29,25,30,18,25,39,57,23,16,5,42,12,29,20,23,29,29,19,16,21,31,28,18,2,22,36,9,20,9,17,26,18,12,10
"DL2v",7,12,6,4,2,0,25,14,6,0,15,22,140,3,0,6,50,25,19,31,28,12,31,51,9,12,6,22,12,21,6,10,10,16,14,17,9,18,14,7,0,6,15,6,14,9,6,18,13,5,8
"DL3",6,5,3,1,1,1,7,10,7,1,13,1,3,39,0,4,10,8,2,3,3,4,4,10,0,3,2,2,2,6,4,9,2,3,2,1,6,5,4,1,0,6,6,0,3,1,4,6,2,2,1
