"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",43,6,1,0,1,1,10,11,7,3,14,1,2,2,1,1,4,4,2,8,2,9,2,7,2,1,5,3,9,1,3,6,1,5,2,0,7,4,3,1,0,5,7,2,2,0,0,5,3,7,2
"DA1",5,82,7,0,4,2,17,6,7,3,10,5,0,0,1,6,9,19,4,13,5,15,10,17,2,9,7,9,11,6,1,10,3,5,1,1,11,10,3,4,0,11,7,3,0,6,2,8,5,6,7
"DA2",1,8,29,0,4,3,4,3,4,3,5,1,2,0,0,1,1,3,2,0,1,6,5,8,2,2,2,3,1,3,3,4,1,4,2,0,3,2,4,2,0,1,4,3,0,2,1,6,1,3,4
"DA3",0,0,0,14,0,0,3,0,0,0,1,1,0,0,0,0,4,0,1,2,2,2,2,4,1,0,0,4,2,4,0,0,1,2,1,1,1,2,1,0,0,0,1,0,6,1,0,0,0,0,0
"DA4l",1,4,2,0,27,2,6,3,3,0,4,1,1,0,0,1,5,2,1,1,1,4,6,3,5,0,0,2,2,0,2,2,0,3,2,1,4,3,1,2,0,3,5,0,2,1,1,1,2,2,1
"DA4m",1,2,3,0,3,6,1,2,2,1,2,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,1
"DC1",11,16,4,2,9,1,167,14,10,2,30,8,7,4,1,9,38,41,18,25,14,31,20,47,11,11,7,28,18,14,4,24,5,11,3,9,10,22,8,6,1,15,18,3,13,15,8,15,9,4,9
"DC2",10,6,3,0,4,1,13,59,6,2,11,2,1,4,1,6,7,14,5,11,5,8,7,17,4,2,2,5,5,5,4,8,1,2,1,1,3,6,4,1,0,5,13,3,2,8,2,11,1,3,2
"DC3",6,8,4,0,4,2,10,8,60,3,11,0,3,1,0,8,3,10,3,2,3,13,8,13,1,6,4,7,5,3,6,10,3,1,3,1,7,8,4,2,0,5,7,3,1,3,2,15,5,4,3
"DC4",4,4,4,0,0,1,2,2,3,23,6,0,0,0,1,0,1,3,2,1,2,9,2,3,1,0,2,3,1,2,2,7,1,5,1,1,1,2,3,1,0,3,2,0,0,0,1,1,0,1,4
"DL1",12,12,6,1,5,1,28,11,13,6,107,3,1,4,2,5,15,16,11,8,3,17,9,27,13,12,4,10,12,9,4,16,3,5,0,4,16,15,5,1,1,10,12,1,5,4,2,22,5,3,6
"DL2d",1,5,1,1,1,0,8,3,0,0,3,65,8,0,0,2,28,15,8,18,9,7,8,28,8,3,0,15,2,10,1,4,6,5,2,0,8,5,5,1,0,1,7,1,4,0,3,7,4,2,1
"DL2v",2,0,2,0,1,0,7,1,3,0,1,7,62,2,0,1,26,16,9,15,16,4,12,25,4,0,2,12,4,5,2,1,3,7,4,7,1,4,3,3,0,2,4,3,6,3,3,4,3,0,4
"DL3",2,0,0,0,0,1,4,5,1,0,5,0,2,17,0,1,4,6,1,1,2,1,1,7,0,1,0,1,2,5,1,4,0,0,0,0,2,0,0,1,0,0,3,0,1,1,2,2,0,1,1
"DL4",3,1,0,0,0,0,1,1,0,1,2,0,0,0,7,0,1,1,1,1,2,4,2,1,0,0,0,1,0,0,0,4,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1
"DL5",1,7,1,0,1,0,9,6,11,0,6,2,1,1,0,46,6,8,8,6,4,12,4,20,2,5,2,4,5,3,2,9,2,4,1,1,5,3,2,4,0,3,6,0,2,5,0,5,3,4,5
