"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",14,3,1,0,0,0,2,4,2,1,5,0,0,0,0,0,2,1,1,3,0,3,1,1,0,0,1,0,4,0,1,2,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,1,2,4,0
"DA1",2,37,4,0,3,1,3,1,3,3,6,2,0,0,0,4,6,2,3,9,3,7,8,5,0,2,3,2,2,1,0,4,1,3,0,1,3,5,2,3,0,6,5,1,0,2,1,4,2,5,1
"DA2",1,5,15,0,4,2,2,1,1,3,3,0,1,0,0,0,0,1,1,0,0,4,0,4,0,1,2,3,0,1,1,4,1,4,1,0,1,1,3,1,0,0,3,0,0,0,1,2,0,1,1
"DA3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DA4l",0,2,2,0,7,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0
"DA4m",0,1,2,0,2,3,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"DC1",2,3,2,0,5,1,37,2,3,0,6,0,0,0,0,1,13,7,6,8,2,12,5,11,1,0,0,6,1,3,0,4,0,3,1,2,0,3,4,3,1,3,2,0,4,6,1,2,2,1,4
"DC2",3,1,1,0,0,0,1,16,1,1,2,0,0,1,0,1,5,4,4,4,1,2,3,3,0,1,1,3,1,1,1,1,0,0,0,1,1,1,2,0,0,0,2,0,2,3,0,4,0,2,0
"DC3",2,4,1,0,3,0,3,2,16,2,5,0,0,0,0,2,0,2,0,1,2,4,2,2,0,1,0,3,1,0,1,6,0,1,1,0,0,2,0,1,0,0,3,0,0,2,0,4,0,1,1
"DC4",1,4,4,0,0,1,0,1,2,17,1,0,0,0,0,0,1,2,2,0,2,8,1,1,1,0,2,2,0,2,2,5,1,4,1,1,1,0,3,1,0,1,1,0,0,0,1,1,0,1,3
"DL1",5,8,3,0,0,1,5,3,4,1,27,0,0,0,0,0,3,0,3,3,2,7,4,3,0,1,0,4,3,2,1,3,0,2,0,2,2,5,1,0,1,5,2,0,1,3,2,5,2,1,1
"DL2d",0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0
"DL2v",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"DL3",0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,0,1,1,0,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"DL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,2,2,2,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"DL5",0,5,0,0,0,0,1,1,2,0,0,1,0,0,0,15,3,2,6,3,3,2,3,4,0,0,0,2,2,0,2,2,0,2,0,1,0,1,2,1,0,1,4,0,1,1,0,1,0,0,2
"DM1",3,7,0,0,0,0,9,5,0,1,3,0,0,1,1,3,56,15,8,17,6,19,6,21,2,0,0,9,4,7,4,2,0,4,0,3,1,4,6,3,0,1,3,0,5,11,0,2,0,2,4
"DM2",1,4,1,0,0,1,8,3,2,2,0,0,0,1,1,2,14,48,5,10,9,16,9,12,1,0,0,7,4,10,0,1,1,6,1,2,0,3,5,2,0,3,2,0,4,7,1,3,0,1,2
"DM3",1,4,2,1,0,0,7,4,0,2,3,1,1,0,1,6,9,5,36,9,7,16,7,9,1,0,0,11,4,3,3,3,1,6,4,3,1,3,5,5,0,1,1,1,6,5,1,4,1,2,2
"DM4",4,10,0,0,0,0,8,5,1,0,3,0,0,1,0,3,17,10,7,46,3,11,14,10,1,2,0,8,4,5,3,0,1,4,2,5,1,1,7,5,0,1,2,1,2,9,0,2,0,2,2
"DM5",0,2,0,0,1,0,2,1,2,2,2,0,0,1,2,2,6,9,6,3,31,14,6,5,2,0,0,5,3,6,0,2,1,3,3,4,2,1,4,0,0,1,2,0,5,6,0,2,0,2,3
"DM6",3,8,4,0,3,0,13,2,4,6,8,1,1,0,2,2,19,14,15,10,12,73,12,16,2,0,1,11,6,5,3,4,3,9,2,4,5,5,3,1,0,7,5,1,4,15,1,5,2,3,3
"DP1l",1,9,0,1,2,1,5,4,2,1,5,0,0,1,2,3,7,11,7,14,6,13,43,10,2,2,0,9,7,3,4,3,0,2,2,3,2,2,3,3,0,4,4,1,3,8,0,2,2,4,4
"DP1m",1,4,5,0,2,0,9,3,2,1,3,0,1,1,0,3,19,13,8,9,5,16,9,55,1,2,0,12,4,3,1,6,2,3,0,4,2,8,7,3,0,3,1,2,4,7,2,5,3,4,9
"V",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,1,2,2,2,1,7,0,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"VA1d",0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,7,0,1,0,0,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,2,0,7,0,1,0
"VA1v",1,4,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,1,0,0,0,3,0
"VA2",0,3,4,0,1,1,6,3,3,2,4,0,1,1,1,2,12,6,11,7,5,11,9,12,0,1,1,39,1,2,2,2,0,3,2,1,2,4,8,3,1,0,4,1,0,7,2,1,1,0,4
"VA3",5,3,0,1,0,0,1,1,1,0,3,1,0,0,0,2,5,4,4,4,3,6,7,4,2,0,0,1,24,1,4,2,0,1,2,2,1,4,1,1,0,0,3,0,2,2,2,2,5,4,1
"VA4",0,1,1,0,0,0,3,1,0,3,2,0,0,2,0,0,7,10,3,5,5,7,3,4,1,0,0,2,1,22,2,0,1,1,0,0,0,0,3,1,0,1,0,0,2,5,0,3,1,0,1
"VA5",2,0,2,0,0,1,0,1,1,3,2,0,0,0,0,2,4,0,3,3,0,4,4,1,1,0,0,2,4,2,13,4,0,1,1,0,1,1,3,3,0,1,1,0,0,1,0,2,1,0,4
"VA6",1,5,4,0,2,1,3,1,5,3,2,0,0,1,2,2,3,1,2,0,2,4,3,5,0,2,0,2,1,0,3,24,0,2,0,1,3,1,0,5,0,1,1,0,1,0,0,7,1,2,2
"VA7l",0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,3,0,2,1,0,0,0,0,1,0,0,5,2,1,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,1
"VA7m",0,4,6,0,0,0,3,0,1,4,2,1,1,0,0,2,4,5,6,4,3,10,2,3,2,1,1,4,1,1,1,4,2,23,2,0,2,1,3,3,0,1,1,0,1,2,0,1,0,1,3
"VC1",0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,4,2,3,2,2,0,0,0,0,2,2,0,1,0,1,2,8,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,1
"VC2",0,2,0,0,0,0,2,2,0,1,2,0,0,0,1,1,3,2,3,5,4,4,3,4,0,0,0,1,2,0,0,1,0,0,0,14,0,0,4,0,0,0,0,1,0,5,0,1,0,2,3
"VC3l",3,3,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,2,4,2,2,0,2,2,2,1,0,1,3,0,2,0,0,15,0,2,0,0,4,0,0,0,2,0,3,0,2,3
"VC3m",0,5,1,0,0,0,4,1,2,0,3,1,1,0,0,1,5,2,3,1,1,5,2,5,0,1,0,4,2,0,1,1,1,1,0,0,0,20,1,1,0,0,5,1,0,1,2,2,1,0,1
"VC4",3,2,4,0,1,0,4,3,0,3,1,0,0,0,0,2,7,5,5,8,4,3,3,7,0,1,1,7,1,2,3,0,0,3,0,3,2,1,26,1,0,1,2,0,2,3,0,2,0,0,4
"VC5",2,3,1,0,0,0,3,0,1,1,0,0,0,1,0,1,4,2,5,6,0,1,3,3,0,0,0,3,1,1,3,5,0,3,3,0,0,1,1,15,0,0,1,0,1,1,0,2,0,1,2
"VL1",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"VL2a",1,4,0,0,2,0,3,0,0,1,4,0,0,0,0,1,1,3,1,1,2,7,4,3,0,0,1,0,0,1,1,1,0,2,0,0,3,0,1,0,0,16,1,0,2,1,1,0,0,2,0
"VL2p",2,5,3,0,2,1,2,2,3,1,2,0,1,0,1,4,3,2,1,2,2,5,4,1,0,0,1,4,3,0,1,1,2,1,2,0,0,6,2,1,0,1,19,0,0,2,0,1,0,3,2
"VM1",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,1,0,1,0,1
"VM2",2,0,0,1,1,0,4,2,0,0,1,0,0,1,0,1,5,4,6,2,5,6,3,4,1,0,0,0,2,2,0,1,1,1,1,0,0,0,2,1,0,2,0,0,15,1,0,1,1,0,1
"VM3",0,2,0,0,0,0,6,2,2,0,3,0,0,0,0,1,10,7,5,8,6,14,7,7,0,2,1,8,2,6,1,0,1,2,0,5,2,1,3,1,0,1,2,1,1,37,0,5,1,2,3
"VM4",0,1,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,5,0,1,2,0
"VM5d",1,3,2,0,0,0,2,3,2,1,5,0,0,0,0,1,2,4,4,2,2,6,3,4,0,5,0,1,2,3,1,6,0,1,0,1,2,3,3,1,0,0,1,0,1,5,0,25,1,3,1
"VM5v",2,2,0,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,2,2,3,0,0,0,1,5,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,9,2,3
"VM7d",3,4,1,0,0,0,1,2,1,1,1,1,0,0,1,0,2,1,2,3,2,3,5,5,1,1,2,0,3,0,0,3,0,1,0,2,1,0,0,1,0,1,3,0,0,2,1,3,1,17,1
"VM7v",0,1,2,0,0,1,4,0,1,4,2,0,0,0,0,2,3,2,2,2,3,3,3,8,2,0,0,4,1,1,4,2,1,3,1,3,3,1,5,2,0,0,1,1,1,3,0,1,3,1,20
