"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",68,15,5,0,3,5,10,13,18,7,16,2,1,1,3,8,10,7,4,9,4,20,11,10,5,5,2,7,18,2,7,13,4,10,4,4,6,11,14,7,3,14,12,0,3,2,4,19,9,4,3
"DA1",15,105,13,0,6,3,13,6,19,5,20,3,1,4,5,12,13,8,6,16,6,27,27,17,4,6,4,8,14,6,9,19,5,18,3,5,9,15,24,8,6,25,12,2,4,8,5,26,15,6,6
"DA2",6,13,50,0,10,4,7,10,8,5,12,2,2,1,4,4,3,2,3,0,4,8,5,13,0,2,4,6,8,3,3,14,3,10,6,3,2,7,11,2,5,6,8,1,0,1,6,15,6,3,1
"DA3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DA4l",3,5,9,0,23,3,4,5,4,6,9,0,0,0,1,3,0,0,0,0,2,4,5,2,1,1,0,2,2,0,0,1,1,3,0,1,1,3,5,1,6,4,6,2,1,1,2,2,1,0,0
"DA4m",4,3,3,0,5,15,2,2,5,3,6,0,0,0,1,3,1,1,0,0,0,1,2,1,0,0,2,1,0,1,1,6,3,4,2,0,0,1,2,0,1,1,4,1,0,1,4,2,1,0,1
"DC1",14,12,7,0,6,2,81,9,21,1,17,2,0,0,2,6,21,12,11,11,9,23,16,16,2,3,1,18,14,7,8,12,4,13,7,7,3,9,18,8,2,13,5,0,7,9,5,26,11,1,6
"DC2",9,7,13,0,4,1,7,61,12,4,13,0,2,1,6,4,11,5,8,8,6,9,12,14,0,2,3,8,10,4,9,11,1,11,9,6,4,6,11,4,2,8,8,1,3,9,5,22,8,3,0
"DC3",20,22,9,0,5,4,18,12,100,9,29,2,0,2,3,15,9,7,3,9,5,19,16,13,2,6,2,16,29,8,19,30,5,21,10,12,8,13,17,8,7,10,7,1,2,7,8,37,15,2,2
"DC4",7,6,6,0,4,2,1,3,9,36,8,0,0,1,1,3,2,3,4,2,3,12,3,2,1,3,2,6,6,4,6,7,2,7,2,3,2,4,8,2,3,2,2,0,0,0,1,7,2,2,3
"DL1",17,21,12,0,6,4,14,13,29,7,89,1,1,1,2,10,8,2,5,10,6,16,17,13,1,5,2,14,29,5,12,16,5,14,7,10,8,14,10,5,5,19,6,0,4,6,6,27,13,3,2
"DL2d",2,4,2,0,0,0,2,0,2,0,1,9,0,0,0,2,0,0,1,0,1,7,1,4,0,0,1,3,3,1,1,1,1,2,1,0,0,2,3,0,0,0,0,1,1,1,1,3,2,2,1
