"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",52,11,4,0,3,4,8,7,16,6,11,2,1,1,3,8,8,6,3,6,4,17,9,8,5,5,1,7,14,2,6,11,4,10,4,4,4,10,12,6,3,13,9,0,1,2,3,18,7,0,3
"DA1",12,58,9,0,3,2,9,4,14,2,12,1,0,3,5,7,5,5,3,7,2,17,13,11,4,4,1,5,9,4,7,15,4,15,3,2,5,9,19,5,6,19,7,1,4,6,4,16,11,1,5
"DA2",5,8,33,0,6,2,5,9,7,2,9,2,1,1,4,4,3,1,1,0,4,4,5,9,0,1,2,2,7,2,2,9,2,5,5,2,1,6,8,1,5,5,5,1,0,1,5,12,6,2,0
"DA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA4l",3,3,7,0,16,2,1,5,2,6,9,0,0,0,1,3,0,0,0,0,1,2,3,0,1,1,0,1,2,0,0,0,1,3,0,1,1,3,4,1,6,2,5,2,0,1,2,2,1,0,0
"DA4m",3,2,1,0,3,10,1,0,4,2,3,0,0,0,1,3,0,0,0,0,0,1,1,1,0,0,2,0,0,1,0,5,3,4,1,0,0,1,2,0,1,1,2,1,0,1,2,1,0,0,0
"DC1",12,8,5,0,1,1,34,6,16,0,9,2,0,0,2,3,5,2,3,1,4,8,9,5,1,3,1,8,12,2,7,8,4,9,6,4,3,6,13,4,1,10,3,0,2,3,4,18,9,0,2
"DC2",5,5,12,0,4,0,5,35,11,3,9,0,1,0,4,3,4,1,4,2,4,5,7,10,0,0,2,5,8,3,7,9,1,9,8,4,3,4,8,4,2,8,5,1,0,5,4,18,6,1,0
"DC3",18,16,8,0,2,3,14,10,78,7,23,2,0,2,3,12,8,5,3,8,2,15,13,10,2,5,2,13,26,8,17,22,5,20,7,12,7,11,17,7,7,10,4,1,2,5,8,30,15,1,1
"DC4",6,2,2,0,4,1,0,2,7,15,7,0,0,1,1,3,0,1,0,1,1,3,1,1,0,3,0,3,6,1,3,2,1,2,1,2,1,4,4,1,3,1,1,0,0,0,0,4,1,1,0
"DL1",12,12,9,0,6,2,8,8,24,6,54,1,1,1,0,10,4,2,2,7,4,8,12,8,1,4,2,7,21,3,11,12,5,10,6,7,6,8,9,5,4,14,4,0,3,3,4,20,10,2,1
"DL2d",2,1,2,0,0,0,2,0,2,0,1,7,0,0,0,1,0,0,0,0,1,6,1,4,0,0,1,3,2,1,1,1,1,1,1,0,0,1,3,0,0,0,0,1,1,1,0,3,1,0,1
"DL2v",1,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,2,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,4,0,0,0
"DL3",1,3,1,0,0,0,0,0,2,1,1,0,0,5,0,2,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0
"DL4",3,5,5,0,1,1,2,4,4,2,0,0,0,0,15,1,1,1,2,0,1,4,3,6,0,1,1,1,5,2,5,4,3,4,3,0,2,2,5,1,0,3,1,1,1,0,3,8,2,0,0
"DL5",8,8,4,0,3,2,3,3,11,4,9,1,0,1,1,28,2,2,2,2,2,7,2,3,0,2,2,0,7,0,5,14,2,9,4,4,3,5,5,1,6,6,2,0,1,3,2,12,6,1,4
"DM1",10,5,4,0,0,0,5,5,11,0,4,0,2,2,1,2,24,4,3,5,2,9,4,8,0,6,1,1,5,2,7,4,1,2,2,1,1,2,5,2,0,4,4,0,2,5,1,16,6,0,1
"DM2",5,4,1,0,0,0,2,1,5,1,2,0,0,0,1,2,4,12,3,5,0,4,2,1,2,2,1,0,4,1,2,1,0,2,0,1,1,2,1,0,0,1,2,0,3,2,0,7,4,0,1
"DM3",3,3,1,0,0,0,3,5,4,0,2,0,0,1,2,2,3,3,14,2,1,2,2,4,1,1,0,1,8,1,4,5,2,2,3,1,1,3,4,0,0,6,3,0,0,3,0,7,3,0,0
"DM4",7,6,0,0,0,0,1,2,9,1,6,0,1,0,0,1,5,5,2,21,2,2,1,4,1,3,2,4,8,1,1,4,1,6,2,1,3,3,4,3,1,4,7,0,3,5,0,13,3,0,0
"DM5",6,2,6,0,1,0,4,4,2,1,4,1,1,1,1,2,2,0,1,1,13,4,3,2,0,1,1,2,5,0,2,4,2,1,4,1,3,1,1,1,1,2,1,1,1,2,0,4,2,0,0
"DM6",14,14,2,0,1,1,8,5,16,3,7,3,0,0,2,7,7,3,2,2,2,48,10,10,1,8,1,5,8,2,9,9,2,9,4,6,4,3,12,3,4,9,2,1,4,7,0,20,10,3,8
"DP1l",11,16,5,0,3,1,9,6,14,1,13,1,0,1,3,2,4,2,2,1,3,19,42,6,5,3,1,8,10,0,10,9,4,10,3,4,6,3,13,6,2,11,7,0,4,1,2,15,10,0,5
"DP1m",8,11,9,0,0,1,6,9,10,1,7,3,1,1,6,2,6,1,4,4,2,13,6,38,0,3,2,5,10,3,7,6,3,6,2,7,2,4,11,5,2,13,2,2,2,2,2,14,5,0,1
"V",4,3,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,2,1,1,0,2,3,0,9,1,0,0,1,0,0,1,0,3,0,2,0,2,0,0,1,1,3,0,1,2,0,2,1,0,1
"VA1d",4,4,1,0,1,0,3,0,5,2,3,0,1,0,1,1,5,2,1,2,1,9,3,4,1,15,0,1,2,0,2,1,0,1,1,1,0,4,0,0,0,3,2,0,2,1,1,5,3,0,2
"VA1v",1,1,2,0,0,2,1,2,2,0,2,1,0,0,1,2,1,1,0,3,1,1,1,3,0,0,8,0,0,2,1,5,1,4,1,0,3,2,1,1,0,0,1,0,1,1,0,3,0,0,0
"VA2",8,7,2,0,1,0,8,5,13,3,9,3,1,0,1,0,1,0,1,3,2,7,7,5,0,1,0,28,10,2,4,3,1,3,4,1,6,3,8,2,1,5,2,1,2,1,1,12,4,1,1
"VA3",15,11,7,0,2,0,11,8,25,6,18,2,0,0,5,6,5,4,6,6,5,8,10,11,1,2,0,10,53,4,18,12,6,8,3,4,5,6,15,6,1,10,4,1,3,7,1,26,14,0,2
"VA4",2,4,3,0,0,1,2,3,10,1,3,1,0,0,2,0,2,1,1,2,0,2,0,4,0,0,2,4,5,15,3,4,1,7,3,2,2,6,8,2,0,3,1,0,2,0,0,10,2,0,1
"VA5",7,8,2,0,0,0,8,6,19,3,12,1,0,1,4,5,7,2,4,1,2,11,9,8,0,3,1,4,18,2,39,11,4,8,2,2,4,7,15,2,1,5,2,0,4,5,3,17,14,1,4
"VA6",10,17,8,0,0,5,6,9,21,2,9,1,0,2,4,12,4,1,5,4,3,9,6,7,1,1,4,5,12,4,12,51,4,18,6,4,3,10,13,5,4,9,5,0,2,3,2,17,12,0,5
"VA7l",5,5,2,0,1,4,4,1,8,1,6,1,0,0,3,2,1,0,2,1,2,3,4,3,0,0,1,1,6,1,4,5,14,2,4,2,1,3,1,1,0,5,1,1,0,2,1,1,2,0,1
"VA7m",11,15,6,0,3,3,10,9,21,2,10,1,0,1,4,11,2,2,2,7,1,13,9,5,3,1,4,3,10,6,8,19,2,51,7,9,7,18,17,6,3,5,8,0,3,8,3,27,11,0,2
"VC1",5,4,6,0,0,2,6,9,8,1,6,1,0,1,3,5,2,0,3,2,4,5,3,2,0,1,1,4,4,3,2,7,4,7,22,2,4,2,6,5,1,8,2,0,0,3,1,9,5,1,0
"VC2",4,2,2,0,1,0,4,4,15,2,8,0,1,0,0,4,1,1,1,1,1,7,4,7,2,1,0,1,5,2,2,6,2,9,2,20,4,6,5,2,1,4,2,0,0,2,1,13,5,2,2
"VC3l",5,4,1,0,1,0,4,3,9,1,7,0,0,0,1,3,1,2,1,4,3,6,5,2,0,0,3,5,6,2,4,5,1,6,4,4,20,4,5,3,0,2,3,0,2,3,0,6,4,2,1
"VC3m",11,10,5,0,2,2,7,5,15,3,7,1,1,0,2,5,2,2,3,4,1,3,3,4,2,3,2,3,8,5,8,13,3,18,2,6,4,34,15,4,1,7,6,0,1,4,4,13,10,0,2
"VC4",12,18,8,0,5,2,10,7,14,5,10,2,1,1,5,5,5,1,4,4,1,13,12,11,0,0,1,8,19,6,13,12,1,15,5,4,4,10,55,11,2,11,8,2,2,5,1,22,10,1,1
"VC5",8,7,1,0,1,0,4,4,9,1,5,0,1,0,1,1,2,0,0,3,1,4,6,5,0,0,1,2,8,2,2,5,1,7,5,2,3,4,14,23,0,9,5,0,0,1,0,10,5,0,0
"VL1",4,5,5,0,5,1,2,2,8,4,7,0,0,0,0,4,0,0,0,1,1,3,2,2,2,0,0,1,1,0,1,3,0,2,1,1,0,1,2,0,16,4,3,1,0,0,1,1,1,0,2
"VL2a",16,21,6,0,2,2,11,8,10,1,13,0,0,1,3,7,4,1,6,3,2,10,11,13,2,3,0,6,13,3,6,12,5,5,8,4,2,7,13,8,4,42,5,0,1,5,3,16,8,1,3
"VL2p",8,9,6,0,5,3,3,6,5,2,5,0,1,0,1,2,3,3,3,7,1,4,7,2,3,2,1,2,4,1,3,8,1,9,2,2,3,6,8,4,3,5,27,1,3,6,0,8,2,0,2
"VM1",0,1,2,0,3,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,4,0,0,0,0,0,0,0
"VM2",1,6,0,0,0,0,2,0,2,0,3,1,0,0,1,1,2,3,0,4,2,7,4,3,1,2,1,2,3,2,4,2,0,3,0,0,2,1,2,0,0,1,3,0,11,2,0,9,1,0,2
"VM3",2,7,1,0,1,1,3,5,5,0,3,1,1,0,0,3,4,3,3,5,3,7,1,2,2,1,1,1,6,0,4,3,2,7,3,2,3,3,4,1,0,5,5,0,2,21,1,12,7,0,1
"VM4",3,4,5,0,2,2,4,4,10,0,6,0,0,0,3,2,1,0,0,0,0,0,2,2,0,1,0,1,1,0,4,2,1,3,1,1,0,4,1,0,1,3,0,0,0,1,13,4,1,1,0
"VM5d",18,14,10,0,2,1,14,15,27,3,14,3,3,1,5,8,12,5,6,9,4,18,13,13,2,5,2,12,25,8,16,17,1,21,7,10,4,12,19,8,1,13,7,0,7,9,4,84,20,2,6
"VM5v",10,13,6,0,1,0,8,8,14,1,10,1,0,1,2,6,6,4,3,4,2,10,7,6,1,2,0,4,14,2,11,15,2,11,5,5,4,9,11,5,1,8,2,0,1,8,1,25,40,2,2
"VM7d",0,1,2,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,2,1,4,1
"VM7v",3,5,0,0,0,0,2,0,1,0,1,1,0,0,0,3,1,1,0,0,0,10,5,1,1,2,0,1,2,1,5,5,1,1,0,2,1,2,1,0,2,3,2,0,2,1,0,10,2,2,11
