"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",13,1,0,0,1,1,3,3,5,2,4,0,1,1,0,1,2,1,1,1,2,3,1,4,0,0,1,1,1,1,1,0,0,3,1,0,3,2,0,0,0,1,3,1,0,0,0,1,1,3,1
"DA1",1,21,2,0,1,1,2,2,2,0,4,0,0,0,1,1,2,5,0,2,2,3,1,6,1,3,0,3,2,2,1,3,1,2,1,0,4,2,0,1,0,1,2,1,0,3,0,1,0,1,3
"DA2",0,2,8,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,2,2,1,1,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,2,0,0,0,2,0,2,2
"DA3",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0
"DA4l",1,2,0,0,15,1,3,2,1,0,3,0,0,0,0,1,3,1,1,1,0,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,3,0,1,0,1,2,0,1,1,1,1,1,2,1
"DA4m",1,1,1,0,1,3,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"DC1",4,2,0,0,4,0,34,5,2,1,7,0,1,2,0,2,10,10,6,10,3,9,3,10,4,3,0,2,3,3,2,2,1,4,1,1,1,3,0,0,0,1,6,0,3,6,1,1,2,2,1
"DC2",3,2,0,0,3,1,5,13,2,1,5,0,0,2,1,3,0,3,0,2,0,3,1,2,0,0,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0,1,4,0,0,3,2,1,0,0,0
"DC3",4,2,1,0,1,2,2,3,11,1,3,0,1,1,0,2,0,2,1,0,0,3,1,1,0,1,0,1,0,0,3,1,1,0,1,0,1,1,0,1,0,1,2,1,1,0,1,1,1,1,1
"DC4",3,0,0,0,0,0,1,1,1,4,3,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"DL1",4,4,3,0,4,0,6,4,4,3,39,0,0,2,2,3,8,9,4,5,1,7,3,12,7,6,2,0,1,4,2,6,3,1,0,2,9,5,1,0,0,1,4,0,2,1,0,4,2,1,4
"DL2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL2v",1,0,0,0,0,0,1,0,1,0,0,0,7,1,0,0,1,3,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
"DL3",1,0,0,0,0,1,2,3,1,0,2,0,1,7,0,0,1,4,0,0,1,1,0,2,0,0,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0
"DL4",0,1,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DL5",1,1,1,0,1,0,2,3,3,0,4,0,0,0,0,14,2,3,1,3,0,4,0,4,1,0,0,0,1,3,0,1,1,1,1,0,1,1,0,2,0,0,1,0,1,4,0,2,1,1,3
"DM1",2,2,0,2,2,1,9,0,0,0,8,0,1,1,0,2,82,25,6,29,11,15,7,26,13,0,1,6,0,15,1,0,0,3,3,3,9,0,1,2,0,0,6,0,7,8,1,0,0,6,4
"DM2",1,6,1,0,1,0,9,2,2,0,8,0,3,3,0,2,22,73,6,26,12,11,3,20,10,1,0,2,2,11,2,0,1,4,1,5,5,0,1,1,0,0,8,1,5,13,0,0,1,9,2
"DM3",1,0,0,0,1,0,6,0,1,0,4,0,2,0,0,1,7,6,21,8,1,4,5,6,4,0,0,0,0,0,2,0,2,1,0,1,4,1,0,0,0,0,2,1,2,4,1,0,1,2,0
"DM4",1,3,0,2,1,0,8,2,0,1,4,0,2,0,1,3,33,24,7,68,8,11,7,18,12,0,1,6,0,12,1,1,2,2,3,6,6,0,3,3,0,0,6,1,7,9,1,0,0,3,6
"DM5",2,2,0,2,0,0,3,0,0,0,1,0,1,1,0,0,11,11,1,10,31,2,3,11,7,0,1,3,0,6,0,0,0,1,0,0,5,0,2,1,0,0,3,0,2,5,0,0,0,1,0
"DM6",2,4,2,1,1,0,8,2,2,0,9,0,1,1,0,4,15,12,4,11,2,41,2,13,2,2,0,3,0,3,1,0,0,2,4,2,1,1,2,3,0,0,7,2,2,3,1,1,1,1,6
"DP1l",1,1,2,0,5,1,3,1,1,1,3,0,1,0,0,0,9,4,5,7,3,2,22,5,4,0,1,1,0,1,1,1,1,1,2,3,4,1,0,1,0,1,2,1,2,0,3,0,0,1,0
"DP1m",5,7,1,1,1,0,10,2,1,2,13,0,0,2,1,4,28,19,6,19,11,12,5,73,9,2,1,6,2,12,2,5,3,5,1,1,9,5,3,0,0,1,6,1,5,10,2,2,1,5,3
"V",0,1,1,1,5,0,4,0,0,0,7,0,0,0,0,1,16,12,4,12,7,2,4,10,32,0,0,2,0,4,1,0,1,0,0,3,4,2,0,1,0,0,3,0,3,3,0,0,0,5,2
"VA1d",0,2,1,0,0,0,3,0,1,0,5,0,0,0,0,0,0,1,0,0,0,2,0,2,0,8,0,1,0,0,1,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,1
"VA1v",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1
"VA2",1,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,7,2,0,6,3,3,1,6,3,1,0,17,0,1,0,0,0,1,0,0,2,1,2,0,0,0,1,0,1,3,1,0,0,1,1
"VA3",2,2,0,0,0,0,3,1,0,1,1,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
"VA4",1,2,1,1,0,0,3,1,0,0,4,0,0,2,0,3,20,15,0,15,6,3,1,12,4,0,2,1,1,34,2,2,1,4,1,0,5,1,0,1,0,0,3,1,4,3,1,0,0,7,3
"VA5",1,1,0,0,2,1,2,3,3,0,2,0,0,1,0,0,1,2,2,1,0,1,1,2,1,1,0,0,0,2,10,0,0,1,0,0,1,2,0,0,0,0,4,0,0,0,2,0,0,4,1
"VA6",0,2,0,0,0,0,1,1,1,1,4,0,0,1,1,1,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,10,2,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0
"VA7l",0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,1,2,2,0,0,1,3,1,0,0,0,0,1,0,3,7,0,0,1,1,1,0,1,0,0,1,1,4,1,1,0,0,1,0
"VA7m",4,2,0,1,1,1,4,1,0,1,1,0,0,0,0,1,3,5,1,3,1,2,1,5,0,1,0,1,2,4,1,0,0,13,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,3,1
"VC1",1,1,1,0,1,2,1,0,1,0,0,0,0,0,0,1,3,1,0,3,0,4,2,1,0,1,0,0,0,1,0,0,0,1,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1
"VC2",0,0,0,1,1,0,1,0,0,0,2,0,2,0,0,0,3,6,1,7,0,2,3,1,3,0,0,0,0,0,0,0,1,0,0,12,1,0,1,0,0,0,1,0,3,2,1,0,0,0,2
"VC3l",3,5,3,0,2,0,1,1,1,0,9,0,0,1,0,1,11,5,4,7,5,1,4,9,5,3,1,2,0,5,1,1,1,1,0,1,29,1,0,2,0,0,5,1,5,1,0,2,0,2,0
"VC3m",2,2,1,1,3,0,3,0,1,1,5,0,0,0,0,1,0,0,1,0,0,1,1,5,2,1,0,1,1,1,2,1,1,2,0,0,1,12,0,0,0,1,2,0,2,0,0,2,2,3,0
"VC4",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,2,2,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1
"VC5",0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,1,0,3,1,3,1,0,1,0,0,0,0,1,0,1,1,0,2,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,1
"VL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VL2a",1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,1,0,1,0
"VL2p",3,2,1,1,3,1,6,5,2,0,4,0,0,2,0,1,6,8,2,7,3,8,2,7,3,1,2,1,0,3,4,0,1,0,1,1,5,2,0,0,0,1,28,1,3,5,2,0,0,5,1
"VM1",1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,1,1,0
"VM2",0,0,0,2,1,0,3,0,1,0,2,0,1,0,0,1,8,7,2,7,3,2,2,5,3,0,1,1,0,4,0,1,4,0,0,3,5,2,1,1,0,1,3,0,21,4,1,0,0,2,0
"VM3",0,3,0,1,1,0,5,2,0,0,1,0,1,1,0,4,9,11,4,9,5,3,0,9,3,0,0,3,1,3,0,0,1,1,0,2,1,0,0,0,0,0,5,1,4,28,0,1,0,2,0
"VM4",0,0,0,0,2,1,1,3,1,0,0,0,1,2,0,0,1,0,1,1,0,1,3,2,0,0,0,1,0,1,2,2,1,1,0,1,0,0,0,0,0,0,2,0,1,0,7,0,0,0,0
"VM5d",1,1,3,0,1,0,1,1,2,0,4,0,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,6,0,0,0
"VM5v",1,0,0,0,1,0,2,0,1,0,2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0
"VM7d",3,1,2,0,2,1,2,0,1,0,1,0,0,0,0,1,6,10,2,4,1,1,1,5,5,0,0,1,0,7,4,0,1,3,2,0,2,3,0,0,0,1,5,1,2,2,0,0,0,23,0
"VM7v",1,4,1,0,1,0,1,0,1,1,4,0,1,0,1,2,5,2,0,7,0,6,0,3,2,1,1,1,0,3,1,0,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,13
