"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",34,11,4,1,2,2,5,7,7,2,13,0,3,2,1,4,3,3,4,6,4,5,4,6,5,1,3,1,5,4,3,5,2,10,2,3,4,7,1,4,2,6,10,1,3,3,1,3,1,5,1
"DA1",11,63,9,1,3,3,8,11,7,2,14,0,4,1,3,3,6,10,4,12,5,8,7,13,3,6,1,3,6,9,9,13,2,14,5,6,9,9,9,7,1,11,10,2,4,8,2,4,1,4,5
"DA2",3,9,27,0,0,2,3,4,2,2,10,0,0,2,0,5,1,3,1,3,0,5,5,3,4,3,1,0,4,2,3,5,0,1,3,2,3,9,1,3,0,2,2,3,1,2,4,5,0,3,2
"DA3",1,1,0,11,2,1,1,0,0,0,1,0,0,0,0,0,4,2,1,4,2,1,0,2,3,0,1,1,0,1,0,0,1,2,0,2,0,1,1,0,2,0,3,0,2,1,0,1,0,1,0
"DA4l",2,4,0,2,30,2,4,4,1,0,6,0,0,1,0,2,5,4,2,2,0,4,4,4,8,0,2,1,2,1,3,4,3,5,3,2,3,4,2,1,2,6,5,0,1,1,2,1,1,4,3
"DA4m",2,4,2,1,2,9,0,3,3,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,2,0,0,0,1,1,2,1,0,3,2,1,1,0,1,0,0,1,2,0,0,0,1,0,0,1,1
"DC1",6,11,5,1,5,0,60,8,2,1,14,0,2,3,1,4,14,19,9,18,5,12,6,15,9,4,1,4,7,9,5,6,4,8,4,3,4,7,4,1,0,2,12,1,10,13,2,2,2,3,2
"DC2",7,13,4,0,6,2,8,41,10,1,17,2,1,4,3,4,4,6,3,7,0,8,3,9,3,5,1,0,2,5,7,11,1,7,2,1,7,5,4,3,0,8,10,0,1,6,3,3,0,2,3
"DC3",6,9,3,0,1,3,2,12,35,4,10,0,1,3,0,5,3,3,2,7,0,8,3,6,0,3,0,2,0,6,8,8,2,6,2,1,2,9,1,3,0,4,5,1,3,4,2,2,1,3,5
"DC4",3,3,2,0,0,1,1,1,4,12,8,0,0,0,1,0,1,1,1,3,0,1,2,6,0,0,0,0,3,0,2,2,0,3,2,0,0,2,3,2,0,3,0,0,0,1,0,1,0,2,1
"DL1",12,14,12,1,7,0,12,13,12,9,88,1,2,4,4,7,16,14,7,14,7,13,9,27,15,9,4,1,5,11,12,15,7,11,9,3,11,11,6,5,4,10,14,2,8,8,2,9,2,7,8
"DL2d",0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,3,2,0,2,3,0,0,0,0,2,1,0,0,2,0,0,0,1,0,1,1,0
"DL2v",3,4,0,0,0,0,2,1,1,0,2,0,17,1,0,0,3,5,4,6,2,2,5,3,0,2,0,0,1,3,1,1,1,3,1,2,2,1,3,0,0,1,3,1,2,4,1,1,1,1,1
"DL3",2,1,2,0,1,1,3,5,2,0,5,0,1,15,0,1,2,5,0,2,1,2,0,3,0,0,0,0,1,2,2,3,2,1,0,1,2,0,1,0,0,1,5,0,2,1,4,0,0,0,0
"DL4",1,3,0,0,0,0,1,3,0,1,5,0,0,0,9,2,0,2,1,3,0,1,0,1,0,1,0,0,1,0,1,3,0,0,2,2,0,1,1,1,1,1,2,0,0,1,0,1,1,1,2
"DL5",3,3,8,0,2,1,4,4,6,0,7,0,0,2,1,30,6,5,3,5,1,6,5,7,2,1,0,0,4,7,2,4,2,5,3,2,2,5,1,3,2,2,4,1,2,6,2,3,1,4,3
"DM1",3,6,1,4,4,1,12,4,4,1,17,0,3,3,0,5,135,37,13,47,18,19,18,40,19,2,2,11,1,32,3,0,2,6,4,6,12,4,3,2,3,7,10,0,11,20,1,1,0,13,7
"DM2",4,10,3,2,5,1,16,5,3,1,14,0,4,4,2,4,33,110,11,39,16,14,6,31,14,3,1,2,2,18,3,2,4,7,2,8,7,1,3,3,2,4,12,1,8,22,1,2,3,12,2
"DM3",4,4,1,1,2,1,9,3,2,1,7,2,4,0,1,3,15,12,43,14,1,8,11,13,9,1,0,0,1,9,5,2,4,9,1,2,6,4,2,1,0,1,6,1,6,13,2,2,2,6,0
"DM4",7,11,3,4,2,0,16,6,5,3,12,0,4,3,3,5,48,39,12,112,12,13,10,27,16,3,1,8,1,24,3,6,6,8,7,10,9,4,7,6,1,4,10,1,12,20,2,4,2,8,9
"DM5",5,5,0,2,0,0,5,0,0,0,8,0,2,1,0,1,18,16,1,14,47,3,10,16,10,0,1,3,0,10,1,1,0,3,4,1,7,0,2,2,1,1,4,0,4,7,0,0,0,2,0
"DM6",4,12,5,1,3,0,11,7,7,1,17,2,2,2,1,6,20,16,8,13,4,65,7,17,2,2,0,5,2,7,6,3,2,4,5,4,5,8,9,9,0,2,15,2,6,7,1,3,1,7,9
"DP1l",4,9,5,0,6,1,6,3,3,2,11,2,5,0,0,4,22,7,11,10,9,7,57,14,6,0,1,3,3,11,7,3,4,6,5,7,8,6,5,5,2,1,7,2,5,6,3,2,1,5,3
"DP1m",7,14,5,2,4,1,15,9,6,5,29,0,3,3,1,7,43,29,11,27,16,16,13,118,14,7,4,10,3,22,8,12,4,17,6,2,18,11,9,1,1,7,14,1,7,21,4,5,2,10,7
"V",5,3,6,3,9,2,9,3,0,0,17,0,0,0,0,2,24,17,9,16,10,2,6,15,55,2,1,2,1,11,2,2,2,7,4,4,7,6,3,2,1,2,6,0,5,13,0,0,0,6,3
"VA1d",1,5,5,0,0,0,4,4,2,0,9,0,2,0,1,1,2,3,1,4,0,2,0,6,2,17,0,1,1,1,1,4,1,5,2,2,2,3,0,0,0,1,1,0,0,2,1,3,2,1,2
"VA1v",3,1,1,1,2,0,1,1,0,0,4,0,0,0,0,0,3,1,0,1,1,0,1,4,1,0,10,0,1,3,3,1,3,2,1,2,3,0,0,0,1,1,6,0,1,0,0,2,0,0,1
"VA2",1,3,0,1,1,0,4,0,2,0,1,0,0,0,0,0,13,2,0,8,3,5,3,9,3,1,0,27,0,3,0,1,0,1,0,1,4,3,2,0,0,2,3,0,2,5,1,0,0,2,3
"VA3",7,7,4,0,2,1,7,2,0,3,5,0,1,1,1,4,2,3,1,1,0,2,4,3,1,1,1,0,18,4,2,5,1,4,1,3,1,3,3,2,0,6,2,1,0,2,1,2,1,3,0
"VA4",4,9,2,1,1,1,9,5,7,0,12,3,3,2,0,7,39,23,7,27,10,7,12,22,9,1,3,4,4,75,7,5,2,9,4,1,8,3,4,2,2,4,11,2,10,10,2,5,1,14,5
"VA5",3,12,3,0,4,2,5,9,8,2,12,2,1,2,1,2,3,3,5,3,1,6,7,8,2,1,2,0,2,6,36,2,4,14,2,0,3,6,7,4,0,6,10,2,3,4,3,2,1,7,5
"VA6",4,12,7,0,5,1,5,10,7,2,12,0,1,2,3,4,0,2,2,6,1,3,3,10,2,5,1,1,5,4,2,37,3,4,5,1,4,8,6,4,1,8,4,0,3,4,2,1,2,3,2
"VA7l",2,2,0,1,4,0,4,1,2,0,7,1,1,3,0,2,2,4,4,6,0,2,3,4,2,1,2,0,1,2,4,4,23,5,2,3,3,1,1,2,1,1,7,2,5,4,1,2,1,4,1
"VA7m",10,12,1,2,6,2,8,7,5,2,12,3,3,1,0,5,6,8,8,10,3,4,6,14,6,6,2,1,4,10,12,4,6,48,6,3,5,4,3,3,2,4,7,2,5,5,3,3,1,7,2
"VC1",2,5,3,0,3,2,4,2,3,3,8,0,1,0,2,4,4,2,1,7,3,5,5,6,3,2,1,0,1,4,2,5,2,6,25,0,2,4,3,4,1,1,3,1,2,2,0,2,1,5,2
"VC2",4,6,2,2,2,1,3,1,1,0,3,0,2,1,2,2,7,10,2,11,2,4,8,2,4,2,2,1,3,1,0,1,4,4,0,29,3,3,2,0,1,1,6,1,5,4,2,1,1,1,4
"VC3l",4,10,4,0,3,1,4,7,2,0,11,0,1,2,0,2,16,7,6,10,7,4,8,17,8,3,3,4,1,8,3,4,4,5,2,3,50,3,4,2,0,3,8,2,7,4,0,4,0,5,2
"VC3m",7,8,9,1,4,0,6,6,10,3,11,0,1,0,1,4,3,1,3,3,0,6,6,9,4,2,0,3,3,2,5,9,1,4,3,3,2,38,3,4,0,2,7,0,3,2,2,3,2,3,3
"VC4",1,9,1,1,2,1,4,4,1,3,7,2,2,1,1,1,3,4,2,8,2,7,5,9,3,0,0,2,3,3,7,6,1,3,3,2,4,4,30,2,1,4,4,1,6,6,1,0,0,4,4
"VC5",5,9,3,0,1,0,1,3,4,3,6,1,0,0,1,3,3,3,1,6,2,8,4,1,2,0,0,0,2,2,3,4,3,3,4,0,2,4,1,21,0,3,5,0,2,4,0,2,0,3,2
"VL1",2,1,0,2,3,0,0,0,0,0,4,0,0,0,1,3,3,2,0,1,1,0,3,1,1,0,1,0,0,2,0,1,1,2,1,1,0,0,1,0,8,0,4,0,0,0,0,0,0,1,0
"VL2a",5,10,1,0,6,1,2,6,4,2,8,0,1,1,1,2,8,4,1,4,1,1,1,7,2,1,1,1,4,6,6,6,1,4,1,1,2,2,3,2,0,27,4,0,2,4,2,2,0,5,2
"VL2p",9,13,2,3,6,2,11,10,5,0,14,3,3,4,2,5,11,13,6,11,4,14,7,14,6,1,6,2,1,10,11,4,7,9,3,6,8,7,5,3,4,3,69,2,7,10,2,0,1,9,3
"VM1",1,2,3,0,0,0,1,0,1,0,2,0,1,0,0,1,0,1,1,1,0,2,2,1,0,0,0,0,1,2,3,0,2,2,1,1,2,0,1,0,0,0,2,7,2,4,0,1,1,1,1
