"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",21,10,4,1,1,1,2,4,2,0,9,0,2,1,1,3,1,2,3,5,2,2,3,2,5,1,2,0,4,3,2,5,2,7,1,3,1,5,1,4,2,5,7,0,3,3,1,2,0,2,0
"DA1",10,37,6,1,2,2,5,7,4,2,10,0,4,1,2,1,4,5,4,8,3,5,4,6,2,3,1,0,4,7,8,10,1,12,3,5,4,6,9,6,1,10,7,1,4,5,2,3,1,3,2
"DA2",3,6,16,0,0,1,2,2,1,2,6,0,0,2,0,3,1,1,1,3,0,3,1,2,2,2,1,0,4,1,2,5,0,1,1,2,1,8,1,2,0,2,1,1,1,2,4,3,0,1,0
"DA3",1,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0
"DA4l",1,2,0,1,11,0,0,2,0,0,3,0,0,1,0,1,1,2,1,1,0,1,0,2,2,0,2,0,1,1,2,4,3,4,2,0,1,0,2,0,2,5,3,0,0,0,1,0,0,2,0
"DA4m",1,3,1,0,0,5,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
"DC1",2,8,4,1,0,0,15,1,0,0,6,0,1,0,1,1,0,4,1,4,2,3,2,3,2,1,1,1,3,4,3,3,3,4,2,1,2,4,3,1,0,1,6,1,5,3,1,1,0,1,1
"DC2",4,9,2,0,3,1,1,21,8,0,12,2,1,1,1,0,3,2,2,4,0,5,0,7,1,5,1,0,1,3,4,9,1,5,1,1,4,5,4,2,0,7,6,0,0,3,1,2,0,2,3
"DC3",2,6,2,0,0,1,0,9,21,3,6,0,0,2,0,3,3,1,1,7,0,4,2,5,0,2,0,1,0,5,5,7,1,6,1,0,1,6,1,2,0,3,2,0,1,4,1,1,0,2,3
"DC4",0,3,2,0,0,1,0,0,3,8,5,0,0,0,0,0,1,1,1,2,0,1,1,4,0,0,0,0,2,0,2,1,0,2,2,0,0,1,3,2,0,2,0,0,0,1,0,1,0,2,0
"DL1",8,10,8,1,3,0,5,9,7,6,39,1,2,2,2,4,7,3,3,9,4,4,5,12,6,3,2,1,4,6,9,9,4,10,7,1,2,6,4,5,4,9,8,2,4,6,2,5,0,6,4
"DL2d",0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,3,2,0,2,3,0,0,0,0,2,1,0,0,2,0,0,0,1,0,1,1,0
"DL2v",2,4,0,0,0,0,1,1,0,0,2,0,8,0,0,0,1,0,2,2,1,1,4,3,0,2,0,0,1,3,1,1,1,3,1,0,2,1,3,0,0,1,2,0,1,1,0,1,0,1,0
"DL3",1,1,2,0,1,0,0,1,1,0,3,0,0,7,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,1,3,0,1,0,2,0,0,0,0
"DL4",1,2,0,0,0,0,1,1,0,0,3,0,0,0,5,2,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,2,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
"DL5",2,1,6,0,1,1,1,0,3,0,3,0,0,2,1,14,4,2,2,2,1,2,4,3,1,1,0,0,3,4,2,3,1,4,1,2,1,3,1,1,2,2,3,1,1,2,2,1,0,3,0
"DM1",1,4,1,1,1,0,0,3,4,1,8,0,1,2,0,3,26,3,5,13,2,1,6,9,3,2,1,2,1,10,2,0,2,3,1,1,2,3,1,0,3,7,3,0,3,3,0,1,0,3,2
"DM2",3,4,1,0,3,0,3,2,1,1,3,0,0,1,1,2,3,15,1,6,2,1,1,6,1,2,1,0,0,3,0,2,3,3,1,2,2,1,0,2,2,4,4,0,1,2,1,2,2,2,0
"DM3",3,4,1,1,1,1,1,2,1,1,3,2,2,0,0,2,6,1,17,6,0,3,6,5,3,1,0,0,1,8,3,2,2,8,1,1,2,3,2,1,0,1,4,0,3,5,1,2,1,4,0
"DM4",6,7,3,2,1,0,4,3,5,2,8,0,1,2,2,2,10,7,5,30,3,2,1,5,4,3,0,0,1,10,2,4,4,6,4,3,1,4,2,3,1,4,4,0,3,6,1,4,2,5,3
"DM5",3,3,0,0,0,0,2,0,0,0,5,0,1,0,0,1,2,3,0,3,8,0,5,2,1,0,0,0,0,4,1,1,0,1,2,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
"DM6",2,8,3,0,1,0,3,5,4,1,6,2,1,1,1,2,1,1,3,2,0,18,5,4,0,0,0,1,2,3,5,3,2,2,1,1,4,7,6,6,0,2,7,0,2,3,0,2,0,4,2
"DP1l",3,6,1,0,0,0,2,0,2,1,6,2,4,0,0,3,7,1,6,1,4,5,23,6,1,0,0,0,3,9,5,0,3,4,2,2,3,4,4,4,2,0,4,1,2,3,0,2,1,3,2
"DP1m",2,6,4,0,2,0,3,7,5,3,13,0,3,1,0,3,11,6,4,5,2,4,5,29,3,5,3,1,1,8,6,6,1,11,5,1,6,6,6,1,1,6,7,0,1,8,2,3,1,5,4
"V",5,2,4,1,2,1,2,1,0,0,7,0,0,0,0,1,5,1,3,4,1,0,1,3,11,2,1,0,0,5,0,2,1,6,2,1,1,4,1,0,1,2,3,0,2,1,0,0,0,1,1
"VA1d",1,3,4,0,0,0,1,4,1,0,4,0,2,0,1,1,2,2,1,4,0,0,0,4,2,9,0,0,1,1,0,4,1,4,1,2,0,2,0,0,0,1,0,0,0,2,1,1,2,1,1
"VA1v",2,1,1,1,2,0,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,7,0,1,1,3,1,3,2,1,2,2,0,0,0,1,1,4,0,0,0,0,2,0,0,0
"VA2",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,1,1
"VA3",5,5,4,0,1,1,3,1,0,2,4,0,1,0,1,3,2,0,1,1,0,2,4,1,0,1,1,0,12,3,2,5,1,2,1,3,1,2,3,2,0,6,2,1,0,1,1,1,0,3,0
"VA4",3,7,1,0,1,1,4,3,6,0,7,3,3,0,0,4,11,4,6,10,4,3,10,8,3,1,1,1,3,31,5,3,1,5,3,1,3,2,4,1,2,4,8,1,5,4,1,5,1,5,2
"VA5",2,11,2,0,2,1,3,5,5,2,8,2,1,1,0,2,2,0,3,2,1,5,5,6,0,0,2,0,2,4,23,2,4,12,2,0,1,4,7,4,0,6,5,2,3,4,1,2,1,3,4
"VA6",4,10,7,0,5,1,3,8,6,1,8,0,1,0,2,3,0,2,2,4,1,3,0,6,2,5,1,0,5,3,2,23,1,4,5,1,1,7,3,3,0,8,3,0,0,4,1,1,1,2,2
"VA7l",2,1,0,1,4,0,3,1,1,0,4,1,1,3,0,1,2,3,2,4,0,2,2,1,1,1,2,0,1,1,4,1,16,5,2,2,2,0,1,1,1,1,6,1,1,3,0,2,1,3,1
"VA7m",6,10,1,1,5,1,4,5,5,1,11,3,3,1,0,4,3,3,7,7,1,2,4,8,5,5,2,0,2,6,10,4,6,32,4,3,3,2,3,3,2,4,7,2,5,4,2,2,1,3,1
"VC1",1,3,1,0,2,0,2,1,2,3,7,0,1,0,2,2,1,1,1,4,2,1,2,5,2,1,1,0,1,3,2,5,2,4,14,0,2,4,3,2,1,1,2,1,2,2,0,2,1,2,1
"VC2",4,5,2,1,0,1,1,1,0,0,1,0,0,1,2,2,1,2,1,3,0,1,3,1,1,2,2,0,3,1,0,1,3,4,0,12,2,1,1,0,1,1,4,1,1,2,1,1,1,0,1
"VC3l",1,4,1,0,1,1,2,4,1,0,2,0,1,0,0,1,4,2,2,1,0,3,3,5,1,0,2,1,1,3,1,1,3,3,2,2,13,2,3,0,0,3,3,1,0,2,0,2,0,3,2
"VC3m",5,5,8,0,0,0,3,6,7,2,6,0,1,0,1,2,2,1,2,3,0,5,4,4,2,1,0,1,2,1,3,8,0,2,3,1,1,21,3,4,0,1,4,0,1,2,2,1,0,0,1
"VC4",1,9,1,0,2,1,3,4,1,3,4,2,2,1,1,1,1,0,2,2,0,4,4,6,1,0,0,0,3,3,7,3,1,3,3,1,3,4,18,2,0,4,3,1,4,2,1,0,0,2,3
"VC5",5,7,2,0,0,0,1,2,3,3,6,1,0,0,1,1,0,2,1,3,1,5,3,1,0,0,0,0,2,1,3,3,2,3,2,0,0,4,1,14,0,3,5,0,1,4,0,2,0,3,1
"VL1",2,1,0,2,3,0,0,0,0,0,4,0,0,0,1,3,3,2,0,1,1,0,3,1,1,0,1,0,0,2,0,0,1,2,1,1,0,0,0,0,7,0,4,0,0,0,0,0,0,1,0
