"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",13,2,0,0,0,0,4,4,0,0,5,1,1,1,1,0,0,2,0,2,0,3,0,0,2,1,3,1,3,0,0,3,1,1,0,0,1,2,1,0,0,0,2,1,0,0,0,3,0,0,1
"DA1",2,16,0,0,0,0,6,1,2,0,0,0,0,0,0,1,1,8,0,1,0,4,0,4,0,4,4,3,5,2,0,1,1,0,0,0,3,2,1,0,0,4,0,1,0,0,0,3,2,0,1
"DA2",0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"DA3",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DA4l",0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"DA4m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC1",4,6,0,1,0,0,54,5,4,1,9,1,6,2,1,6,11,14,3,5,5,10,4,15,1,7,5,10,9,6,0,7,2,2,0,4,5,9,4,1,0,8,4,2,4,2,2,9,3,0,2
"DC2",4,2,1,0,1,0,5,19,2,0,3,1,1,1,0,2,1,6,0,3,4,1,0,9,3,1,0,0,1,2,1,3,1,1,0,0,1,5,2,1,0,3,4,1,0,1,0,6,0,1,2
"DC3",0,2,1,0,0,0,4,2,23,0,2,0,2,0,0,3,1,6,1,1,1,4,5,6,1,4,3,3,3,2,1,2,2,0,1,0,3,4,3,0,0,4,0,0,0,1,1,7,3,0,1
"DC4",0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"DL1",3,0,0,1,1,0,9,3,4,2,26,1,0,2,0,2,0,4,2,0,0,3,1,9,3,4,1,3,5,2,1,4,0,1,0,0,4,2,2,0,0,2,4,1,2,0,0,12,1,1,1
"DL2d",1,0,1,0,0,0,1,1,0,0,1,19,1,0,0,1,2,3,2,3,1,5,1,10,3,2,0,1,1,3,1,3,1,1,0,0,6,3,2,0,0,1,4,0,1,0,1,6,3,0,0
"DL2v",1,0,0,0,0,0,6,1,2,0,0,1,24,1,0,1,14,8,3,4,6,2,2,10,0,0,2,6,4,1,0,1,1,2,0,2,0,2,2,0,0,0,1,1,3,2,0,2,1,0,0
