"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",45,17,6,0,3,0,8,17,6,2,16,3,2,3,1,3,2,3,0,3,1,5,0,8,10,5,6,4,7,1,6,15,4,6,5,8,3,14,8,3,0,10,9,3,2,1,1,9,2,2,1
"DA1",15,84,10,1,6,2,23,17,10,4,15,7,4,0,0,9,10,11,2,5,5,7,9,19,8,15,10,16,14,9,7,11,8,5,10,8,6,18,11,4,2,16,11,3,3,2,1,26,3,4,6
"DA2",5,10,24,1,6,2,3,7,4,1,6,1,0,0,0,3,1,0,2,0,1,0,2,5,2,3,0,1,5,3,5,6,1,2,4,3,1,7,4,0,0,7,5,1,1,2,1,4,1,2,2
"DA3",0,2,1,3,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DA4l",3,7,7,1,16,3,2,5,3,2,3,0,0,0,0,0,0,1,0,1,4,1,3,2,1,1,1,1,4,1,2,4,0,3,1,3,2,5,0,1,0,4,5,1,0,0,2,1,0,1,0
"DA4m",0,3,3,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC1",8,26,2,3,1,1,119,17,15,3,28,15,11,4,3,10,24,25,11,10,8,23,15,37,11,19,14,25,18,11,3,18,6,10,5,13,14,19,12,3,0,13,16,3,11,6,3,33,8,6,7
"DC2",19,21,8,1,4,1,17,79,9,1,19,10,7,4,1,9,4,13,4,7,6,15,9,24,8,14,8,9,10,6,11,14,10,8,6,5,8,28,11,7,1,11,17,1,5,4,2,24,9,6,4
"DC3",7,13,5,0,3,0,17,9,61,1,12,9,3,3,2,8,6,12,3,5,5,10,10,16,5,9,7,9,11,7,4,12,6,7,5,4,6,15,12,3,0,15,15,2,1,2,3,21,5,6,2
"DC4",2,6,1,0,2,0,3,1,1,9,5,0,0,0,0,1,0,2,1,0,0,2,1,0,1,1,3,2,1,0,0,2,0,0,2,1,0,3,1,0,0,4,3,1,0,0,0,2,1,3,1
"DL1",13,17,7,1,3,0,28,17,14,5,89,13,5,6,3,8,10,9,8,5,1,7,9,25,14,14,10,14,10,10,11,17,5,6,9,8,11,15,14,7,0,15,16,2,7,3,0,29,4,13,4
"DL2d",4,7,1,0,0,0,13,8,8,0,14,63,6,1,0,1,14,14,9,9,2,15,14,20,5,13,2,14,4,6,8,9,4,8,6,8,15,10,8,7,1,6,11,2,9,5,1,15,5,2,0
"DL2v",2,4,0,0,0,0,12,8,3,0,7,7,44,2,0,4,21,10,7,6,8,7,6,15,1,6,5,9,7,3,1,2,1,3,1,5,5,8,6,1,0,0,4,1,7,2,0,8,4,0,2
"DL3",3,0,0,1,0,0,4,4,3,0,7,1,2,14,0,1,2,2,1,0,0,2,0,5,0,3,2,1,1,2,0,3,0,1,1,0,3,5,0,0,0,4,1,0,0,0,0,4,1,2,1
"DL4",3,0,0,0,0,0,3,1,2,0,3,0,0,0,8,0,1,1,2,0,2,4,0,1,1,0,3,0,0,1,0,2,1,2,2,1,1,2,1,2,0,1,3,0,1,0,0,5,1,0,0
"DL5",3,10,4,0,0,0,11,10,9,1,8,1,4,1,0,38,4,10,5,2,4,8,3,19,3,10,3,6,5,1,6,12,4,3,4,1,5,6,0,3,0,3,7,0,1,0,0,10,5,4,1
"DM1",2,10,2,0,0,0,24,4,6,0,9,13,19,2,1,3,89,18,15,18,10,13,14,32,4,10,9,20,6,12,0,6,3,6,2,10,12,12,12,2,0,12,3,3,9,6,0,24,3,3,3
"DM2",3,11,0,0,2,0,24,12,11,2,8,14,10,2,1,8,17,90,9,11,11,22,9,22,12,15,7,18,7,10,2,9,4,8,2,4,8,6,6,0,0,10,10,0,6,4,1,11,5,4,3
"DM3",0,2,2,0,0,0,12,4,3,1,8,9,7,1,2,5,17,10,46,7,2,6,10,15,3,6,5,12,5,3,2,5,1,5,1,5,5,8,7,1,0,12,4,2,10,4,0,13,3,2,2
"DM4",3,5,0,0,1,0,10,7,4,0,4,9,6,0,0,2,15,12,5,59,2,17,6,14,6,10,2,20,9,3,3,4,5,4,1,5,5,9,8,2,0,2,4,0,9,6,0,11,4,2,1
"DM5",1,4,1,0,4,0,5,5,4,0,1,2,7,0,1,4,10,13,1,2,40,7,11,9,3,4,2,11,9,1,1,3,0,3,0,3,2,2,2,0,0,5,5,0,4,5,0,10,2,1,1
"DM6",8,9,0,1,1,0,20,13,10,2,9,12,7,2,4,7,13,21,5,15,6,86,12,26,5,12,9,19,6,8,0,7,2,9,3,6,17,17,5,4,0,10,11,0,7,4,0,20,6,6,3
"DP1l",0,9,2,0,3,1,15,10,10,1,11,16,6,0,0,3,17,10,12,6,11,13,67,19,5,10,5,16,12,11,5,5,2,7,4,7,10,11,9,5,1,7,6,1,10,3,1,11,3,5,1
"DP1m",8,17,5,0,3,0,33,22,16,0,27,20,13,5,1,16,28,24,13,13,8,28,17,145,11,16,14,18,19,12,7,14,8,7,4,12,27,13,9,4,0,11,18,1,12,15,2,41,9,6,8
"V",9,7,2,0,1,0,12,8,5,1,17,6,1,0,1,3,4,14,3,5,4,5,7,14,49,3,8,14,9,3,4,9,2,6,2,5,2,10,13,2,0,6,17,1,6,3,0,14,2,2,1
"VA1d",7,17,3,0,2,0,16,12,8,1,13,11,5,3,0,10,9,16,5,10,4,14,9,18,4,72,6,12,11,3,7,7,6,8,4,2,14,9,6,2,1,14,8,1,5,5,1,24,11,4,1
"VA1v",6,10,0,0,1,0,18,8,7,3,10,2,5,2,3,3,9,7,5,2,2,9,5,16,9,7,46,10,9,11,1,10,4,3,5,2,5,10,8,2,0,7,10,1,5,3,0,20,5,3,3
"VA2",4,19,1,0,1,0,23,9,10,2,14,14,9,1,0,6,20,19,11,18,10,19,16,19,13,11,10,102,19,11,3,12,10,5,3,8,11,17,16,3,1,11,9,3,10,9,1,22,5,8,3
"VA3",6,14,5,1,3,0,22,8,11,1,12,4,7,1,0,5,6,6,5,9,8,8,12,20,9,10,7,20,77,9,2,12,9,6,4,7,10,10,11,1,3,14,14,2,7,4,0,23,9,3,8
"VA4",1,8,3,0,1,0,12,5,7,0,10,7,3,2,1,1,11,9,3,3,1,8,11,14,4,3,9,10,11,53,2,4,5,6,1,2,7,9,8,1,1,8,6,0,6,1,0,13,1,2,5
"VA5",6,7,5,0,2,0,3,10,4,0,12,8,1,0,0,6,0,3,2,3,1,0,5,7,4,7,1,3,2,2,27,6,2,6,4,0,6,5,6,4,0,5,9,0,1,4,2,9,2,3,1
"VA6",16,12,6,0,4,0,19,12,12,2,15,8,2,2,2,11,7,8,5,4,4,7,5,17,7,7,9,11,14,4,6,67,7,4,6,12,7,13,8,5,1,12,15,2,5,5,1,16,8,6,1
"VA7l",4,9,1,0,0,0,7,11,7,0,5,5,1,0,1,4,3,4,1,5,0,2,2,7,2,6,4,11,8,5,3,8,32,5,4,3,4,7,8,3,1,5,7,0,2,1,0,11,4,2,4
"VA7m",8,5,3,0,3,1,11,9,6,0,6,7,3,1,2,3,6,8,5,3,5,10,7,8,5,7,3,6,7,6,5,3,5,39,2,5,6,10,5,2,0,3,9,1,2,2,0,7,3,2,0
"VC1",6,15,5,1,1,1,6,6,5,2,10,8,1,1,2,4,2,2,1,1,0,3,4,5,2,4,5,4,4,1,4,7,5,2,23,1,0,6,1,3,1,3,4,0,1,1,0,10,3,3,1
"VC2",7,9,3,0,3,0,11,5,4,1,7,7,5,0,1,1,13,4,5,5,3,6,6,11,5,2,2,11,8,2,0,12,3,5,1,43,3,10,8,1,0,7,7,1,6,0,1,10,3,2,1
"VC3l",6,6,1,1,1,0,17,9,6,0,13,14,5,3,1,5,9,9,5,5,2,16,10,25,3,14,5,9,12,5,5,8,4,5,0,4,65,9,7,1,1,9,5,1,8,4,4,12,8,1,5
"VC3m",17,19,8,1,3,2,22,24,13,3,14,11,8,4,2,6,13,5,8,8,4,18,8,13,9,9,10,16,9,7,6,15,6,9,6,10,9,86,10,4,0,23,13,3,6,3,1,23,8,7,4
"VC4",9,9,4,0,0,0,10,9,10,1,16,8,5,0,1,0,9,7,5,7,2,5,7,11,13,6,5,12,10,8,4,7,7,4,1,8,4,8,59,3,0,6,9,1,0,1,0,14,4,5,1
"VC5",3,6,0,0,1,0,3,7,4,0,9,8,1,0,2,3,3,0,1,2,0,4,5,4,2,2,2,4,2,1,4,5,3,2,3,1,1,4,3,19,0,4,8,0,3,0,0,5,2,0,0
"VL1",0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,0,1,1,0,1,0,1,0,0,0,5,1,0,0,0,0,0,2,1,0,1
"VL2a",11,16,7,0,4,0,14,11,13,3,11,7,0,3,1,3,11,9,11,3,4,9,7,12,5,14,6,8,12,8,6,12,5,4,3,5,11,20,4,4,1,65,13,4,7,2,1,16,7,4,2
"VL2p",10,11,5,0,5,0,18,17,15,3,17,12,5,1,2,7,3,9,3,5,5,14,6,21,15,9,9,10,16,6,9,14,7,10,4,7,5,15,11,8,0,15,71,2,8,3,1,14,4,8,2
"VM1",3,3,1,0,1,0,4,1,2,1,2,2,1,0,0,0,4,0,4,0,0,0,1,1,1,1,1,3,2,0,0,2,0,2,0,1,1,3,1,0,0,5,2,11,2,1,0,5,1,0,0
