"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",32,15,6,0,3,0,4,13,6,2,11,2,1,2,0,3,2,1,0,1,1,2,0,8,8,4,3,3,4,1,6,12,3,5,5,8,2,12,7,3,0,10,7,2,2,1,1,6,2,2,0
"DA1",13,61,9,1,6,2,16,14,8,4,14,7,3,0,0,7,9,3,2,4,5,3,9,15,8,11,5,13,8,6,7,9,6,4,9,8,3,16,10,4,1,10,9,2,3,1,1,20,1,4,5
"DA2",5,9,21,1,6,2,3,6,3,1,6,0,0,0,0,2,1,0,2,0,1,0,2,3,1,3,0,1,5,3,3,5,1,2,4,3,1,7,3,0,0,7,5,1,1,1,1,2,0,2,1
"DA3",0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA4l",3,7,7,1,13,3,2,4,3,2,2,0,0,0,0,0,0,1,0,1,4,1,3,2,0,1,1,1,2,1,1,3,0,3,1,3,0,5,0,0,0,4,3,1,0,0,2,1,0,1,0
"DA4m",0,3,3,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC1",4,19,2,1,1,1,49,8,11,2,17,10,2,0,2,3,10,7,7,5,2,6,10,14,8,12,6,13,8,3,3,11,4,7,5,8,8,8,8,2,0,5,11,1,5,4,1,19,3,6,5
"DC2",15,16,7,0,3,1,8,41,7,1,15,5,3,2,1,6,1,4,3,4,0,10,8,10,4,11,7,6,8,4,10,10,6,6,6,2,6,20,7,6,0,7,10,0,1,2,2,15,6,5,2
"DC3",7,11,4,0,3,0,13,7,36,1,10,8,1,3,2,5,5,6,2,4,4,5,5,10,4,4,4,6,8,5,3,10,4,7,4,4,3,11,9,3,0,10,12,2,1,1,2,14,1,6,1
"DC4",2,6,1,0,2,0,2,1,1,7,3,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,3,1,1,0,0,1,0,0,2,1,0,2,1,0,0,3,2,1,0,0,0,2,1,3,1
"DL1",10,16,7,0,2,0,17,13,10,3,54,10,4,3,3,6,10,2,5,3,1,4,8,15,9,9,8,8,5,6,10,11,4,4,9,7,6,13,9,7,0,13,11,1,5,3,0,16,1,11,3
"DL2d",3,7,0,0,0,0,9,4,7,0,11,32,3,1,0,0,9,5,6,4,1,8,12,7,1,11,1,11,3,2,7,6,3,7,6,6,6,6,5,7,1,5,5,2,6,5,0,8,1,1,0
"DL2v",1,3,0,0,0,0,3,3,1,0,6,4,13,1,0,2,6,1,3,2,1,3,3,4,1,5,1,2,2,1,1,1,0,1,1,1,4,4,4,1,0,0,2,0,3,0,0,4,3,0,1
"DL3",2,0,0,0,0,0,0,2,3,0,3,1,1,5,0,0,1,1,0,0,0,2,0,1,0,2,2,1,0,1,0,2,0,1,1,0,2,5,0,0,0,4,0,0,0,0,0,1,0,1,0
"DL4",0,0,0,0,0,0,2,1,2,0,3,0,0,0,6,0,1,1,2,0,2,2,0,1,1,0,3,0,0,1,0,1,1,2,2,1,0,1,1,2,0,0,3,0,1,0,0,5,1,0,0
"DL5",3,8,3,0,0,0,4,6,5,1,6,0,2,0,0,18,2,6,3,2,2,2,2,5,2,5,1,4,3,1,5,5,3,2,4,1,2,4,0,2,0,1,5,0,1,0,0,7,3,3,1
"DM1",2,9,2,0,0,0,9,1,5,0,9,8,6,1,1,1,28,4,7,2,2,6,6,11,2,7,6,5,1,5,0,3,2,3,2,3,7,5,7,2,0,10,3,2,6,0,0,11,2,2,1
