"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"DA1",0,8,1,0,0,0,6,2,0,0,0,3,0,0,0,0,0,4,1,1,0,1,1,2,1,0,0,1,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2
"DA2",0,1,4,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
"DA3",0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,3,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"DA4l",0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA4m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC1",1,5,2,1,0,0,42,2,1,0,8,7,0,0,0,0,4,10,3,2,4,0,8,11,5,1,2,10,5,2,2,11,2,2,1,2,4,7,0,2,0,3,6,1,2,1,4,3,2,1,2
"DC2",0,1,1,0,0,0,2,11,1,0,1,1,0,0,0,0,1,1,1,2,0,2,3,3,1,0,1,2,2,1,0,3,0,0,1,0,0,0,0,0,0,1,3,2,0,1,0,0,1,0,0
"DC3",0,0,1,0,0,0,1,1,10,0,1,0,0,0,0,1,2,0,1,0,0,2,0,4,0,0,1,0,1,1,1,1,0,0,0,1,3,1,1,0,0,0,2,2,0,0,0,3,1,2,0
"DC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL1",0,0,0,0,0,0,8,1,1,0,15,2,1,0,0,0,4,3,2,0,0,0,1,3,3,1,1,3,3,1,0,3,0,1,0,0,1,3,1,1,0,2,2,0,0,0,0,1,0,0,0
"DL2d",0,2,0,1,1,0,7,2,0,0,2,44,7,0,0,0,26,12,5,15,8,1,7,18,5,1,0,14,0,7,0,1,5,3,2,0,2,1,3,1,0,0,3,1,3,0,1,1,0,0,1
"DL2v",0,0,1,0,1,0,0,0,0,0,1,6,29,0,0,0,11,5,3,8,9,0,9,14,4,0,0,5,0,4,2,0,1,4,3,3,1,1,1,3,0,2,2,0,2,0,1,2,1,0,3
"DL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL5",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DM1",0,0,1,2,2,0,5,1,2,0,3,20,10,0,0,0,63,13,16,17,14,1,7,22,5,0,1,12,1,19,0,1,0,5,2,2,1,1,2,3,0,1,5,2,6,0,0,1,1,0,0
"DM2",0,3,1,0,1,0,7,1,0,0,2,11,6,0,0,0,17,40,10,9,8,2,6,10,5,0,4,8,3,7,0,1,1,3,0,0,1,3,1,1,0,1,3,0,4,3,1,0,1,0,0
