"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",14,0,4,0,2,0,1,5,4,0,2,7,1,0,0,0,1,0,1,2,0,0,0,4,4,0,0,3,3,2,5,3,3,7,2,0,2,6,1,1,0,6,3,1,0,0,4,1,3,0,1
"DA1",0,37,6,1,3,0,10,10,5,0,6,10,3,0,1,3,4,7,3,6,4,2,9,13,2,2,2,7,9,4,6,14,10,3,3,7,4,9,2,4,0,7,10,2,1,1,4,7,4,2,4
"DA2",3,5,38,1,5,0,10,6,3,0,11,10,3,0,1,2,3,3,5,0,3,0,8,7,5,1,4,2,3,6,5,6,7,6,6,3,2,12,3,8,1,10,8,3,0,1,4,6,7,0,3
"DA3",0,1,1,19,0,0,4,2,0,0,3,5,3,0,0,0,10,3,3,6,2,0,5,9,4,0,0,5,0,6,1,0,4,4,2,1,0,4,0,0,0,2,1,1,2,2,2,1,0,0,0
"DA4l",3,3,10,0,20,0,6,2,3,1,3,4,2,0,1,2,2,1,1,1,1,0,5,1,3,3,1,2,0,1,3,6,6,5,1,1,2,5,1,6,0,8,6,1,0,0,4,3,3,3,1
"DA4m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"DC1",1,10,12,3,6,0,109,7,6,1,11,31,9,0,1,5,15,11,11,8,7,1,24,34,14,4,5,19,16,10,10,18,16,11,8,12,9,20,5,8,0,13,16,3,7,4,15,10,14,6,5
"DC2",4,8,6,2,2,0,8,55,4,1,8,12,3,0,1,6,5,3,5,9,3,2,10,14,9,7,6,10,9,6,13,12,16,7,6,9,5,13,3,7,0,12,12,8,4,1,11,10,6,2,3
"DC3",3,5,3,0,3,0,6,4,34,0,5,10,2,0,0,5,4,1,1,0,1,6,6,7,1,3,5,5,6,2,7,9,7,8,4,3,6,8,4,2,1,9,7,6,4,2,3,8,6,4,2
"DC4",0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,0
