"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",10,0,4,0,1,0,0,5,3,0,2,7,1,0,0,0,1,0,1,0,0,0,0,2,4,0,0,2,2,2,4,2,3,5,1,0,1,6,1,1,0,2,3,1,0,0,4,1,3,0,1
"DA1",0,25,5,0,3,0,4,7,5,0,5,7,2,0,1,3,4,3,2,5,4,1,7,9,1,2,2,5,6,1,6,12,8,2,3,6,3,7,1,4,0,7,8,2,1,0,3,6,3,2,2
"DA2",3,4,31,1,5,0,7,4,2,0,9,10,2,0,1,2,1,2,4,0,2,0,4,6,5,1,4,2,1,4,5,6,7,6,5,3,1,12,3,7,1,7,7,2,0,0,4,5,7,0,3
"DA3",0,0,1,6,0,0,1,2,0,0,2,3,2,0,0,0,3,2,1,4,1,0,1,3,3,0,0,0,0,1,1,0,2,2,2,0,0,2,0,0,0,2,1,1,0,0,2,1,0,0,0
"DA4l",2,3,10,0,17,0,6,2,2,1,3,3,1,0,1,2,0,0,1,1,1,0,4,1,3,3,1,1,0,1,3,6,6,2,0,1,2,5,1,6,0,7,6,1,0,0,4,3,2,3,1
"DA4m",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"DC1",0,5,9,1,6,0,49,4,5,1,3,21,4,0,1,4,7,1,7,5,3,0,10,16,8,3,3,7,8,7,8,7,14,9,4,9,4,10,4,5,0,8,10,1,3,3,11,7,9,3,2
"DC2",4,6,4,2,2,0,5,35,3,1,7,10,2,0,1,6,4,2,4,7,3,0,5,9,8,7,5,6,5,5,13,8,15,7,5,7,4,13,2,6,0,9,8,6,3,0,10,8,5,1,2
"DC3",2,5,2,0,2,0,5,3,23,0,4,10,2,0,0,4,2,1,0,0,1,4,6,3,1,3,4,5,5,1,6,8,7,7,4,2,3,7,3,2,1,8,5,4,4,2,3,5,5,2,2
"DC4",0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,0
"DL1",2,4,9,2,4,0,3,7,3,0,33,15,2,0,0,5,4,3,2,5,7,2,3,10,8,3,3,3,4,1,8,7,11,6,6,3,1,14,3,10,1,10,8,6,2,1,8,6,5,4,5
"DL2d",5,5,9,3,2,0,20,9,8,0,13,60,3,0,0,4,14,1,6,3,2,1,13,12,9,2,2,7,5,10,8,11,16,11,7,6,2,14,8,7,1,14,19,5,5,2,13,7,9,4,7
"DL2v",1,2,3,2,1,0,5,2,2,0,2,4,15,0,0,2,6,0,0,4,5,1,4,4,2,2,1,2,3,5,2,3,4,4,6,1,1,4,0,2,0,3,2,2,1,0,2,1,5,2,1
"DL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL4",0,1,2,0,1,0,1,1,0,0,0,0,0,0,3,0,1,0,1,2,0,0,0,2,0,1,1,0,0,0,2,1,2,1,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
"DL5",0,3,2,0,3,0,6,6,3,1,6,5,2,0,0,18,3,0,1,2,0,1,3,1,4,4,3,3,5,1,7,3,6,1,5,2,3,5,3,6,2,5,6,4,1,0,3,1,6,3,1
"DM1",1,4,1,3,0,0,5,4,2,0,4,14,3,0,1,3,30,2,1,4,5,0,10,6,8,0,1,6,4,6,3,3,5,4,3,2,0,3,4,4,1,3,4,1,5,1,2,2,2,0,0
"DM2",0,2,2,2,0,1,1,1,1,0,4,1,0,0,0,0,2,9,2,1,0,0,2,4,3,0,0,0,0,0,1,6,0,2,0,2,0,4,1,5,0,1,2,2,0,0,2,2,0,1,0
