"","D","DA1","DA2","DA3","DA4l","DA4m","DC1","DC2","DC3","DC4","DL1","DL2d","DL2v","DL3","DL4","DL5","DM1","DM2","DM3","DM4","DM5","DM6","DP1l","DP1m","V","VA1d","VA1v","VA2","VA3","VA4","VA5","VA6","VA7l","VA7m","VC1","VC2","VC3l","VC3m","VC4","VC5","VL1","VL2a","VL2p","VM1","VM2","VM3","VM4","VM5d","VM5v","VM7d","VM7v"
"D",115,36,18,1,8,5,14,29,27,8,33,11,5,4,4,14,12,9,7,12,7,21,12,20,22,10,6,12,24,8,18,30,12,27,11,15,8,33,21,14,5,30,26,3,6,6,9,27,12,4,4
"DA1",35,181,29,2,14,6,34,32,31,8,41,15,9,4,8,18,22,16,11,24,14,26,33,41,15,20,9,23,27,18,28,46,19,33,18,21,15,38,39,19,8,46,31,6,12,12,10,45,16,10,14
"DA2",16,27,101,2,17,5,17,21,13,5,30,12,3,3,5,11,6,4,8,3,7,7,12,20,8,7,7,5,17,10,12,25,10,14,15,10,4,33,15,10,6,21,18,5,2,4,14,22,13,5,4
"DA3",1,3,2,10,2,1,4,2,0,0,3,3,2,0,0,0,4,2,2,6,1,0,1,3,4,0,1,0,0,1,1,0,3,3,3,1,0,3,0,0,2,2,3,1,0,0,2,2,0,1,0
"DA4l",9,15,24,2,57,5,9,13,7,9,17,3,1,1,2,6,1,3,2,3,6,4,10,5,6,5,4,3,5,3,6,13,10,12,3,5,4,13,7,7,8,18,17,4,0,1,9,6,3,6,1
"DA4m",4,8,5,1,6,19,3,3,5,3,3,0,0,0,1,4,0,1,1,0,0,1,3,1,1,0,2,0,1,2,1,6,3,8,2,1,1,6,3,2,1,2,3,1,0,1,2,1,0,0,1
"DC1",18,40,20,3,8,2,148,20,32,3,35,33,7,0,6,11,22,14,18,15,11,17,31,38,19,19,11,29,31,16,21,30,25,29,17,22,17,28,28,12,1,24,30,4,15,13,17,45,21,10,10
"DC2",28,36,25,2,12,2,20,133,29,5,43,17,7,3,7,15,12,9,13,17,7,20,20,36,13,23,15,17,22,15,34,37,23,27,20,14,17,42,21,18,2,31,29,8,4,10,17,43,17,9,7
"DC3",29,38,16,0,7,4,32,29,158,11,43,20,3,7,5,24,18,13,6,19,7,28,26,28,7,14,10,25,39,19,31,47,17,40,16,18,14,35,30,14,8,31,23,7,8,12,14,50,21,11,7
"DC4",8,11,5,0,8,2,3,4,11,32,15,0,0,1,1,5,1,3,2,3,3,5,3,5,1,5,3,4,9,1,5,4,3,4,5,3,2,8,8,5,3,7,4,1,1,1,0,7,2,6,1
"DL1",32,42,33,3,15,2,33,37,44,15,180,27,9,6,5,25,25,10,12,24,16,18,28,45,24,19,15,19,34,16,38,39,24,30,28,18,15,41,25,27,9,46,31,9,14,13,14,47,16,23,13
"DL2d",10,13,11,3,2,0,31,14,17,0,26,104,6,1,0,5,23,6,14,7,4,16,28,23,10,13,4,21,10,16,18,18,22,22,14,12,8,21,18,15,2,19,26,8,12,8,14,18,12,6,8
"DL2v",5,9,4,2,1,0,9,7,3,0,11,8,39,1,0,4,15,1,5,9,8,5,11,12,3,11,2,5,6,9,4,5,5,8,8,3,7,10,8,4,0,4,7,2,5,2,2,10,8,3,2
"DL3",4,4,3,0,1,0,0,3,6,1,7,1,1,17,0,3,4,2,1,1,1,3,1,3,0,2,2,1,0,1,2,4,2,3,2,1,2,5,2,0,0,6,3,0,1,0,2,3,1,1,0
"DL4",4,8,7,0,2,1,6,7,6,2,6,0,0,0,29,3,3,3,5,4,3,7,3,9,1,3,5,1,6,3,7,8,6,7,7,4,2,6,7,4,1,5,5,2,2,1,3,15,4,1,1
"DL5",13,20,15,0,7,3,14,15,22,6,24,6,4,3,2,78,11,10,8,8,5,12,11,12,7,12,6,7,18,6,19,25,12,16,14,9,9,17,9,10,10,14,16,5,4,5,7,21,15,10,6
"DM1",14,22,8,4,1,0,19,13,22,1,25,22,12,5,3,9,108,13,16,24,11,16,26,34,13,15,9,14,11,23,12,10,10,12,8,7,10,13,17,8,4,24,14,3,16,9,3,30,10,5,4
